set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    54.12     72.3    62.28    54.22    13.28    72.01    39.02    45.88     74.3    41.76    84.47 
o2      54.12        0    39.39    15.14    53.04    42.89    56.07    33.17    45.96    71.68    13.91    35.84 
o3       72.3    39.39        0    25.18    33.64    66.82    95.44    33.61    34.07    41.99    48.51    25.19 
o4      62.28    15.14    25.18        0    46.14    52.97    70.64    31.49    41.16    61.96    27.28    22.65 
1       54.22    53.04    33.64    46.14        0    55.13   103.28    22.72     9.28    21.54    53.52    57.55 
2       13.28    42.89    66.82    52.97    55.13        0    59.91    35.69    46.01    76.38     29.7    75.57 
3       72.01    56.07    95.44    70.64   103.28    59.91        0    80.61    94.48   124.12    50.09    86.52 
4       39.02    33.17    33.61    31.49    22.72    35.69    80.61        0    13.94    43.97    31.12    50.15 
5       45.88    45.96    34.07    41.16     9.28    46.01    94.48    13.94        0    30.82    45.04    55.78 
6        74.3    71.68    41.99    61.96    21.54    76.38   124.12    43.97    30.82        0    74.08    67.08 
7       41.76    13.91    48.51    27.28    53.52     29.7    50.09    31.12    45.04    74.08        0    49.28 
8       84.47    35.84    25.19    22.65    57.55    75.57    86.52    50.15    55.78    67.08    49.28        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    50.16    59.01    92.07    65.59    17.62    104.1    35.35     48.4    69.56    39.09    118.5 
o2      48.83        0    34.07    18.66    65.52    56.24    74.39    48.54    56.88    62.29    12.42    49.94 
o3      63.79    58.14        0    35.68    41.77    71.22    89.35    39.93    45.01    61.75    66.84    31.68 
o4      91.86    19.85    31.34        0    61.37    43.35    90.97    36.69    49.06    64.92    37.53    27.87 
1       70.27    53.76    44.38    46.37        0    76.96   129.04    30.21    10.87    27.49    45.49    52.58 
2        14.5    63.33    65.09    50.29    66.66        0    75.42    28.57    56.91    74.47    40.23    66.17 
3       104.9    77.75   101.84    94.43   118.65    58.25        0    76.67    80.32   185.63     53.8   120.86 
4       36.77    40.99    30.28    44.87    32.94     50.7    98.63        0    17.06    44.53    31.57    73.26 
5       44.19    45.77     44.5    51.45    12.74     44.1   127.47    13.03        0    25.97    63.06    77.43 
6       59.97    63.42    54.26    55.92    21.02    87.24   163.47    53.35    43.91        0     68.2     72.1 
7       37.31    17.42    48.05    34.34     46.9    31.79    67.44    40.44    59.23   108.84        0    62.73 
8       86.26    52.38    37.13    21.95    75.85     86.7    85.64    56.74    76.92    64.26     41.5        0 
;

param d:       1    2    3    4 :=
1       0    0    0    6 
2       0    0    0   18 
3       0    9    0    0 
4       0    0   16    0 
5      19    0   19   16 
6       0   17    0    0 
7       7   17    0    0 
8      12    0   14   17 
;
