set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   112.81    46.91    39.96    75.44    86.71    41.12     34.7    94.91    69.21    83.06 
o2     112.81        0    76.93    81.17    84.41    50.03    75.57    99.89    26.82    83.89    62.63 
o3      46.91    76.93        0    45.52    33.39    72.39    10.51    23.03     53.6    27.47    36.19 
o4      39.96    81.17    45.52        0    78.59    47.16       35     53.2    70.49    72.88    74.75 
o5      75.44    84.41    33.39    78.59        0    97.29    43.78    41.95     57.6     6.27    22.48 
1       86.71    50.03    72.39    47.16    97.29        0    64.64    90.32    56.67    93.57    82.38 
2       41.12    75.57    10.51       35    43.78    64.64        0    26.31     54.7    37.94    43.95 
3        34.7    99.89    23.03     53.2    41.95    90.32    26.31        0    76.53    35.95     54.3 
4       94.91    26.82     53.6    70.49     57.6    56.67     54.7    76.53        0    57.23     35.9 
5       69.21    83.89    27.47    72.88     6.27    93.57    37.94    35.95    57.23        0    23.92 
6       83.06    62.63    36.19    74.75    22.48    82.38    43.95     54.3     35.9    23.92        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   148.24    48.62     49.5    87.54    75.07    59.19    36.66   129.04    91.04    96.49 
o2     159.43        0   111.85     91.1    94.88     60.9    92.39   110.76    33.22   104.68    55.85 
o3      41.84   109.86        0    51.82    36.24    70.84    11.66    27.32    72.02    22.14    48.81 
o4      37.63   103.39    40.06        0   111.81    65.99    42.38    65.96    86.27    63.06    68.11 
o5      84.64    85.58    33.02   107.69        0   105.66    47.69    62.28    55.38     8.69    19.64 
1      120.15     44.8    69.56    59.96    99.72        0    87.51   118.47    54.15    78.87   118.63 
2       50.11    70.05    14.69    51.96    65.64    84.09        0    23.07    52.42    34.81    48.15 
3       39.48   115.86    33.62    71.54    34.15    75.23    27.01        0    66.03    53.27    43.63 
4       95.34    27.28     66.7    73.62    65.98    63.16    78.93   108.84        0       62    32.38 
5       62.63   107.64    37.86    79.64      6.5    107.2    45.16    35.91    72.45        0    35.63 
6       72.46    61.82    41.69    101.6    28.88    89.17    40.86    51.65    43.04    19.46        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0   15    0 
2       0    0    0   19    0 
3       9   18    0    0    0 
4      19   14    0    0    0 
5       9   13    0    0    0 
6       0   13    8    0   15 
;
