set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    61.76    75.76    35.52    52.77    54.78    84.97    28.11    23.24    39.36    67.83 
o2      61.76        0    16.64    27.22    46.93    17.97    25.53    39.81    61.54    47.82    65.78 
o3      75.76    16.64        0    42.88    49.03    23.21     9.29    50.82    71.68    54.24    64.75 
o4      35.52    27.22    42.88        0    44.44    27.25    52.14    22.08    41.58    37.37    64.71 
o5      52.77    46.93    49.03    44.44        0       29    55.24    27.45    34.97    13.64     20.4 
1       54.78    17.97    23.21    27.25       29        0    31.64    28.16    48.53    31.48     47.9 
2       84.97    25.53     9.29    52.14    55.24    31.64        0    59.63    80.13    61.84    69.16 
3       28.11    39.81    50.82    22.08    27.45    28.16    59.63        0    21.76    16.62    46.15 
4       23.24    61.54    71.68    41.58    34.97    48.53    80.13    21.76        0    21.72    46.25 
5       39.36    47.82    54.24    37.37    13.64    31.48    61.84    16.62    21.72        0    29.87 
6       67.83    65.78    64.75    64.71     20.4     47.9    69.16    46.15    46.25    29.87        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    87.09   109.24    45.66    45.25     77.5    87.43    40.52    20.91     49.5    76.43 
o2      85.18        0    16.01    29.42    50.35    25.63    30.01    42.04    78.43    60.57    61.76 
o3      81.04    18.45        0    50.26     57.7    28.94      8.1     53.7    58.93    50.96    85.37 
o4      41.83    26.32    47.64        0    41.87    24.13    51.67    27.26    42.26    33.65    69.31 
o5      57.86    52.77    57.56    59.93        0    36.23    51.24     28.4    49.76    19.84    23.74 
1        64.4    21.83       24     29.2    24.94        0    41.85    30.75    58.98    35.84    56.44 
2       76.89    23.63     13.5    72.56    55.45    26.04        0    81.01    80.69    71.86    76.08 
3       32.69     35.2    76.22    32.85    32.28    32.21    69.48        0    18.15    17.64    46.39 
4       20.96    54.05   100.62    36.64     34.7     60.5    83.69    22.07        0    30.77    46.44 
5       52.58     66.7    70.31    52.05     11.7    37.39    74.81    14.83    18.91        0    30.39 
6       68.15       59    83.07    81.71    24.94    70.94    89.61    44.94    55.56    30.13        0 
;

param d:       1    2    3    4    5 :=
1      10    0    0    0    0 
2       0    0    0   10    0 
3       8   13   11    7   14 
4       0   14    0    0    0 
5      16    0    0    0    0 
6      14    0    0    0    0 
;
