set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    51.95    42.53    14.01    15.74    19.63    24.49    69.85    31.08    34.01    33.74 
o2      51.95        0    23.58    55.52    58.35    36.29    35.41    42.55    36.09    27.55    18.73 
o3      42.53    23.58        0    40.16    42.62    35.69    18.88    29.18    43.04     8.65    23.03 
o4      14.01    55.52    40.16        0     2.88    30.26    21.49    64.01    42.82     31.7    39.43 
o5      15.74    58.35    42.62     2.88        0    32.85     24.1    65.85    45.33    34.24    42.31 
1       19.63    36.29    35.69    30.26    32.85        0    24.54    64.87    12.75    29.15    17.69 
2       24.49    35.41    18.88    21.49     24.1    24.54        0    45.36    35.91    10.28    22.84 
3       69.85    42.55    29.18    64.01    65.85    64.87    45.36        0    71.55    36.58    50.93 
4       31.08    36.09    43.04    42.82    45.33    12.75    35.91    71.55        0    38.24    20.69 
5       34.01    27.55     8.65     31.7    34.24    29.15    10.28    36.58    38.24        0    20.29 
6       33.74    18.73    23.03    39.43    42.31    17.69    22.84    50.93    20.69    20.29        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    63.11     53.5    19.79    20.67    24.74    25.31    72.92    33.74    29.06    33.62 
o2      73.25        0    26.75    46.73    68.64    52.08    51.22    60.72    33.33    27.34    23.86 
o3      49.29    28.38        0    53.58    44.62    47.68    22.89    33.21    41.46      9.4    32.29 
o4      11.32    57.91    56.78        0     2.38    25.16    25.22    63.21    43.49    44.81    40.44 
o5      22.79    73.18    52.27     3.57        0    39.26    23.16    92.88    66.95    49.98     40.9 
1       24.34    46.69    48.65    40.56    45.42        0    21.49    75.76     16.4    40.37    25.85 
2       29.38    50.07    28.19    29.38    22.22    26.74        0    56.39    52.92    11.61    30.11 
3       77.62     37.5    24.58    92.92     61.2    85.85    61.77        0    65.22    42.93    65.64 
4       43.23    52.59    48.37    48.79     39.8    14.01    47.58    88.54        0    53.57    25.68 
5       27.44    37.72    11.15    33.23     46.4    29.63    10.23    42.62    42.51        0    27.32 
6       46.72    26.31    29.27    49.78    39.09    15.32    21.11    68.32       28    22.67        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    9    0 
2      11   19    0    0   19 
3       0    0    0    0   10 
4       0    0   18    0    0 
5       0    0    0    0    5 
6       0    0    0    0   14 
;
