set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    39.82    56.46     31.2    66.89    66.03    44.67    28.02     29.2     33.4    66.41 
o2      39.82        0    96.15     55.8   104.41   105.48    80.31    57.37    44.52    27.48   104.54 
o3      56.46    96.15        0    54.93    22.46    10.39    38.11    54.58     70.9    82.32    18.88 
o4       31.2     55.8    54.93        0    53.88    61.15    63.82    56.13     60.4    32.32    55.37 
o5      66.89   104.41    22.46    53.88        0    17.15    59.71    72.66    87.32    85.38     4.17 
1       66.03   105.48    10.39    61.15    17.15        0     47.6    64.95    81.28    90.22    12.98 
2       44.67    80.31    38.11    63.82    59.71     47.6        0    24.48    41.82    77.94    56.61 
3       28.02    57.37    54.58    56.13    72.66    64.95    24.48        0    17.57    60.24     70.6 
4        29.2    44.52     70.9     60.4    87.32    81.28    41.82    17.57        0     54.7    85.69 
5        33.4    27.48    82.32    32.32    85.38    90.22    77.94    60.24     54.7        0     86.4 
6       66.41   104.54    18.88    55.37     4.17    12.98    56.61     70.6    85.69     86.4        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    38.07    65.72    30.65    61.77    58.31    35.75    24.67    34.89    47.13    60.71 
o2      34.31        0    85.52    63.94    93.74   129.53    73.54    68.64    66.39    36.58   152.03 
o3      70.41   140.55        0    77.36    24.54    14.67    44.33     76.2    74.66   109.99     23.8 
o4      29.07    65.09    59.93        0    72.93    63.32    65.48    70.76     82.2    33.74    49.11 
o5      59.11   104.63    18.84    75.46        0    24.04    76.44    81.12    99.81   126.99     3.67 
1       79.77   151.06    14.16    72.68    16.62        0    69.32    93.78    79.34    95.51     17.4 
2       53.88   116.31    38.46    60.64    56.78    41.23        0    36.19       59    76.79    64.59 
3       34.47    73.57     70.9    56.41     73.9    79.74     33.3        0    20.83    88.76    99.61 
4       39.64    59.39    82.85     88.7    82.62   115.18    40.26    23.58        0    61.99   113.54 
5       50.02    33.42    73.96    46.64    97.52   114.53    70.57    53.54    45.54        0   103.68 
6       79.16   152.28    26.35       59      5.4    18.49     61.1    84.21     84.5     69.8        0 
;

param d:       1    2    3    4    5 :=
1      14    0   10    7   10 
2      13    0    0    0    0 
3       0   13    0    0    0 
4      17   17    6    0   11 
5       0    0    0   18    0 
6       0    0    0   10    0 
;
