set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    59.09    76.83    31.62    41.41     32.8    51.68    20.77    41.48    32.91    29.48 
o2      59.09        0    67.59    90.67     74.2    75.21    59.89     69.3    87.89    83.12    42.28 
o3      76.83    67.59        0    96.09    49.45    60.29    26.36     97.3    68.74   109.67    49.07 
o4      31.62    90.67    96.09        0    48.96    37.06    69.76    32.19    35.24    30.62    56.28 
o5      41.41     74.2    49.45    48.96        0    11.91    24.94    60.93    19.59    69.82    32.43 
1        32.8    75.21    60.29    37.06    11.91        0    34.61    50.91    12.74    58.76    33.09 
2       51.68    59.89    26.36    69.76    24.94    34.61        0    72.42     44.5    84.16    26.99 
3       20.77     69.3     97.3    32.19    60.93    50.91    72.42        0    56.72    14.13    48.94 
4       41.48    87.89    68.74    35.24    19.59    12.74     44.5    56.72        0    61.97    45.83 
5       32.91    83.12   109.67    30.62    69.82    58.76    84.16    14.13    61.97        0    62.11 
6       29.48    42.28    49.07    56.28    32.43    33.09    26.99    48.94    45.83    62.11        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    87.83   110.07    31.37    48.39    43.77    77.51    28.58    47.75    48.88     34.3 
o2      50.78        0    64.52    85.78    95.97    91.96    62.68   101.19   114.16   114.53    52.36 
o3     112.72    87.65        0   140.06    67.74    69.29    35.85    89.73    60.14   120.28    47.48 
o4      37.45    74.62    91.19        0    66.48    55.46    96.36    35.57    37.13     39.1    83.04 
o5      48.12       95    67.72    55.31        0    17.83    35.26    72.54    20.68    83.09    30.46 
1       29.73    67.77    85.78    32.81    10.46        0    31.46    58.93    14.31    81.71     48.2 
2       56.18    75.51    21.85    64.33    20.07    47.32        0    82.68    44.54    89.05     37.3 
3       26.99    75.17    96.59    35.34    82.16    74.14     68.4        0    73.77    19.22    62.06 
4       56.34   107.69    87.98    41.51    27.71    14.96    65.74    51.55        0    89.91    53.46 
5       42.49    96.12   108.11    44.73    76.38    58.95    86.28    14.78    77.41        0    83.52 
6       27.32    43.99    42.87    57.93     39.1     42.5    27.16    63.57    46.42    62.49        0 
;

param d:       1    2    3    4    5 :=
1       8    0    0    0    0 
2       0    9    9    0    0 
3       9   18    5    0    0 
4       0    0    0    0   10 
5       0    0   15   12    0 
6      18    0    0   15   11 
;
