set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    62.11    60.93    24.97     3.83    32.65    16.71    55.59    72.59    60.88    40.83 
o2      62.11        0    82.54    43.15    60.59    52.37     46.4    22.97    55.23    58.28    90.61 
o3      60.93    82.54        0    49.57    57.33    88.89    56.55    93.03    43.39    29.15       38 
o4      24.97    43.15    49.57        0    21.85    41.05     9.87    45.62    48.95    39.45     47.7 
o5       3.83    60.59    57.33    21.85        0    34.85    14.43     55.5    68.95    57.09    38.87 
1       32.65    52.37    88.89    41.05    34.85        0     32.5    34.85    87.01    79.94    73.47 
2       16.71     46.4    56.55     9.87    14.43     32.5        0    43.83     58.8    49.11     47.9 
3       55.59    22.97    93.03    45.62     55.5    34.85    43.83        0    74.16    73.54     91.7 
4       72.59    55.23    43.39    48.95    68.95    87.01     58.8    74.16        0    15.63    73.05 
5       60.88    58.28    29.15    39.45    57.09    79.94    49.11    73.54    15.63        0    57.49 
6       40.83    90.61       38     47.7    38.87    73.47     47.9     91.7    73.05    57.49        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    78.62    80.31     35.4     4.98    43.53    24.35    59.27   101.13    61.95    57.64 
o2      51.13        0    69.64    56.05    64.85    47.44    43.88    19.36    79.42    71.57   113.29 
o3      64.11   115.53        0    69.23    70.31    90.22    54.76   121.29    60.34    31.45    33.22 
o4       22.2    64.18     65.7        0    19.76    44.24    11.32    50.95    66.99    48.61    65.46 
o5       3.38     87.1    50.13    23.53        0    44.09    14.24    56.13   100.96    62.34    46.64 
1        42.5    60.39    78.49    34.63    36.55        0    34.93    49.78   109.99    75.05    60.87 
2       23.65    64.53    52.54    10.57    17.35    42.01        0    36.14    87.09    49.74    50.85 
3       50.72    33.35   106.45     58.3    50.67    36.11    61.66        0    67.82    92.09   130.54 
4       95.77    60.31    55.62    69.64   102.81   107.59    50.13    71.06        0    15.71    85.74 
5       83.47    47.02    35.65     57.4    58.11    70.39    57.87    59.36    21.92        0    78.13 
6       50.12   114.58    39.63    45.83    50.91     97.8    70.47   137.09    74.39    57.46        0 
;

param d:       1    2    3    4    5 :=
1      14    0    0    0    0 
2      16    7    0   14    0 
3      18    0    0    0   12 
4       0    0   14    9    0 
5       6    0   14    0    0 
6       0    0    0   14   10 
;
