set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     61.8    46.38    60.13    50.59     68.4    45.17     7.29    47.49    56.73    37.49 
o2       61.8        0     19.6    95.63    11.22    19.04    89.15    67.93     25.8    11.53    86.49 
o3      46.38     19.6        0    90.76    11.61    35.61    81.18    53.23     8.14    10.69    76.73 
o4      60.13    95.63    90.76        0    87.12     89.1    16.89    54.94    96.12    97.66    26.14 
o5      50.59    11.22    11.61    87.12        0    24.15    79.49    56.75    19.53    11.09    76.28 
1        68.4    19.04    35.61     89.1    24.15        0    85.92    73.27    43.12    30.18    85.25 
2       45.17    89.15    81.18    16.89    79.49    85.92        0     39.3    85.54     89.3     9.25 
3        7.29    67.93    53.23    54.94    56.75    73.27     39.3        0    54.64    63.44    31.12 
4       47.49     25.8     8.14    96.12    19.53    43.12    85.54    54.64        0    14.82     80.4 
5       56.73    11.53    10.69    97.66    11.09    30.18     89.3    63.44    14.82        0     85.5 
6       37.49    86.49    76.73    26.14    76.28    85.25     9.25    31.12     80.4     85.5        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    74.66    65.39    48.67    55.55    60.78    66.56      7.4    43.91    62.74    30.69 
o2       68.8        0    25.12   140.08    12.73    27.13    72.81    65.88    25.49    16.95   120.93 
o3      54.01     15.8        0    73.54    11.65    33.06   113.69     62.1    11.12    10.96    70.35 
o4      63.46    90.06   122.94        0   110.78    78.28    23.75    79.66   100.33   110.77    27.12 
o5         68    14.65     9.39    92.79        0    29.19    112.1    52.93    18.52    14.49   110.28 
1        91.7    27.29    46.01   117.64    26.24        0   105.64    78.38    39.81    38.57   124.83 
2       50.08    128.4    93.05    16.77    87.88    79.51        0    43.19   128.19   128.86    11.75 
3        9.08    85.24    54.69       68    54.44    78.49    57.53        0    47.04    62.28    42.33 
4       43.35    36.78    10.99   122.12     26.4    51.17    68.65    71.14        0    20.14    84.49 
5        46.2    16.07    13.71   107.65    14.06    44.83   131.95    88.45     14.8        0    91.64 
6       32.91    88.93   112.93     37.6   102.88    70.51    11.31    44.01    96.76    73.55        0 
;

param d:       1    2    3    4    5 :=
1       9    7    0   10    0 
2       0    0   18   16    0 
3       0    0    0    0    8 
4       0    0   11    0    0 
5       0    6    0    0    0 
6       0   18    0    0    0 
;
