set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     7.67    58.21    29.28    22.51   101.68    62.69    72.12    96.45     31.1    84.79 
o2       7.67        0    52.29    32.21    21.13     94.7    55.23    65.51    89.62    24.37    77.66 
o3      58.21    52.29        0    54.79    41.11    47.17    25.98    16.78    40.89    28.52     33.4 
o4      29.28    32.21    54.79        0     17.2   101.95    70.59    71.43    95.65    39.05    87.33 
o5      22.51    21.13    41.11     17.2        0    87.68    53.92    57.08     81.7    21.86    72.14 
1      101.68     94.7    47.17   101.95    87.68        0    41.79    30.63     6.86    70.61    17.53 
2       62.69    55.23    25.98    70.59    53.92    41.79        0    21.13    38.31    33.03    24.29 
3       72.12    65.51    16.78    71.43    57.08    30.63    21.13        0    24.66    41.14    16.94 
4       96.45    89.62    40.89    95.65     81.7     6.86    38.31    24.66        0    65.36    14.49 
5        31.1    24.37    28.52    39.05    21.86    70.61    33.03    41.14    65.36        0    53.85 
6       84.79    77.66     33.4    87.33    72.14    17.53    24.29    16.94    14.49    53.85        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     8.89    57.48    36.49    25.48   116.81    56.31     69.4   120.17    26.42    96.47 
o2       7.24        0    64.06    33.92    28.47   122.07     64.6    69.33   132.64    32.06   107.05 
o3      82.03    41.98        0    44.87    42.59    46.54    26.92    16.22    38.66    26.28    34.46 
o4      40.31    36.62    55.75        0    20.48   135.93   103.83    64.68   110.45    39.31   102.42 
o5      25.27    31.39    53.09    20.47        0   124.89    46.56    49.72   105.27    26.79    79.99 
1       85.62   131.06    47.26   137.71    92.72        0    44.19    38.17     9.23    79.09    24.85 
2       50.87    80.93    23.03    67.63    68.22    58.91        0    31.69    48.51    36.32    29.19 
3       93.88    63.36    18.14    61.04    60.34    29.77    27.92        0    28.61    47.67    22.76 
4      117.41    79.04    57.55   116.64    73.59     5.82    38.32    21.24        0    81.58    15.15 
5       28.79    28.92    29.56    44.82    28.09   102.36    33.01    36.18    81.94        0    55.02 
6       84.07    80.05    32.82    70.35    88.28    24.73    20.61    15.17    19.19     75.8        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0    5 
2       0    0    0   13    0 
3       7    0    0    0    0 
4       0    0   16   19    0 
5       0    0    0    0   11 
6       8   17    0    6   19 
;
