set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    75.31    71.58    56.22   109.01    72.13    74.59    44.28     33.7    92.22    54.15 
o2      75.31        0    29.05    31.24    61.51    36.53    20.25    74.46    58.52    55.21    50.72 
o3      71.58    29.05        0    50.47    40.68     7.49    47.84    54.19    43.68    28.73    69.09 
o4      56.22    31.24    50.47        0    89.42     56.6    19.74    73.75    54.84    79.21    19.66 
o5     109.01    61.51    40.68    89.42        0     37.5    81.69    79.47       77    18.03   108.72 
1       72.13    36.53     7.49     56.6     37.5        0    55.13    50.04    41.94    23.21    74.69 
2       74.59    20.25    47.84    19.74    81.69    55.13        0    84.91    66.89    75.17    35.85 
3       44.28    74.46    54.19    73.75    79.47    50.04    84.91        0    18.99    61.44    82.76 
4        33.7    58.52    43.68    54.84       77    41.94    66.89    18.99        0    59.57    64.04 
5       92.22    55.21    28.73    79.21    18.03    23.21    75.17    61.44    59.57        0    97.69 
6       54.15    50.72    69.09    19.66   108.72    74.69    35.85    82.76    64.04    97.69        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   100.06    84.33    59.13   108.12    86.05     94.6    65.92    40.32   110.96    72.04 
o2      97.44        0    34.09    31.88    68.45    39.25    19.76   104.35    67.85    73.86     73.7 
o3      97.52    24.25        0    67.24    39.17       10    55.57    59.22    52.49     37.1    73.09 
o4      77.91    43.11    59.23        0    74.68    68.56    27.36    84.17    44.89    75.48    18.48 
o5      89.39    69.57    41.64    74.52        0    36.76   111.11    84.88    71.25    16.33   105.54 
1      106.95    31.81     6.91    82.68    43.08        0     58.1    43.59    49.45    29.34    61.68 
2       61.14    18.59    56.83    22.49    88.07    74.22        0    68.86    62.59    67.64    29.74 
3       35.56   100.14    63.48    84.28     70.5    66.76   124.89        0    26.27     56.2   121.79 
4       33.45    86.52    54.35    72.39    61.92    62.17    81.34    23.46        0    87.96    81.77 
5       87.21    64.16    25.26    70.32    20.69     21.9    99.67    60.54    83.47        0    91.26 
6       52.83    46.67    75.24    16.41   106.46   108.77    30.93   105.74    88.61   114.39        0 
;

param d:       1    2    3    4    5 :=
1      13    0    0    0    0 
2       0    0    0   16   15 
3       0    8   10   14   10 
4       0    5    0    0    0 
5       9    0    0    0    0 
6       9    0    0    0    0 
;
