set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    47.79    85.74    83.86    38.07    80.01    13.38    83.65     97.7    74.44    16.98 
o2      47.79        0    38.91    64.75    10.03    40.61    46.03    48.48    51.35    28.05    43.38 
o3      85.74    38.91        0    82.23    47.86    44.35    81.36    54.67    30.85    11.34    77.82 
o4      83.86    64.75    82.23        0     68.5    38.71    92.12    29.61    63.62    78.01    92.34 
o5      38.07    10.03    47.86     68.5        0    48.93    36.02    55.85    61.32    36.67    33.47 
1       80.01    40.61    44.35    38.71    48.93        0    82.82    10.41    26.62    42.26    81.17 
2       13.38    46.03    81.36    92.12    36.02    82.82        0    87.92    97.34    70.05     4.39 
3       83.65    48.48    54.67    29.61    55.85    10.41    87.92        0    34.05    52.63    86.71 
4        97.7    51.35    30.85    63.62    61.32    26.62    97.34    34.05        0    36.05    94.72 
5       74.44    28.05    11.34    78.01    36.67    42.26    70.05    52.63    36.05        0    66.55 
6       16.98    43.38    77.82    92.34    33.47    81.17     4.39    86.71    94.72    66.55        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     68.2   104.64    99.72    47.94    66.08    11.57     71.9   113.55    87.43    14.25 
o2       46.7        0    43.18    71.31     9.07    48.05    68.63    52.79    76.76    30.72    43.25 
o3      97.63    54.12        0     73.1    58.18    66.19    70.06    62.35     41.7    10.28     67.1 
o4     107.68    85.97    121.7        0    92.21    52.35   112.07    41.07    93.45    80.72    95.34 
o5      35.87    10.98    64.72    55.04        0    40.02    44.99    65.54    70.57    47.48    34.58 
1      106.17    53.34     38.8    57.87    65.63        0    98.77    11.11    36.93    34.33   116.86 
2       13.53    49.11   110.67    83.08    50.91   103.24        0   118.75    85.29    94.78     3.63 
3       91.04    43.02    74.98    42.07    75.69    12.52    87.72        0    37.42    45.51    93.23 
4       81.87    76.77    44.79    62.57    56.77    37.54   110.71    44.01        0    50.08   123.85 
5      102.19    33.72    14.66    96.79    43.26    53.97    85.39    42.89    30.32        0    75.11 
6       21.04    62.68   101.43    81.57    29.95    74.18     4.02    119.4    107.5    63.32        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0    9 
2       0   15   11   12    0 
3      18   13    0   14   19 
4       0    0   11    0    0 
5      15    8    0    0    0 
6       0    0    0   17    0 
;
