set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    89.33    10.03    31.33    56.53    31.89    41.33       55    37.87    51.44    42.66 
o2      89.33        0    79.73    58.51    75.07   101.34     76.6    34.55   107.49    86.43    50.04 
o3      10.03    79.73        0    21.43     54.4    32.91    34.65    45.27    44.32     51.7    32.62 
o4      31.33    58.51    21.43        0    51.85    46.43    32.26    23.97    59.05    54.54    12.53 
o5      56.53    75.07     54.4    51.85        0    87.14    83.19    55.76    44.45    13.38    60.42 
1       31.89   101.34    32.91    46.43    87.14        0    28.83    68.06    67.18    83.17    51.49 
2       41.33     76.6    34.65    32.26    83.19    28.83        0    46.54    78.71    83.76    30.14 
3          55    34.55    45.27    23.97    55.76    68.06    46.54        0    77.45    63.49    16.85 
4       37.87   107.49    44.32    59.05    44.45    67.18    78.71    77.45        0    32.12    71.54 
5       51.44    86.43     51.7    54.54    13.38    83.17    83.76    63.49    32.12        0    64.93 
6       42.66    50.04    32.62    12.53    60.42    51.49    30.14    16.85    71.54    64.93        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    76.16    10.97    43.23       59    33.07    61.84    69.02    53.97    67.32    41.06 
o2      80.23        0     81.6    64.79    83.27   128.83    99.26    45.53   127.25   113.36    49.57 
o3       9.38    81.81        0    29.09     57.1     46.8    41.79     54.5    38.41    68.38       32 
o4      46.57    54.37     22.7        0    66.76    65.62    39.45     30.4    85.41    55.97    14.78 
o5         82    91.42    63.16    53.45        0   105.98    68.88    64.39    60.62    11.62    58.07 
1       37.18   126.13    45.07    59.02    70.62        0       42    89.38    96.96   114.53    42.07 
2       33.09     86.8     50.2    32.16    71.76    32.44        0     51.6       74    74.63     40.7 
3       50.78    47.31    65.14    27.33    76.93    58.56    61.79        0    86.72    58.15    16.63 
4       54.62   154.22    64.86    79.66    43.49    73.72    97.05    67.44        0    35.83    76.37 
5       44.88   104.74    56.55    64.63    14.94    89.71   111.95    78.21    39.41        0    85.78 
6       41.95    55.82     48.7    11.16     52.7    58.81    34.86    19.16    66.14    75.04        0 
;

param d:       1    2    3    4    5 :=
1       5    8    0    0    0 
2       0    0    6    0    0 
3      18   18    6    9    0 
4       0   11   11    0   14 
5       0    0    0    0   15 
6       0   11    0    0   17 
;
