set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    65.48    45.27    40.79     9.39    35.07    29.24    62.58    63.76     23.3    59.47 
o2      65.48        0    71.59    78.18    73.11    33.24    93.48    42.62    57.31    55.51    51.97 
o3      45.27    71.59        0    11.06    52.78    42.36    65.61     92.4    99.44    25.55    93.97 
o4      40.79    78.18    11.06        0    46.96    46.73    57.21    94.33    99.78    26.13     94.6 
o5       9.39    73.11    52.78    46.96        0    43.92    20.51    65.37    64.35    32.39    60.71 
1       35.07    33.24    42.36    46.73    43.92        0    64.27     51.2     60.6     22.4    54.78 
2       29.24    93.48    65.61    57.21    20.51    64.27        0     81.6    77.62    50.16    75.08 
3       62.58    42.62     92.4    94.33    65.37     51.2     81.6        0    15.25    68.22    11.14 
4       63.76    57.31    99.44    99.78    64.35     60.6    77.62    15.25        0    74.23      5.9 
5        23.3    55.51    25.55    26.13    32.39     22.4    50.16    68.22    74.23        0    68.88 
6       59.47    51.97    93.97     94.6    60.71    54.78    75.08    11.14      5.9    68.88        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    94.52    49.62    48.54      8.7    52.02     31.4     62.4    58.92    32.77    54.63 
o2      64.84        0    94.08   113.14    92.76    36.43   134.11     39.7    58.15    54.92    66.46 
o3      44.97     99.1        0    14.51    79.01    54.77     71.4    81.33   143.91    27.94    80.56 
o4       49.3   105.07     15.2        0     58.1    48.06    54.99    86.37   104.56    33.55    80.76 
o5       9.96    93.31     66.6    44.75        0    63.78    17.62    54.78     79.2    35.15     89.7 
1       47.54    33.06    38.37    58.09    61.37        0    88.78    44.32    76.83    18.97    53.11 
2       25.33    96.14    67.17    76.58    23.83    59.56        0   104.97    64.95    66.98    68.95 
3       71.14    60.79    99.04    90.21    95.62    47.02    80.46        0    13.87    83.72    16.59 
4       75.97    74.81    100.4   148.63     77.5    78.86    104.5    21.03        0    69.43     7.46 
5       32.73    60.62    21.07    35.43    28.75    32.99    60.49    80.73    76.29        0    87.77 
6       70.78    45.68     78.8    92.49    61.89     81.8    74.03    11.73     5.45    66.86        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    8    0 
2       6    9   16   17   12 
3       0    6    0    0    0 
4      10    0    5    0   18 
5       0    0   15    0    0 
6       0    0    0    0    7 
;
