set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    83.96    56.24    47.48    24.64    67.55    48.04    34.82    76.93    59.25    54.26 
o2      83.96        0    45.59    47.98    65.97    57.68    70.33    51.96    66.11    26.18    35.23 
o3      56.24    45.59        0     8.95    52.06    17.58    25.05    23.51    28.97    37.29    43.82 
o4      47.48    47.98     8.95        0     43.5    24.65    23.35    14.71       36    34.49     39.2 
o5      24.64    65.97    52.06     43.5        0    67.79    55.43    28.88    78.82    39.85    32.45 
1       67.55    57.68    17.58    24.65    67.79        0    23.83    38.93    11.43    54.21    61.29 
2       48.04    70.33    25.05    23.35    55.43    23.83        0    30.27     30.3    57.55    61.06 
3       34.82    51.96    23.51    14.71    28.88    38.93    30.27        0    50.05    31.36    32.07 
4       76.93    66.11    28.97       36    78.82    11.43     30.3    50.05        0    65.11    72.51 
5       59.25    26.18    37.29    34.49    39.85    54.21    57.55    31.36    65.11        0    10.31 
6       54.26    35.23    43.82     39.2    32.45    61.29    61.06    32.07    72.51    10.31        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   108.95    77.34    41.22    26.94    92.86    44.75    39.87   102.35    51.98    61.88 
o2      87.67        0    60.51    62.21    94.84    75.24    59.38    70.57    83.63    35.11    44.61 
o3       55.6    57.15        0    10.85    68.42    21.51    37.09    21.97    42.16    32.65    38.15 
o4      42.69    39.19     9.39        0    54.78    20.85    22.77    21.53    53.91    28.76    33.69 
o5      24.79    77.32    68.98    62.72        0    64.59    68.39    37.45    98.88    33.17    26.07 
1       90.38    81.56    17.46    25.69    69.05        0    27.19    39.43    11.47    81.16     69.1 
2       54.77    89.24    21.47    26.66    52.68    28.71        0    45.01     32.9    47.03    80.66 
3        28.6    63.55    31.32    20.88    28.96     52.4     38.3        0    56.51    30.25    30.05 
4       97.05    65.15    31.24    37.81    99.15    14.79       38    48.63        0    82.38   101.36 
5       48.41    23.26    46.26    47.97    59.21    68.31    57.42    34.27    85.16        0    10.33 
6       44.26    48.93    63.63    35.37    46.39     59.6    55.66    35.53   105.35    11.55        0 
;

param d:       1    2    3    4    5 :=
1      13    7   10    0    0 
2      15    0    0    0    0 
3       0    0   12   11    0 
4       0    0    7    0   10 
5       6   19    6    0    0 
6       0    0    0    9    0 
;
