set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    93.38    64.08    79.75    59.27    14.33    62.67     21.6    61.79    89.57    51.33 
o2      93.38        0    78.41    76.86    40.97    93.49    31.55     72.9    73.18     7.93     93.1 
o3      64.08    78.41        0    16.49    40.96    52.15    54.23    61.11   101.58    80.41    21.72 
o4      79.75    76.86    16.49        0    45.58    68.35    58.43    74.51   111.71    80.41    37.28 
o5      59.27    40.97    40.96    45.58        0    55.63     13.3    43.04    68.64    41.04    52.54 
1       14.33    93.49    52.15    68.35    55.63        0    61.96    28.35    73.01    90.81    37.46 
2       62.67    31.55    54.23    58.43     13.3    61.96        0    43.35    59.33    29.79    64.67 
3        21.6     72.9    61.11    74.51    43.04    28.35    43.35        0    45.87    68.59     55.7 
4       61.79    73.18   101.58   111.71    68.64    73.01    59.33    45.87        0    65.67   100.56 
5       89.57     7.93    80.41    80.41    41.04    90.81    29.79    68.59    65.67        0    93.59 
6       51.33     93.1    21.72    37.28    52.54    37.46    64.67     55.7   100.56    93.59        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   103.97    92.94   106.32     83.8    14.88    62.86    31.76    89.99    72.06    68.39 
o2     123.39        0    80.34     94.8    46.05   104.89    32.29    69.92    94.53     8.03   128.96 
o3      59.08    91.27        0    14.32    53.47    64.66    46.39    89.83    85.98   114.65    25.76 
o4      86.59    78.78    20.81        0    54.24    72.51       69    92.65   152.55    73.91    40.03 
o5      59.83    53.13    54.77    64.16        0       73    19.74    43.64    87.05    55.43     53.6 
1       15.44    80.69     71.3    95.95    77.31        0    60.12    37.76    93.11   110.93    47.79 
2       54.83    43.25    56.84     72.6    18.43    71.21        0    35.29    48.25    28.45    82.48 
3       29.18    77.16    86.34    91.52    56.73    34.46    57.35        0    65.35    55.05    71.43 
4       81.83   106.15   147.67    154.9    71.91   108.76    75.36     52.9        0     86.3   115.09 
5      132.53      6.4    77.96    98.71    42.93   124.64    40.14    95.59    93.72        0    88.27 
6       49.29   105.93    22.83    44.08    42.76     44.9    76.27    54.03   116.89   131.72        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0   13    0 
2       0    0    8    0   19 
3      14    0    0    0    0 
4       0   14    9    8    6 
5       0    0    0   18    0 
6       0   10    0    0    0 
;
