set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    59.76     64.9    69.68    60.98    90.33    69.52    80.48    43.37     80.2    34.18 
o2      59.76        0    22.88    68.02     8.25    81.18    80.52    22.24    74.36    49.37    33.83 
o3       64.9    22.88        0    89.66    14.64   103.82   100.92    37.49     90.3    72.15    31.38 
o4      69.68    68.02    89.66        0    75.84    20.72     16.7    71.35    37.41       34    78.25 
o5      60.98     8.25    14.64    75.84        0    89.37    87.88    26.25    79.95    57.54    31.39 
1       90.33    81.18   103.82    20.72    89.37        0     29.4    79.22    56.62    36.38    96.53 
2       69.52    80.52   100.92     16.7    87.88     29.4        0    86.47    29.47    50.69    85.03 
3       80.48    22.24    37.49    71.35    26.25    79.22    86.47        0    87.47    43.22    56.04 
4       43.37    74.36     90.3    37.41    79.95    56.62    29.47    87.47        0    64.22    67.05 
5        80.2    49.37    72.15       34    57.54    36.38    50.69    43.22    64.22        0    73.42 
6       34.18    33.83    31.38    78.25    31.39    96.53    85.03    56.04    67.05    73.42        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0       67    89.57    70.58    81.31    78.62    89.55   103.75    60.96    64.46    49.53 
o2      60.96        0    32.29    76.84      9.9    77.14   102.67    24.19   105.44    73.95    30.14 
o3      71.91    28.99        0     89.6    20.92   134.35    136.1    38.86   125.65    105.3    26.19 
o4      55.99    82.93    89.22        0    90.02    26.85    14.73    72.87    42.65    48.42    74.85 
o5      84.71     9.32    18.52    97.92        0    75.36    86.32    30.83    69.41     63.7    34.42 
1       75.57    66.49    94.66    23.19   120.63        0    33.49    68.13    56.07     30.5   101.82 
2       58.36   109.25    111.4    18.65    82.35    39.76        0    74.75    31.19     52.2    71.55 
3       81.53    22.52    31.16    65.72    38.13    89.18   111.28        0   121.25    52.82    75.92 
4       63.11    67.43   104.55    49.78   112.56    78.65       24    86.55        0    86.58    63.44 
5       76.65    41.04   102.28    37.87    51.83    45.02    43.38    41.96    84.77        0    80.03 
6       49.68     45.6    44.84    87.51    42.11   112.72   123.22     52.1    95.04    90.39        0 
;

param d:       1    2    3    4    5 :=
1       0   18    0    0    0 
2       0    0    0   12    0 
3       0    0    0    0   12 
4       0    0    0    0   17 
5       0    0    0    0   10 
6      18    0   12    0    0 
;
