set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    45.21    61.91     60.7    28.27    21.27    68.62     28.4    34.51    43.29    56.05 
o2      45.21        0    25.82    48.88    55.59     26.5    23.42    24.49    55.29    13.46       25 
o3      61.91    25.82        0    73.78    78.88    40.64    24.44    33.93     56.9    18.99    47.64 
o4       60.7    48.88    73.78        0    44.45    58.39    58.34    63.02    89.73    61.22    27.29 
o5      28.27    55.59    78.88    44.45        0    42.32       77    50.12    62.77     60.2     53.3 
1       21.27     26.5    40.64    58.39    42.32        0    49.25     7.86    32.21    22.11    44.35 
2       68.62    23.42    24.44    58.34       77    49.25        0    45.58    74.66    29.84    31.13 
3        28.4    24.49    33.93    63.02    50.12     7.86    45.58        0    30.94    16.46     45.9 
4       34.51    55.29     56.9    89.73    62.77    32.21    74.66    30.94        0    44.89    76.29 
5       43.29    13.46    18.99    61.22     60.2    22.11    29.84    16.46    44.89        0    38.43 
6       56.05       25    47.64    27.29     53.3    44.35    31.13     45.9    76.29    38.43        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    44.34    89.17     88.4    37.74    25.72    61.56    35.19    43.07    59.73    81.19 
o2      48.85        0    22.43     59.3    46.27     26.1    22.93    30.07    81.91    16.65    32.98 
o3      66.69    24.53        0    74.71    77.07    57.67    24.47    29.81    65.64    27.41    69.75 
o4      75.77    59.62     86.3        0    60.69    54.13    61.56    86.48   132.45    54.41    28.06 
o5      27.82    74.44    99.21    45.49        0    43.46     98.7    59.68    59.53    61.09    54.03 
1       23.53    36.86    58.52     86.1    34.52        0    56.28     9.28    38.46    29.43    45.66 
2       61.92    20.33    28.46    65.15    112.7    48.99        0    50.31    67.85    30.53    36.85 
3       32.18    36.57    38.08    57.48     65.8     7.64    41.74        0    36.53    14.08    52.64 
4       37.75    48.99    70.53   127.01    53.18    35.15    79.55    33.45        0    63.93   113.05 
5       51.45    16.63    19.06    71.09    88.83     31.1    28.32    20.18    51.44        0    57.29 
6       78.22    31.85    64.68    23.37    49.78     55.9    43.17    60.16    62.59    49.43        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0   17    0 
2       0   12    0    0    0 
3      17    0    8   11   11 
4       0    0    8    0    0 
5       0    6   13    8    0 
6       0    0    0    0   19 
;
