set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    63.28    47.11    63.83    48.91    83.42    37.77    38.25    88.03     8.98     69.9 
o2      63.28        0    57.33     63.2    85.85    75.08    82.89    70.96    48.01    54.55    76.03 
o3      47.11    57.33        0    16.74    31.75    36.32    34.93    19.99    51.77    45.32    24.48 
o4      63.83     63.2    16.74        0    40.54     19.6    47.62    33.47    43.22    61.68    12.91 
o5      48.91    85.85    31.75    40.54        0    55.15    12.82    15.08    82.38    52.89    36.54 
1       83.42    75.08    36.32     19.6    55.15        0    64.46    51.44    41.31    81.15    18.71 
2       37.77    82.89    34.93    47.62    12.82    64.46        0    14.94    86.69    42.99    46.46 
3       38.25    70.96    19.99    33.47    15.08    51.44    14.94        0    71.75    40.42    34.57 
4       88.03    48.01    51.77    43.22    82.38    41.31    86.69    71.75        0    81.88     53.5 
5        8.98    54.55    45.32    61.68    52.89    81.15    42.99    40.42    81.88        0    69.23 
6        69.9    76.03    24.48    12.91    36.54    18.71    46.46    34.57     53.5    69.23        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    66.01    59.87    85.99    48.21    96.58    37.73    34.16   119.19     7.79     90.3 
o2      63.54        0    53.27    74.87    78.41   106.35   106.63    80.72    48.14    55.12    74.58 
o3      49.57    55.04        0    20.49    44.03    29.82    45.16    28.74     74.1    66.84    33.58 
o4      60.45    80.04    24.17        0    40.19    26.68    45.84    34.47    58.21    79.61    18.26 
o5      63.61   120.22    46.46       43        0    66.66    18.61    12.23   118.92    48.58    45.98 
1      119.02    67.14    37.46    29.01    57.28        0    57.22    49.59    47.47    82.41    27.58 
2       48.73   119.29    37.09    44.63    12.28    59.88        0    18.41    93.76    36.07    61.31 
3       56.75    83.52    19.17    49.78    15.44    69.61    18.01        0    65.11    55.54    31.46 
4       94.11    50.18     76.1    49.01    97.41    41.07    91.79    58.55        0   108.66    66.71 
5        7.33     78.3    64.76    50.39    77.62    70.54    49.42    44.08   117.69        0    84.39 
6       75.19    95.99    19.91    13.79    45.25    19.08    64.51     35.4    63.35     61.4        0 
;

param d:       1    2    3    4    5 :=
1       0    6   15    5    0 
2      19    0    0    0    0 
3       0   12    0    0    0 
4       0   16    0    0    0 
5       0    0    0   10    0 
6       0    0    0    0    7 
;
