set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     5.06    68.58    65.87    41.64     43.3    50.53    12.88    39.29    20.44    34.82 
o2       5.06        0    68.49    70.29    46.01    46.52    51.31    17.88    44.35    16.16    38.42 
o3      68.58    68.49        0    70.18    60.56    45.06    20.39    68.21    79.57    60.47    50.76 
o4      65.87    70.29    70.18        0    24.29    30.95    54.29    53.96    36.24    78.49    34.22 
o5      41.64    46.01    60.56    24.29        0    15.55    41.02    30.09       21    54.68    12.25 
1        43.3    46.52    45.06    30.95    15.55        0    25.87    34.99    35.66    50.55     9.29 
2       50.53    51.31    20.39    54.29    41.02    25.87        0    48.52    59.34    46.78    30.55 
3       12.88    17.88    68.21    53.96    30.09    34.99    48.52        0    26.59    31.55    25.79 
4       39.29    44.35    79.57    36.24       21    35.66    59.34    26.59        0    57.82    28.81 
5       20.44    16.16    60.47    78.49    54.68    50.55    46.78    31.55    57.82        0    44.47 
6       34.82    38.42    50.76    34.22    12.25     9.29    30.55    25.79    28.81    44.47        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0     4.86    76.93    59.49     43.6    63.58    40.47    18.75    55.59    20.24    40.77 
o2       6.17        0     62.3    76.69    44.05    63.95    76.17     25.3    52.15    15.63    56.29 
o3      60.28   102.13        0    95.02    85.53    64.58    26.28     71.2    69.99    77.71    56.17 
o4      87.85    101.8    71.88        0    28.81    29.96    49.59    73.08    48.45    75.56    47.52 
o5      36.39     43.9    61.73    23.15        0     19.8    35.91    40.86     19.5    44.97    10.01 
1       42.78    45.98    60.86    44.35    14.23        0    36.65     43.6    33.08    57.02     8.33 
2       70.66    61.72    23.45    58.92    50.91    30.25        0    43.83    73.13    53.28    31.23 
3       18.38    23.18     75.9    48.63    29.24    45.18    50.88        0    36.13    35.77    23.61 
4       32.69    44.32    78.16     51.8    17.72    42.58    48.19    39.61        0    58.95    31.36 
5       27.08    18.21     82.8    83.37    64.55    56.08    39.42       46     65.3        0    47.42 
6       30.71    35.08    65.82    40.78    10.64    11.68    25.04    32.49    42.33    59.22        0 
;

param d:       1    2    3    4    5 :=
1       0    8    0   16    0 
2      14    0    0   18    0 
3      14    0    0   17    0 
4       5    0    0    0    0 
5       0    0   12    0    7 
6       0    0   11    0    0 
;
