set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    85.05    33.82    36.84     61.5    40.26    13.49    35.08    40.79    62.39    85.69 
o2      85.05        0    64.49     88.7    50.63    48.81    77.05    88.51    54.48    35.94     27.8 
o3      33.82    64.49        0    24.65    64.26    38.52    37.01    24.22    10.22    33.02    56.53 
o4      36.84     88.7    24.65        0    85.85    60.16    47.13      1.8    34.28    55.16    77.44 
o5       61.5    50.63    64.26    85.85        0    25.85     48.5     84.7    59.31    60.24     71.1 
1       40.26    48.81    38.52    60.16    25.85        0    29.49    59.06     34.5    41.61    59.28 
2       13.49    77.05    37.01    47.13     48.5    29.49        0    45.48    40.96    59.61    81.75 
3       35.08    88.51    24.22      1.8     84.7    59.06    45.48        0    34.04    55.31     77.8 
4       40.79    54.48    10.22    34.28    59.31     34.5    40.96    34.04        0    23.06    46.72 
5       62.39    35.94    33.02    55.16    60.24    41.61    59.61    55.31    23.06        0    23.69 
6       85.69     27.8    56.53    77.44     71.1    59.28    81.75     77.8    46.72    23.69        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   117.37    41.96    36.84    54.45    46.94    15.42    43.98    44.56    93.07    89.95 
o2     127.55        0    55.34    92.65    70.76    53.61     63.4   131.65    75.29    36.84    34.71 
o3      27.65    54.04        0    27.53    85.11    45.33    44.38    26.76    13.53    36.04    56.36 
o4      46.72    125.8    31.89        0   121.61    60.56    69.94     1.84    28.64    51.78   103.42 
o5      58.25     71.5       87    74.71        0    27.86    46.03   125.94    47.84    65.61    91.38 
1       45.72    50.69    37.01    65.41    24.78        0    31.91    53.06    40.21    36.96    69.52 
2       17.78    74.15    41.93    68.86    47.08    29.37        0    53.32    40.34    50.52   103.77 
3       38.24   129.31    21.14     2.15    72.68    60.92    51.81        0    29.98    49.43    96.75 
4          35    45.59     10.3    46.41     51.1    43.45    59.18    37.55        0    22.57    47.29 
5       62.42    48.52    46.13    46.47    75.46    53.46    72.23    72.52    20.27        0    30.28 
6       82.86    34.93    53.31    62.72    81.39    55.94   111.81    81.11    49.78    22.62        0 
;

param d:       1    2    3    4    5 :=
1       0    0   19    0    0 
2       0    0    0   12   14 
3       7    8    9    0    6 
4       9    0    0    0    0 
5       0    6    0    0    0 
6       0    0    5    0   11 
;
