set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    69.13    82.37    20.89     43.6    81.36     31.5    85.68    90.87    65.76    53.16 
o2      69.13        0    49.84    70.14    47.79    22.12    37.67    69.76    21.81    37.73    16.09 
o3      82.37    49.84        0     94.9    39.28    70.82    61.27    22.33     53.9     17.7    52.91 
o4      20.89    70.14     94.9        0    58.66    76.76    35.31   101.83     91.6    77.37    54.45 
o5       43.6    47.79    39.28    58.66        0    68.46    30.96    43.18    65.26    24.35    38.06 
1       81.36    22.12    70.82    76.76    68.46        0    50.98    91.49    24.96    59.79    31.53 
2        31.5    37.67    61.27    35.31    30.96    50.98        0    71.99    59.45    43.57    21.66 
3       85.68    69.76    22.33   101.83    43.18    91.49    71.99        0    76.06    32.69    69.43 
4       90.87    21.81     53.9     91.6    65.26    24.96    59.45    76.06        0    48.41     37.9 
5       65.76    37.73     17.7    77.37    24.35    59.79    43.57    32.69    48.41        0    36.96 
6       53.16    16.09    52.91    54.45    38.06    31.53    21.66    69.43     37.9    36.96        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    76.57    71.48    21.21    38.05    71.81     31.1    69.71   130.82    73.98     49.3 
o2      64.01        0    49.86    89.53    70.61    19.82    42.52       59    18.93     39.9    15.77 
o3      84.43    61.94        0    92.35    53.78   100.57    56.53    24.16     61.8    23.01    76.43 
o4      17.46     84.6   101.77        0    74.62    94.74    41.94   136.06    93.56     73.6    67.81 
o5      61.13    64.31    41.27    70.14        0    69.97    43.66    36.11     86.9    28.88    37.44 
1      104.04    31.55     70.1    62.25    64.01        0    60.22   121.17    20.29    51.84    38.46 
2       32.51    34.73    77.36    28.43    33.97    62.48        0    97.28     76.3    39.02    21.64 
3      113.27    67.89    25.33   110.42    61.53    97.49    73.12        0   103.82    33.03    75.38 
4      122.55    28.67    72.39    90.55    76.43    37.42    79.74    96.92        0    39.44    45.58 
5       78.81    41.46    20.78   100.42    30.15    82.89     58.1    27.73    61.86        0    51.23 
6       60.54     17.5    53.96    46.29    37.86    42.46    25.59    59.31    34.11    30.95        0 
;

param d:       1    2    3    4    5 :=
1       5    0    0    0    0 
2       0    0    0   18    0 
3       6   12    0    0    0 
4       0    0    0    0   19 
5       0    0    0    8    0 
6      11    0    9   16    7 
;
