set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    51.77    82.23    22.69    33.32    41.85    53.47    20.72    81.21     26.6       17 
o2      51.77        0    70.64    30.72    59.98    22.09    38.75    37.44    29.68    32.69    63.73 
o3      82.23    70.64        0    67.07    55.21    52.98    33.75    63.36    75.64    86.92    78.05 
o4      22.69    30.72    67.07        0    33.36    19.63     34.7     8.02    59.35    20.84    33.01 
o5      33.32    59.98    55.21    33.36        0    39.58    37.28    25.37    84.19    51.86     23.5 
1       41.85    22.09    52.98    19.63    39.58        0    19.26    22.13    44.79    35.36    48.81 
2       53.47    38.75    33.75     34.7    37.28    19.26        0    32.92    52.77    53.57    54.73 
3       20.72    37.44    63.36     8.02    25.37    22.13    32.92        0    65.05    27.54    27.06 
4       81.21    29.68    75.64    59.35    84.19    44.79    52.77    65.05        0     61.7    92.03 
5        26.6    32.69    86.92    20.84    51.86    35.36    53.57    27.54     61.7        0    43.03 
6          17    63.73    78.05    33.01     23.5    48.81    54.73    27.06    92.03    43.03        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    66.08     79.5    29.54     38.9    45.01    43.61    23.41   120.96    33.84    22.13 
o2      61.11        0     62.1    25.25     51.2    31.21    31.17     50.4    28.23    32.88     77.3 
o3      87.65    95.41        0    94.37       51    59.02    41.05    83.29    62.68    98.41    63.95 
o4      28.09    31.65    66.51        0    49.04    15.77    45.55     8.69    86.11    22.48    32.24 
o5       43.6    64.47    75.04    48.21        0    37.48    31.55    32.98    78.51    46.52    32.52 
1       51.59    24.65    76.17    27.13    37.12        0     27.2    30.29    63.48    47.11    71.88 
2       67.66     37.5     35.9    50.85    50.91    23.29        0    40.67    56.39    70.79    79.42 
3       20.08    36.04    54.87     7.37    36.67    22.84    27.41        0    87.42    32.59    22.17 
4      118.38    32.38    69.98    76.46    90.08    47.17    67.84    52.34        0    64.79    78.83 
5       26.68    35.86   127.49    31.05    49.84    35.49    54.12    40.46    72.39        0    50.94 
6       21.11    82.64   110.67     33.5    33.21    40.67    72.94    38.27   125.25    35.15        0 
;

param d:       1    2    3    4    5 :=
1      10    0    0    0    0 
2       0    0    8   17    0 
3      10    7    0   10    0 
4       0    0   17    9    0 
5      18   19   11    0   13 
6       0    0    0   14    0 
;
