set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    88.85    62.71    13.12    40.51    56.15    40.79    35.75     86.6    95.16    59.34 
o2      88.85        0     77.1    76.59    50.43    52.29    48.19    66.29    12.41    24.15     75.5 
o3      62.71     77.1        0     61.2    63.19    85.41    51.47    77.07    66.89    97.15     3.52 
o4      13.12    76.59     61.2        0    27.48    43.55    29.11    24.09    75.17    82.09    57.69 
o5      40.51    50.43    63.19    27.48        0    22.68    12.05     18.7    51.21    54.66    59.92 
1       56.15    52.29    85.41    43.55    22.68        0    33.95    21.25    58.09    45.88    82.22 
2       40.79    48.19    51.47    29.11    12.05    33.95        0    29.38    46.07    57.71    48.28 
3       35.75    66.29    77.07    24.09     18.7    21.25    29.38        0    68.79    65.21    73.62 
4        86.6    12.41    66.89    75.17    51.21    58.09    46.07    68.79        0     36.5    65.61 
5       95.16    24.15    97.15    82.09    54.66    45.88    57.71    65.21     36.5        0    95.07 
6       59.34     75.5     3.52    57.69    59.92    82.22    48.28    73.62    65.61    95.07        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0   108.76    92.33    18.82    49.12    55.29    49.81    46.55   108.55    86.57    88.74 
o2      99.45        0    82.86    86.53    44.38     72.3    72.22    75.06    12.97    27.82    72.15 
o3      91.83     92.2        0    63.82     80.6   120.62    69.71    67.05    83.73    81.91     3.22 
o4      15.01    85.29    70.92        0    22.93    58.52    26.71    24.85    97.67   111.22    67.04 
o5      39.77    57.14    50.98    22.53        0    20.19    15.77    21.22    51.89    52.59     72.8 
1       79.52    53.02    89.92     44.2    33.33        0    50.29     29.7    56.92    60.12    96.62 
2       52.95    59.73    41.86     27.6    11.01    40.89        0    38.54       53    84.93    60.08 
3       51.96    97.62    73.24    27.99    23.84    28.56    36.71        0   101.95    63.98    62.35 
4      123.19    15.73    83.07   108.99    58.78    83.95    39.57    91.04        0    30.74     64.2 
5      128.26    26.95    81.85    79.99    69.52     49.3    58.96    60.94    43.17        0   138.68 
6       58.33     62.8     3.74     82.9    89.53    74.66    40.23    97.61    86.07    80.08        0 
;

param d:       1    2    3    4    5 :=
1       0    0   18    0    0 
2       0    0    0    9    0 
3       9   18    0    0    0 
4       0    6    0    5    8 
5       0    7    0    0    7 
6       0    0    0    0   17 
;
