set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    74.68    48.04    46.74    73.66    46.75    12.95    65.08    99.81    41.94    66.41     5.61 
o2      74.68        0     80.9    84.16    61.13    41.75    77.63     71.8    46.57    69.31    36.78    77.58 
o3      48.04     80.9        0     4.48    40.49     77.5    36.06    24.33    80.59     11.9    93.63    53.39 
o4      46.74    84.16     4.48        0    44.96    78.79    34.31    28.67       85    14.84    95.44    51.92 
o5      73.66    61.13    40.49    44.96        0    79.44    66.03    17.55    42.37    35.94    88.47    79.15 
1       46.75    41.75     77.5    78.79    79.44        0     55.8    81.33    83.81     66.3    19.68    46.98 
2       12.95    77.63    36.06    34.31    66.03     55.8        0    55.29    96.62    31.74    75.06    17.73 
3       65.08     71.8    24.33    28.67    17.55    81.33    55.29        0    59.76    23.55    93.68    70.69 
4       99.81    46.57    80.59       85    42.37    83.81    96.62    59.76        0     72.8    83.12   104.49 
5       41.94    69.31     11.9    14.84    35.94     66.3    31.74    23.55     72.8        0    81.96    47.53 
6       66.41    36.78    93.63    95.44    88.47    19.68    75.06    93.68    83.12    81.96        0    66.63 
7        5.61    77.58    53.39    51.92    79.15    46.98    17.73    70.69   104.49    47.53    66.63        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    80.07    57.34    59.69    61.61    40.14    13.71     82.2   121.65    40.25    93.97     7.46 
o2      70.92        0   108.66       85    72.66    39.37    89.13    60.67    52.12    83.95    35.25   103.61 
o3      45.24   100.75        0     5.99    38.67    76.45    36.86    23.08    71.48    16.78   109.93     72.8 
o4      44.32    77.89     4.96        0    45.09   106.17    27.64    37.14    116.7    19.91   114.79    51.78 
o5      90.69    66.15    47.26    59.63        0    110.6    55.46    14.22    51.01    52.53    92.65    91.09 
1       42.44    62.48    63.47   104.43    87.97        0    75.77   103.62    107.7    63.33    18.44    41.25 
2       10.51    80.02    35.89     35.4    88.15    75.56        0    73.07    82.14    46.37    79.92    23.72 
3       53.58    76.85    33.71    36.59    18.96   107.11    64.84        0    54.65    26.75   118.15    67.84 
4       87.88    56.44   118.44   122.04    62.29    88.42    99.22    89.64        0    85.22    109.4    107.4 
5       60.41   101.39     10.3    16.67    46.81    80.52    45.91     31.7    94.31        0    87.03    50.76 
6       85.94    50.62    117.4    89.54    84.83    22.02    99.97    80.49    83.32    82.07        0     65.5 
7        8.19    82.92    66.13    54.16    83.56    60.62    22.35     75.3   122.21    41.79    76.59        0 
;

param d:       1    2    3    4    5 :=
1       0    5    0    0    0 
2       0    0    7    0    6 
3       0    0    5    0    0 
4       0   10   12    0    0 
5       0    0    0   10   11 
6       0   13    0    0    0 
7      16   15    0    0    0 
;
