set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    28.59    90.02    35.17     17.3    18.02    22.43    92.24    25.68   104.49     64.4    54.39 
o2      28.59        0    78.83    33.77    11.33    45.84    47.53    85.75    50.37    84.44    80.69    53.09 
o3      90.02    78.83        0    55.04    81.59    94.91    88.43    15.67    88.31    34.69    76.55     39.4 
o4      35.17    33.77    55.04        0    30.65    41.05    36.16    57.29    37.09    73.55    50.85    20.43 
o5       17.3    11.33    81.59    30.65        0    34.56    36.71    86.57    39.68    91.32    72.79    51.04 
1       18.02    45.84    94.91    41.05    34.56        0      8.7    94.14    11.31   114.32    52.86    56.24 
2       22.43    47.53    88.43    36.16    36.71      8.7        0    86.78     3.27   109.69    44.46    49.29 
3       92.24    85.75    15.67    57.29    86.57    94.14    86.78        0    86.07    49.81    67.24    38.18 
4       25.68    50.37    88.31    37.09    39.68    11.31     3.27    86.07        0   110.46    41.56    48.99 
5      104.49    84.44    34.69    73.55    91.32   114.32   109.69    49.81   110.46        0    107.9    65.51 
6        64.4    80.69    76.55    50.85    72.79    52.86    44.46    67.24    41.56    107.9        0    44.29 
7       54.39    53.09     39.4    20.43    51.04    56.24    49.29    38.18    48.99    65.51    44.29        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    36.38   103.67     39.7    17.99    18.62    23.05    90.27    26.27   139.36    51.55    64.27 
o2      31.59        0    82.52     29.4    14.73    37.93    66.82   112.72    60.78    98.95    82.88    53.05 
o3     105.25    80.51        0    74.68     86.4   134.68   113.46     20.4    78.82    49.38    97.17    57.11 
o4      40.85    30.89    80.92        0    39.88    35.15    48.04    48.12    35.95    74.68     66.9    28.42 
o5      15.11    13.03    66.07    27.58        0    37.44    38.45    91.25    42.48    95.58    61.56     50.3 
1       17.01    59.93   110.33    47.46    43.47        0    10.92   111.63    11.64    138.5    47.45    56.39 
2       25.04    63.68   105.51    31.93     37.7     8.67        0   118.06     3.34   142.74    60.29     59.3 
3      114.52    81.41    22.81    53.91    83.95    92.68    76.78        0   113.56    58.31     82.2    37.02 
4       29.62    70.19   120.69    33.11    44.22    12.78     4.69   105.35        0   141.25    60.35    50.92 
5       89.22    72.14    38.13    82.09    75.74   153.43    118.6    60.04     89.1        0   147.92    55.27 
6       88.04    84.51    84.18    69.12    66.24    55.97    46.05     59.6    52.26    99.48        0    50.45 
7        44.8    57.46    40.33    24.72    67.99    68.76    52.69    36.98    45.91    76.73    64.49        0 
;

param d:       1    2    3    4    5 :=
1       0    9    7    8   15 
2       8    0    0    0    0 
3      13    0    0   19    0 
4      11   11    0   16    0 
5       0    0    0    6    0 
6      18    0    0    0    0 
7      11   17    0    7    0 
;
