set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    58.99    27.41    90.16    85.04    32.46    62.91    66.98    32.82    25.38    17.43    28.89 
o2      58.99        0    33.73    33.75    26.65    30.02     4.41    51.34    43.76    46.32    44.71    62.48 
o3      27.41    33.73        0    63.03    60.37     5.11    37.12    60.47    16.47    28.63    11.11    43.13 
o4      90.16    33.75    63.03        0    23.06    58.23    29.34    78.57    66.83    80.03    73.97    96.23 
o5      85.04    26.65    60.37    23.06        0     56.6    23.62    58.21    69.54     69.1    71.32    84.19 
1       32.46    30.02     5.11    58.23     56.6        0    33.11    61.43    16.08     32.5    15.74    47.57 
2       62.91     4.41    37.12    29.34    23.62    33.11        0     54.5    46.01    50.73    48.19    66.89 
3       66.98    51.34    60.47    78.57    58.21    61.43     54.5        0    76.89    41.61    65.41    46.58 
4       32.82    43.76    16.47    66.83    69.54    16.08    46.01    76.89        0    43.41    16.97    55.97 
5       25.38    46.32    28.63    80.03     69.1     32.5    50.73    41.61    43.41        0    27.75    16.41 
6       17.43    44.71    11.11    73.97    71.32    15.74    48.19    65.41    16.97    27.75        0    39.11 
7       28.89    62.48    43.13    96.23    84.19    47.57    66.89    46.58    55.97    16.41    39.11        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    82.98    27.51    81.36   116.91    48.18    54.22    89.38    46.73    35.06    21.77    38.18 
o2       61.5        0    38.77    43.44    31.76    33.87     4.42    66.75    53.45    56.62    61.02    75.24 
o3      37.33    32.37        0    76.13    79.12     5.14    40.63    81.63    19.65    25.65    11.85    63.02 
o4     121.79    30.68    70.71        0    24.06    51.46    26.23   112.74    92.23   119.34    82.14    83.49 
o5      72.67    24.86    75.42    27.74        0    54.13    29.46    55.07    74.29    68.15     83.5   120.21 
1       27.81    28.23     6.52    82.09    61.57        0    35.72    75.63    14.31     28.5    18.03    59.26 
2       94.33     4.33    32.16    26.45    33.87    43.75        0    78.92    43.49    58.08    45.64    96.97 
3       65.23    71.07    86.59    88.31    74.55    72.16    76.01        0    88.06    36.15    93.08    50.35 
4       46.35    48.51    22.28    91.15    59.36    14.33    64.79   105.28        0    64.96    18.08     71.3 
5        28.6    66.93    25.51    70.55    80.66    28.96    54.89    61.61    58.44        0    25.41    18.64 
6       24.65     40.5    11.04     60.3    92.28    15.44    56.69    97.56    17.47    23.28        0    48.95 
7       24.19     86.4    41.66   125.43   100.35    40.51    83.96    69.35    65.73    15.25    44.35        0 
;

param d:       1    2    3    4    5 :=
1       0    0   13   12    0 
2      11    5    0   14    9 
3       0    0    0   15    5 
4       7    0    0   11   13 
5       0    8    0    0    6 
6       0   12    0    0    0 
7      19    0    0    0    0 
;
