set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    44.03    46.16    78.74    58.34    60.79     3.47    40.01    22.66    35.86    58.49    15.11 
o2      44.03        0    51.03    94.72    18.99    57.67    42.21    81.12    29.91    13.63    66.48    58.94 
o3      46.16    51.03        0    43.75    69.85    15.19    42.78    56.03    57.23     37.8    15.64    51.08 
o4      78.74    94.72    43.75        0   113.59    42.61    76.13    63.14    96.25    81.33    28.84    75.53 
o5      58.34    18.99    69.85   113.59        0    75.48    57.29    97.41    38.88     32.6    85.19    73.43 
1       60.79    57.67    15.19    42.61    75.48        0    57.36    69.91    69.54    45.86    15.76    66.26 
2        3.47    42.21    42.78    76.13    57.29    57.36        0    40.35    23.24    33.31    55.32    16.76 
3       40.01    81.12    56.03    63.14    97.41    69.91    40.35        0    62.53    69.83    58.59    26.27 
4       22.66    29.91    57.23    96.25    38.88    69.54    23.24    62.53        0    29.24    72.02    36.71 
5       35.86    13.63     37.8    81.33     32.6    45.86    33.31    69.83    29.24        0    53.38    49.83 
6       58.49    66.48    15.64    28.84    85.19    15.76    55.32    58.59    72.02    53.38        0    60.34 
7       15.11    58.94    51.08    75.53    73.43    66.26    16.76    26.27    36.71    49.83    60.34        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    41.34    41.53    71.66     79.3    91.18     3.39    45.23    27.41    36.52    86.27    18.04 
o2       50.7        0    66.78    84.08    21.48    73.87    53.92    69.77    24.12    11.96     92.3    70.91 
o3      51.62    54.31        0    54.23     61.4    18.97    58.61    80.17     75.8    30.26    19.11    70.49 
o4     117.69    88.73    51.71        0   117.78    38.37    96.12    76.41    83.31    89.22    36.71    88.31 
o5      54.24    24.44    97.04    96.36        0   106.98    78.17   139.95    45.35    36.89   121.32    82.92 
1       87.11     85.4    16.13    61.42    108.5        0    66.31    70.08   100.73    67.43    15.11     66.1 
2        4.55    43.72    57.91   111.68    54.09     80.4        0    56.14    28.98    27.49    76.92    19.19 
3       56.34    99.99    69.72    59.47   137.74    81.72    40.77        0    58.79    69.09       56    36.72 
4       20.28    38.65    73.59   129.04    38.94    92.44    34.52     90.9        0    25.25   100.87    48.95 
5       38.53    18.35     43.4   115.64    28.46    44.14     33.1    98.33    30.29        0    62.87    57.08 
6       56.32    83.73    22.83    39.18    82.81    22.53     63.8     55.5     70.8    45.79        0    67.61 
7       15.87    65.03    48.87    75.22   105.98    56.21    15.07    22.33    39.65    67.94    56.86        0 
;

param d:       1    2    3    4    5 :=
1       0   10    0    0    0 
2      17   18    0    0    5 
3       0    0    0    6    0 
4      18    0    0    0    0 
5       0   13    0    0    0 
6       0   11    0    0    0 
7       6    9   17   12    5 
;
