set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    50.69    70.66    90.11    54.71    96.45    70.99    18.27     99.2    55.06    88.53    60.42 
o2      50.69        0    56.26    43.74     8.37    46.13    86.34    49.53    70.26    21.35     38.1    10.08 
o3      70.66    56.26        0    91.62    49.37    71.14    44.52    54.44    32.15    35.21     67.2    55.59 
o4      90.11    43.74    91.62        0    45.98     34.4   128.24    92.59    92.29    58.59    30.91    38.26 
o5      54.71     8.37    49.37    45.98        0    41.94    82.38    50.76    61.93    14.16    34.21      7.8 
1       96.45    46.13    71.14     34.4    41.94        0   113.61    92.18    62.49    47.27     8.08    36.13 
2       70.99    86.34    44.52   128.24    82.38   113.61        0    53.33    72.34     69.9   108.53    90.01 
3       18.27    49.53    54.44    92.59    50.76    92.18    53.33        0    84.66    46.45    84.74    57.86 
4        99.2    70.26    32.15    92.29    61.93    62.49    72.34    84.66        0    50.55    62.27    64.92 
5       55.06    21.35    35.21    58.59    14.16    47.27     69.9    46.45    50.55        0    40.66    20.84 
6       88.53     38.1     67.2    30.91    34.21     8.08   108.53    84.74    62.27    40.66        0    28.14 
7       60.42    10.08    55.59    38.26      7.8    36.13    90.01    57.86    64.92    20.84    28.14        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    57.03    77.64   117.45     46.6   134.31    82.24    18.17   115.84    44.09   128.45    86.67 
o2      44.59        0    77.58     44.4    10.71    38.24    116.9    60.63    67.27    20.12    44.26    14.62 
o3      60.02    69.37        0    99.04     60.6     67.3    63.27    81.11    40.51    29.37    61.99    57.53 
o4     108.48    54.96    96.32        0    64.94    30.51    148.8    80.76     92.7    73.55    46.14    46.03 
o5      63.04     6.87    44.58    47.25        0    47.92    98.93    55.37    71.73    17.83    46.06    10.64 
1      126.92    47.23    72.94    48.18    46.86        0   132.63   115.59     58.5    39.46     9.57    36.87 
2       89.71   123.64    60.35   154.47    69.21    91.32        0    77.74     96.1    80.45   135.93   111.24 
3       15.89    61.82    58.43   131.78    75.07   120.12    65.96        0   101.09    45.12    76.05    54.45 
4      127.57    99.73    44.35   124.09    60.73    85.89    95.25    89.76        0    41.75    91.91    89.92 
5       62.32    28.07    32.36    81.53    19.79    61.06   101.33    62.22    56.35        0     40.8    27.76 
6       80.41    41.24   100.72    42.18    30.81    11.11    141.3   110.22    72.09    41.81        0    26.74 
7       90.01     8.75    54.63    46.42     7.93    44.59    117.7    47.05    83.98     27.7     39.5        0 
;

param d:       1    2    3    4    5 :=
1       0    7    0   10    6 
2       0   16    0   12   15 
3      12    0   16   10    8 
4       0    0    0    6    0 
5      12    0    0    8    0 
6       8    0    0    0    0 
7       0    0    0   15    0 
;
