set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0       33    30.02    40.42     17.3    29.79    16.26    78.64    20.69    46.91    48.48    63.07 
o2         33        0    30.92    30.14    49.71    45.65    49.27    76.37    40.66    21.55     68.8    51.98 
o3      30.02    30.92        0    12.49    37.85    17.78    40.96    50.32    18.43    27.88    39.94    33.14 
o4      40.42    30.14    12.49        0    50.08    29.11    52.87    46.27     30.9    18.53    49.34    23.79 
o5       17.3    49.71    37.85    50.08        0    28.39     5.56    79.79    20.81    60.77    38.96    69.87 
1       29.79    45.65    17.78    29.11    28.39        0     33.2    51.45     9.17    45.66    23.16    43.53 
2       16.26    49.27    40.96    52.87     5.56     33.2        0    84.65    25.05    62.12    44.51    73.58 
3       78.64    76.37    50.32    46.27    79.79    51.45    84.65        0    59.93    60.14    51.87     27.5 
4       20.69    40.66    18.43     30.9    20.81     9.17    25.05    59.93        0    44.89    29.53    49.17 
5       46.91    21.55    27.88    18.53    60.77    45.66    62.12    60.14    44.89        0    67.28    33.44 
6       48.48     68.8    39.94    49.34    38.96    23.16    44.51    51.87    29.53    67.28        0    55.96 
7       63.07    51.98    33.14    23.79    69.87    43.53    73.58     27.5    49.17    33.44    55.96        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0       29    27.43    41.17    24.76    31.01     19.4    80.11    25.55    49.86    53.99    77.19 
o2      40.26        0    27.13    40.27    41.71    63.55    40.84    93.01    37.68    30.91    56.34    77.35 
o3       38.5    27.84        0    10.42    49.27    14.99    53.86    66.75     27.4    39.13    34.15    43.53 
o4      39.14    37.04    10.78        0    46.54     25.2    52.25    66.82    43.55    25.84     45.8    27.63 
o5      20.92    61.91    50.62    47.17        0    40.23     6.77    64.14    28.45    86.28    34.64    82.59 
1       42.55    44.32    22.19    33.96    30.49        0    31.82    71.86     7.75    53.48    34.41    38.38 
2       20.41    64.91    38.23    60.36     7.42    29.36        0    74.71    34.89    72.37    47.55    85.76 
3      102.95    92.88    57.21    52.25    87.74    48.52    79.67        0    66.11    55.81    68.79    25.98 
4       19.19    39.98    25.87     32.2    29.76    13.37    30.21    51.89        0    66.39    26.71    47.07 
5       58.37     29.2    36.54    26.94    82.53    55.78    82.86    73.16    41.57        0    87.61    28.32 
6       42.28    59.61     48.4    42.41    50.18    22.86    42.93    53.14    43.16    98.46        0    55.16 
7       83.05    65.39    46.08    24.05    78.51    57.42    63.06    36.64    59.12    32.24    71.94        0 
;

param d:       1    2    3    4    5 :=
1      16    0    0    0    0 
2      16    9   12    0   17 
3       0    0    0   11    8 
4       0    0   10   19    0 
5       0    0   17    0    0 
6       0    0   12    0    0 
7       0   17    0    0    0 
;
