set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0     46.6    14.38    85.32    17.85    44.68    55.07     55.8    75.68    22.33    55.14    70.86 
o2       46.6        0     37.9    73.71    62.74     4.84    23.87    76.28     82.6    44.74       10    59.22 
o3      14.38     37.9        0    71.47    25.67    34.86    41.84    47.97    64.58    31.52    44.98     56.8 
o4      85.32    73.71    71.47        0    87.41    69.29     50.4    52.09    31.59   101.36    68.98    15.25 
o5      17.85    62.74    25.67    87.41        0    60.16    66.92    47.72    71.33    37.58    70.45    74.38 
1       44.68     4.84    34.86    69.29    60.16        0    20.02    71.67    77.76    45.18    10.46    54.67 
2       55.07    23.87    41.84     50.4    66.92    20.02        0    63.94    63.81     61.8    18.73    36.58 
3        55.8    76.28    47.97    52.09    47.72    71.67    63.94        0    25.89    77.74    78.46    45.39 
4       75.68     82.6    64.58    31.59    71.33    77.76    63.81    25.89        0    96.04    81.59    32.25 
5       22.33    44.74    31.52   101.36    37.58    45.18     61.8    77.74    96.04        0    54.69    86.25 
6       55.14       10    44.98    68.98    70.45    10.46    18.73    78.46    81.59    54.69        0    55.31 
7       70.86    59.22     56.8    15.25    74.38    54.67    36.58    45.39    32.25    86.25    55.31        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    46.14    20.29   123.96    23.56    52.77    44.18    49.36    83.51    32.92    62.77    104.9 
o2      54.68        0    43.46    87.15    61.01     6.02    25.66    86.08   111.72    44.93     8.95    69.43 
o3      18.07    47.59        0     91.3    35.46    46.83    42.37    71.33     88.6    41.32    39.87    72.45 
o4      69.28   105.88    88.42        0    87.19    79.51     73.9    46.42    43.96   151.95     88.7    18.37 
o5      24.48    85.75    37.76   111.12        0    82.17    73.93    58.23    85.38    39.27    67.98     98.8 
1       58.38     3.93    40.38    72.23     85.9        0    18.24   100.89    66.34    39.34    13.88     68.5 
2       76.68     23.4    45.12    57.39    63.61    21.64        0    89.94    63.26    88.58    25.81    30.32 
3       80.05   107.88    58.97    46.62    44.37    80.21    76.32        0    20.89   111.55   105.57    66.36 
4       96.58   107.25    83.88    41.49    82.63    72.35    61.97    37.28        0   131.17   121.62    43.53 
5       18.64    36.82    39.57   100.85    44.91    41.18    79.01    83.83   132.66        0     73.6   104.67 
6       54.42     10.7    63.24     78.9    84.54    10.98    27.18    86.57   120.64    79.67        0    53.06 
7        96.7    80.02     56.1    17.62    73.13    75.16    37.84    62.73    41.51    76.95    67.08        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0   10 
2       6    0    8    0    0 
3       0   17    0    0    0 
4      12    0    0    0    0 
5       0    9    0    0    0 
6      16    0    0    0    0 
7       0    0    0   13    0 
;
