set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    58.41     9.36    34.68    58.17     9.37    84.52    45.83    57.59    73.61    24.39    82.77 
o2      58.41        0    67.72    45.69     3.57    61.88    68.64     40.2   102.64    61.75    54.15    78.44 
o3       9.36    67.72        0    40.51    67.52    11.83    89.61    52.42    52.02    78.67    28.46     86.3 
o4      34.68    45.69    40.51        0    47.62    43.56    49.88    12.49    57.92    39.01    13.23    49.69 
o5      58.17     3.57    67.52    47.62        0    61.12    72.13    42.84   104.03    65.12    55.42    81.75 
1        9.37    61.88    11.83    43.56    61.12        0    93.44    54.21    63.78    82.56    33.74    92.06 
2       84.52    68.64    89.61    49.88    72.13    93.44        0     40.3    85.15    10.94    61.16    16.33 
3       45.83     40.2    52.42    12.49    42.84    54.21     40.3        0    67.86    29.92    25.73    43.52 
4       57.59   102.64    52.02    57.92   104.03    63.78    85.15    67.86        0    76.53    48.63    73.11 
5       73.61    61.75    78.67    39.01    65.12    82.56    10.94    29.92    76.53        0    50.22    17.02 
6       24.39    54.15    28.46    13.23    55.42    33.74    61.16    25.73    48.63    50.22        0    58.42 
7       82.77    78.44     86.3    49.69    81.75    92.06    16.33    43.52    73.11    17.02    58.42        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    84.57    10.75    42.98    75.19    10.88   124.99    57.93    51.62   101.25    24.64    82.18 
o2      57.95        0    83.51    57.54     3.93    56.85    89.06    56.69   101.83    53.33    71.21    63.06 
o3       8.18    79.29        0    33.59    82.18    12.56   116.12    71.21    45.44    101.2    36.75   110.61 
o4      28.49    47.66    54.08        0    62.03    64.85    73.34    10.48    65.37    47.97    15.73    68.93 
o5      53.51     5.15    73.84    45.27        0    76.25    69.77    62.34   142.46    64.32    80.34    96.12 
1        7.98    61.65    17.34    50.53    84.91        0   140.01    47.44    77.32    68.44    46.88   105.78 
2      119.06    73.65   116.36    74.75    89.18   133.43        0    42.89   123.13     8.84    76.93    20.45 
3       38.09    60.11    66.19    12.29     37.4    61.67    35.65        0    88.39    28.85    28.82    60.56 
4        48.3    134.5     63.5    84.14   138.85    67.94    80.56    54.51        0    79.22    52.26    86.99 
5       63.91    70.21     88.7    41.72    58.87    70.06     16.1    39.24   101.96        0    50.22    22.62 
6       24.86    46.01    41.97    15.44       72    42.36    74.39    25.78    45.51     66.6        0    47.22 
7      103.78    99.78    70.55     50.6     66.2    95.14    19.56    50.81     87.7    20.71    80.17        0 
;

param d:       1    2    3    4    5 :=
1       0   19    0    0    0 
2       0    0    0    0   14 
3      10    0    0   10    0 
4      10    0   19    0    0 
5       0    0    0    0   11 
6       0    0    0   16   17 
7       0   18    0    0    0 
;
