set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    90.84    69.76    26.81    66.36    99.58    79.04    66.05    49.67    86.73    84.38     28.8 
o2      90.84        0    35.99    64.66    30.47     21.7     11.8    63.99    72.54     4.12    63.44     67.4 
o3      69.76    35.99        0    43.69     9.74    32.64    28.78    73.91    73.56    33.11     81.9    41.52 
o4      26.81    64.66    43.69        0    39.61    72.78     52.9    55.31    44.56    60.54    71.38     9.59 
o5      66.36    30.47     9.74    39.61        0    33.28    21.18    64.38     64.9    26.95    72.17    39.58 
1       99.58     21.7    32.64    72.78    33.28        0    27.69    84.06    90.37     23.2    84.94    72.71 
2       79.04     11.8    28.78     52.9    21.18    27.69        0    56.51    62.95     7.69    59.07    55.94 
3       66.05    63.99    73.91    55.31    64.38    84.06    56.51        0    18.24     61.3    18.61    64.68 
4       49.67    72.54    73.56    44.56     64.9    90.37    62.95    18.24        0    69.17    36.69    54.13 
5       86.73     4.12    33.11    60.54    26.95     23.2     7.69     61.3    69.17        0    61.78    63.37 
6       84.38    63.44     81.9    71.38    72.17    84.94    59.07    18.61    36.69    61.78        0    80.34 
7        28.8     67.4    41.52     9.59    39.58    72.71    55.94    64.68    54.13    63.37    80.34        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    77.87    86.04    32.88    60.22    93.12    68.84    68.71    68.66   123.32    120.6    42.13 
o2     111.75        0    34.52    58.88    37.03    31.14    15.54    85.83    58.83     3.48     55.7     73.4 
o3      87.12    40.12        0    51.45    13.76    45.21    34.14   105.35   109.92    31.95    69.83    52.56 
o4      27.04    73.42    42.19        0    35.75   104.73    54.82    82.91    37.12    60.82    63.71    12.46 
o5      99.09    38.41     9.22    36.63        0    45.68    19.96    86.03    77.89    25.47   108.11    45.78 
1      123.89    17.97    34.99    84.68    46.84        0    27.24    78.75   129.59    33.32    84.12    81.99 
2      104.01    11.51    26.75    71.01    24.78    23.22        0    82.57    85.97     6.74    63.49    54.45 
3       80.59    56.02    60.94    77.22    89.07   121.86    72.39        0    26.58    50.97    23.17    86.49 
4       63.45    91.46   107.67    57.11    56.84    92.67     90.3    18.28        0    83.07    49.13    45.97 
5      102.69     4.23    39.16    68.56    30.33     24.9     6.99     58.4    68.05        0    64.13    58.72 
6       92.86    81.69    76.07    70.02    72.76    84.78    62.44    17.51    43.89    74.91        0    81.23 
7       33.77    81.13     61.7    12.56     34.4    66.86    78.85    56.08    77.88    75.37    81.35        0 
;

param d:       1    2    3    4    5 :=
1       0   13    0    0    0 
2       9    6   14   12    0 
3      19    0    0    6    0 
4       0    0    9    0    0 
5       0   11   11   15    0 
6       6    0   15   10    0 
7       0    0    0    0   18 
;
