set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    22.69    25.48    20.84     48.7    25.18    26.23    25.27    64.95    55.02    24.45    59.08 
o2      22.69        0    35.26    41.15    46.33    37.69    22.97     45.4    42.86    35.92      2.1    46.94 
o3      25.48    35.26        0    40.99    73.55     4.35    49.87    44.76    75.52    71.11    37.32    80.63 
o4      20.84    41.15    40.99        0    46.48    38.74    32.47     4.44    80.22    66.92    42.46    64.03 
o5       48.7    46.33    73.55    46.48        0    73.79    24.32    47.38     58.3    39.99    45.42    23.47 
1       25.18    37.69     4.35    38.74    73.79        0    50.56    42.29    78.79    73.61    39.78     82.1 
2       26.23    22.97    49.87    32.47    24.32    50.56        0    35.41    49.86    34.82    22.53    33.27 
3       25.27     45.4    44.76     4.44    47.38    42.29    35.41        0    83.88    70.12    46.65    66.06 
4       64.95    42.86    75.52    80.22     58.3    78.79    49.86    83.88        0    18.38    40.87    39.82 
5       55.02    35.92    71.11    66.92    39.99    73.61    34.82    70.12    18.38        0    33.83    22.33 
6       24.45      2.1    37.32    42.46    45.42    39.78    22.53    46.65    40.87    33.83        0    45.22 
7       59.08    46.94    80.63    64.03    23.47     82.1    33.27    66.06    39.82    22.33    45.22        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    27.97    34.72    27.78    46.27    34.55    22.94    30.84    60.98    70.94    31.88    50.79 
o2      22.28        0    52.88    51.26     43.7    41.29    23.38    58.44    57.52     31.6     1.86    69.21 
o3      33.17    35.37        0    39.74    85.93     6.18    47.91    36.61    97.41     59.6    54.06    68.64 
o4      24.61    57.19    42.34        0    42.59    31.03    43.33     6.29   119.56    54.79    45.78    73.65 
o5      42.56    39.07   106.22     64.3        0   105.71    25.33    55.85    70.47    57.22    52.53    19.12 
1       23.61    51.77     3.57    42.12    68.95        0    51.76    34.87    74.85    66.33    38.46   117.47 
2       34.99    28.04    74.12    29.41    21.82     75.7        0    41.22    48.36    49.89    19.56    42.01 
3       37.62     47.5    39.74     5.61    53.14    51.44    48.21        0    67.82    62.45    43.24    70.98 
4       94.34    40.84    86.82   117.73     53.2    87.61    52.92   110.16        0    18.17    54.73    50.26 
5       57.41    50.27    59.94    78.18    39.31    94.91    32.22    63.75    19.43        0    32.08    30.96 
6       27.82     3.08    54.24    35.04    49.43    53.73    22.43    46.88    34.91    45.56        0    57.37 
7       57.03     59.1   117.42    91.96    30.38    91.65    36.37    92.51    35.29    30.09    54.31        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    9    0 
2       0    0    0   15    0 
3       0    0    5    0    0 
4       0   14    0    0   10 
5      18    0    0    0    0 
6       0    0   11    0    0 
7       0   11    6   16    0 
;
