set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    49.46    53.43     80.4    40.93    69.23     3.22    86.58    76.77    33.59    99.35    65.23 
o2      49.46        0     9.31     37.2     9.52    21.81    50.55    39.96    34.52    64.47    65.66    80.87 
o3      53.43     9.31        0    29.06    17.35    25.07    54.99    33.43    39.77    71.97    72.09    89.86 
o4       80.4     37.2    29.06        0    46.24    37.61    82.38    10.53    52.01   101.02    83.71   117.72 
o5      40.93     9.52    17.35    46.24        0    28.51    41.76    49.45    38.48    55.03    67.13    72.78 
1       69.23    21.81    25.07    37.61    28.51        0    69.82    34.26    15.55    77.52    48.42    86.08 
2        3.22    50.55    54.99    82.38    41.76    69.82        0    88.29    76.75     30.4    98.44    62.21 
3       86.58    39.96    33.43    10.53    49.45    34.26    88.29        0    46.93   104.42    77.13   118.37 
4       76.77    34.52    39.77    52.01    38.48    15.55    76.75    46.93        0    78.48    32.87    80.84 
5       33.59    64.47    71.97   101.02    55.03    77.52     30.4   104.42    78.48        0    90.23    33.01 
6       99.35    65.66    72.09    83.71    67.13    48.42    98.44    77.13    32.87    90.23        0    79.67 
7       65.23    80.87    89.86   117.72    72.78    86.08    62.21   118.37    80.84    33.01    79.67        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    45.39    71.01    96.91    39.23    71.19      2.6   115.68    65.35    28.44   138.78    72.89 
o2         70        0     9.87    46.71     9.44    22.01    53.52    41.36    27.65    62.14    98.32    66.67 
o3      56.68     9.78        0    36.71    21.56    22.56    55.25    39.88    50.29   105.68    83.94   129.51 
o4      74.27    34.85    35.82        0    51.18    33.95    69.68    12.15    61.83   128.51    91.42   111.98 
o5      58.09     9.82    24.33    67.91        0    24.21    61.72    44.05    40.48    45.72    90.18   103.96 
1       86.52    19.47    27.58    37.87    27.27        0    90.02    40.76    18.46    90.42     45.2     93.5 
2        2.95    69.63    76.51    69.46    57.14    85.24        0    95.16    84.24    31.32   140.78    55.13 
3       84.05    50.66    43.21    15.32    66.61    38.97    83.15        0    65.33   152.65   103.34    175.2 
4      102.07    47.49    50.54    75.57    46.58    13.58     88.5    38.06        0    92.43    28.25    79.75 
5       46.29    85.21    90.24   151.51    68.37   107.35    29.53   104.62    91.34        0   128.53    34.83 
6       85.76    61.92     65.3    93.13    93.62    70.76    114.9    75.94    31.76    99.97        0   119.49 
7       66.84   109.87   133.28   171.11    84.07   100.52    75.57   126.96   119.36     30.4    89.73        0 
;

param d:       1    2    3    4    5 :=
1       0    5    0    0    0 
2       0    0    0    0   16 
3       9    0    9    0    0 
4       8   19    0    0    0 
5       0    0   18    0    0 
6       0    6    5   16    0 
7       0    0   19    0    0 
;
