set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    19.18    30.58    32.51    26.93    26.98    82.33    36.32    45.19    53.53    26.84     8.04 
o2      19.18        0    47.55     48.2    43.17    29.13    75.61    55.42    64.11    70.98    45.41    26.97 
o3      30.58    47.55        0     5.16    35.93    32.55    83.56    17.53    21.21    48.49     8.94    26.43 
o4      32.51     48.2     5.16        0    40.65    30.06    79.16    22.41    24.95    53.59    13.98    29.45 
o5      26.93    43.17    35.93    40.65        0     51.5   107.87    27.24    36.18    28.02    27.19    19.92 
1       26.98    29.13    32.55    30.06     51.5        0    56.39    47.92     53.6     74.4     36.3    31.85 
2       82.33    75.61    83.56    79.16   107.87    56.39        0   100.92   103.98   129.99    90.05    88.09 
3       36.32    55.42    17.53    22.41    27.24    47.92   100.92        0     9.53    31.58    11.66    29.12 
4       45.19    64.11    21.21    24.95    36.18     53.6   103.98     9.53        0    34.56    18.92    38.31 
5       53.53    70.98    48.49    53.59    28.02     74.4   129.99    31.58    34.56        0    40.52    45.68 
6       26.84    45.41     8.94    13.98    27.19     36.3    90.05    11.66    18.92    40.52        0    20.87 
7        8.04    26.97    26.43    29.45    19.92    31.85    88.09    29.12    38.31    45.68    20.87        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    16.93    36.78     31.8    36.09    37.71   112.65    30.91    60.59    78.94    23.32     7.89 
o2      21.87        0    57.83    69.37     52.7     38.1    77.23    68.98    93.22    71.85    55.94       33 
o3      30.17    42.11        0     7.31    46.08    43.68   102.51    24.69    30.74    71.64     7.79    26.19 
o4      32.37    42.34     6.16        0    40.96    36.31   101.65    21.47    24.88    48.79    15.18    40.33 
o5      36.98    38.58    40.78    41.54        0    75.96   155.38    29.46     36.8    39.31    24.38    19.46 
1        34.1    38.13    41.63    26.04    44.16        0    65.17    56.09     73.2    75.37    47.21    26.96 
2        81.1    95.65     67.2    82.88   115.47    57.35        0    86.29   142.14   188.55   102.34   102.24 
3       32.06    80.91    14.78    31.87    35.61    44.43    87.66        0     8.19    27.69    17.15    31.85 
4       41.36    62.15    27.47    31.85     33.5    56.69   133.69      9.8        0     31.4     20.9    52.16 
5       52.73    86.58    64.62    60.95    22.87    93.66    112.8     44.5    32.23        0     34.5    60.96 
6       40.21    41.85     8.27    15.26    28.23    51.44   134.28    15.27    16.93    49.77        0    16.81 
7          11    24.21    36.72    40.91    27.25    32.73    74.28    43.24    56.16    38.15    28.63        0 
;

param d:       1    2    3    4    5 :=
1       7    0    0    0    0 
2       0    0    0    0   13 
3       0    0    0   19    0 
4       0    0    5    0    0 
5       0   14    0    0   10 
6      10    0    0    0    0 
7       0   11   19   12    0 
;
