set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    40.67    27.43    92.68    87.71     30.6    65.14    84.39    67.31    47.02    61.49    22.46 
o2      40.67        0    31.58    74.47    76.31    28.63    25.34    44.08    38.12    69.53     41.5     35.5 
o3      27.43    31.58        0    65.25    60.84     4.44    55.76    67.98    42.74    37.97    34.63     41.3 
o4      92.68    74.47    65.25        0     14.9     62.4    81.07    69.58    38.63    74.71    33.55   103.22 
o5      87.71    76.31    60.84     14.9        0    58.85     87.2    79.42    44.92    63.24    35.14   101.12 
1        30.6    28.63     4.44     62.4    58.85        0    52.19    63.68    38.44    41.35    30.95    42.44 
2       65.14    25.34    55.76    81.07     87.2    52.19        0    25.37    42.65    93.53       53    54.74 
3       84.39    44.08    67.98    69.58    79.42    63.68    25.37        0    36.53   102.97     50.7    78.02 
4       67.31    38.12    42.74    38.63    44.92    38.44    42.65    36.53        0    71.04    14.51    71.24 
5       47.02    69.53    37.97    74.71    63.24    41.35    93.53   102.97    71.04        0    57.72    68.97 
6       61.49     41.5    34.63    33.55    35.14    30.95       53     50.7    14.51    57.72        0    69.92 
7       22.46     35.5     41.3   103.22   101.12    42.44    54.74    78.02    71.24    68.97    69.92        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    53.27    38.82   132.08   124.75    30.25    81.12    69.56    94.89    45.44    64.29    32.36 
o2      44.66        0    43.99    90.51   100.27     28.8    36.98    46.08    40.62    62.98    55.64    30.67 
o3      28.09     36.3        0    86.97    52.54     6.25    48.92    96.81    55.18    44.36    30.96    42.44 
o4     124.73    88.11    54.82        0    21.81    86.96     90.6    97.52    48.11    71.69    46.78   118.09 
o5      76.99    70.62    79.29    17.78        0     86.1    95.74   105.59    36.71    69.15     48.1    96.26 
1        43.4    30.15     5.01    79.69    82.71        0    43.34    62.77    34.15    46.68    31.54    60.08 
2       87.79    28.04    78.78   109.61    70.68    56.24        0    20.66    45.51    78.34    46.74    58.43 
3      117.08    47.04     96.2    61.05   103.64    88.26    28.34        0    32.56    82.85    71.62   116.12 
4       71.66    43.28    34.75    32.89    64.93    35.38    61.81    53.77        0     79.6    12.97     75.1 
5       62.72    79.35    44.23   106.79     90.3    59.82   121.99   151.33   102.91        0    78.54    77.75 
6       71.35    57.96    43.54    37.43    29.75    24.92    54.49     47.2       15    49.15        0    66.93 
7       22.81    32.38    54.54   125.65   100.06    34.74    47.28    85.72    63.02    65.54    70.46        0 
;

param d:       1    2    3    4    5 :=
1       0   14   16   15    9 
2       0   11   10    9    0 
3      15    0   11    0    0 
4       0   14    0   19   15 
5       0    0    0    0    9 
6       0    0   14    0    0 
7       0   13    0    0    0 
;
