set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    92.96    62.35     71.1    81.32    93.08    14.55    63.91    39.29    41.12    75.23    94.26 
o2      92.96        0    98.18     85.6    17.35    28.94    82.92    30.07    85.81    53.39    36.24    21.11 
o3      62.35    98.18        0    18.82    80.94   115.11    50.69    82.28    24.15    57.51    63.27   111.63 
o4       71.1     85.6    18.82        0    68.28   105.89    57.46    74.72    32.31    54.19    49.49   101.35 
o5      81.32    17.35    80.94    68.28        0     41.4    69.82    24.96     69.6    40.34    19.11       35 
1       93.08    28.94   115.11   105.89     41.4        0    86.94    33.41    97.93     60.9    59.54     8.21 
2       14.55    82.92    50.69    57.46    69.82    86.94        0    55.41     26.7    29.64    61.89    86.95 
3       63.91    30.07    82.28    74.72    24.96    33.41    55.41        0    64.52    27.68    34.91    31.86 
4       39.29    85.81    24.15    32.31     69.6    97.93     26.7    64.52        0    37.42     55.3    95.74 
5       41.12    53.39    57.51    54.19    40.34     60.9    29.64    27.68    37.42        0    35.45    59.48 
6       75.23    36.24    63.27    49.49    19.11    59.54    61.89    34.91     55.3    35.45        0    53.72 
7       94.26    21.11   111.63   101.35       35     8.21    86.95    31.86    95.74    59.48    53.72        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0   119.27    90.17    91.54   108.64   137.22    15.21    84.08    36.49    55.56    96.19   135.07 
o2     114.37        0   121.46     96.5    15.08    39.26    87.53    41.63     81.6    71.18    29.45    26.39 
o3      76.89   123.39        0    20.38    86.41   148.37    66.48     98.8    19.61    71.22    53.99    94.22 
o4      94.55    85.56    16.08        0    74.96   114.26    77.17   102.97    34.29    67.83    59.94   135.22 
o5      78.21    22.04   110.08    77.09        0    38.54     66.3    34.84    60.91    45.99    27.92    45.82 
1      117.37    39.32   104.96    89.42    48.27        0    72.65    42.61     85.4    56.91    48.13    12.07 
2       13.22    97.68    50.29    85.56    84.94   101.76        0    65.44    25.44    23.89    92.75    74.93 
3       66.43    32.75    89.43    67.75    33.86    30.38    60.57        0    56.28    29.56     34.4    36.46 
4        56.3   117.94    21.68    28.41    71.61   107.39    24.14    82.91        0    55.19    62.21    90.14 
5       59.92    72.71    57.38    58.69    33.18    81.56    41.45    35.22    31.57        0    40.85     63.3 
6      111.58     33.3     51.2    68.65    15.51    79.52     53.9    32.54     59.1    35.95        0    78.89 
7       82.14    21.83   111.97   136.67    36.52    12.22    69.82    34.08    95.11    69.27    55.21        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0    6 
2       0   16   15   11    9 
3      12    0    0    0    0 
4       0    0   19    0   19 
5      12    0    0    0    0 
6       8    0   17    0    0 
7       0    0    0    0   15 
;
