set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    59.47    33.69    99.21    20.38    36.89    80.13    73.96    41.55    74.35    59.45    59.95 
o2      59.47        0    36.04    86.09    40.78     91.6    47.61    36.96    65.12    15.05    90.44    11.48 
o3      33.69    36.04        0    70.84    26.53    57.87    46.55    40.36    29.91    50.38    55.34    42.53 
o4      99.21    86.09    70.84        0    97.35   101.64     40.9    50.91    61.22    91.27    65.29    97.43 
o5      20.38    40.78    26.53    97.35        0    56.63     70.6     62.5    48.55    55.24     71.4    39.88 
1       36.89     91.6    57.87   101.64    56.63        0     97.3    94.71    42.16    106.6    41.55    94.46 
2       80.13    47.61    46.55     40.9     70.6     97.3        0    10.68    56.46     50.7    74.85    59.08 
3       73.96    36.96    40.36    50.91     62.5    94.71    10.68        0    55.79    40.37     76.8    48.42 
4       41.55    65.12    29.91    61.22    48.55    42.16    56.46    55.79        0    78.59    25.45    72.39 
5       74.35    15.05    50.38    91.27    55.24    106.6     50.7    40.37    78.59        0   103.62    17.91 
6       59.45    90.44    55.34    65.29     71.4    41.55    74.85     76.8    25.45   103.62        0    97.84 
7       59.95    11.48    42.53    97.43    39.88    94.46    59.08    48.42    72.39    17.91    97.84        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    58.38    30.57   125.34    26.25    33.18   105.73    86.62    45.97    80.45    82.84    78.59 
o2      74.13        0    35.75   128.03    52.68   123.71    55.11    44.23     54.5    19.92    79.44    15.44 
o3      31.88    46.41        0    64.27    39.72    83.92    64.23    36.35    28.74    40.93    51.55    63.77 
o4     137.15   119.57    82.71        0   132.19    82.44    46.95    44.22    82.51    78.53    75.79    89.88 
o5      22.07    49.66     34.4   132.46        0    68.35    76.07    68.45     55.6    72.02    67.05    51.14 
1        32.4   128.76    58.69    96.74     62.7        0   114.25    91.92    36.56   151.29    54.28    86.99 
2       97.48    43.71    65.78    48.27    57.95    101.8        0     11.4    54.99    55.88    92.06    88.05 
3        96.5     55.3    53.47    57.71    79.79   106.63    11.32        0     67.7    44.01    115.1    45.61 
4       37.12    63.42    26.51    67.14    49.48    42.59    46.36    62.94        0     81.8    27.63   102.75 
5       87.33    14.53    59.78   127.06    81.48   152.98    71.04    40.17    73.97        0   104.66    21.09 
6       59.22     96.6    68.14    84.79    93.25     40.7    65.98   105.34    24.02    118.8        0   130.51 
7       81.14    16.88    56.58    91.59    33.18    87.26    84.68    72.05    90.41    25.16     84.7        0 
;

param d:       1    2    3    4    5 :=
1       0    0   16    0    0 
2       0    0    0    0   11 
3      18    0    0   18   15 
4       0    0    0    0    9 
5       0    0    0    8    0 
6       0    9   13   16    9 
7       0    0    0   15    5 
;
