set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0     11.5    18.59    55.67    79.91     4.11    51.53    30.36    30.25     66.4     7.55    23.79 
o2       11.5        0    25.21    66.96    77.26    15.34     62.6     19.2    38.38    71.87     4.57    23.02 
o3      18.59    25.21        0    55.64    66.52     15.9    42.37    43.31    13.42    47.84    20.95    15.15 
o4      55.67    66.96    55.64        0   117.67    52.41    27.38    84.48    50.48    77.16    63.22    70.59 
o5      79.91    77.26    66.52   117.67        0    79.53    95.13    82.22    67.36    53.34    76.23    56.13 
1        4.11    15.34     15.9    52.41    79.53        0    47.45    34.37     26.7     63.4    11.07    23.69 
2       51.53     62.6    42.37    27.38    95.13    47.45        0    81.77    31.84    50.37    58.09    56.96 
3       30.36     19.2    43.31    84.48    82.22    34.37    81.77        0    56.72    87.44    23.75    36.23 
4       30.25    38.38    13.42    50.48    67.36     26.7    31.84    56.72        0    37.69    33.98    25.86 
5        66.4    71.87    47.84    77.16    53.34     63.4    50.37    87.44    37.69        0    68.11    51.25 
6        7.55     4.57    20.95    63.22    76.23    11.07    58.09    23.75    33.98    68.11        0    20.78 
7       23.79    23.02    15.15    70.59    56.13    23.69    56.96    36.23    25.86    51.25    20.78        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0     9.41    18.76    67.11    98.73     3.65     73.7    24.68    34.45    86.64     6.57    33.21 
o2      10.49        0    33.89    85.72   107.44    18.83    51.13    28.38    44.41    65.18     6.32    19.82 
o3      16.92    28.83        0    72.99    87.87    12.92    59.67    37.67    14.13    66.36    23.84    19.11 
o4      51.98    55.18    53.69        0   109.52    69.02    28.77     92.5     50.6   115.19    60.56    74.31 
o5       91.3     93.1    68.51   110.86        0    73.53    80.91     68.4     89.6    53.41    84.26    79.11 
1        5.43    22.45    23.58    73.92    72.33        0    49.29    49.45    33.95    58.99    13.21    24.54 
2       54.14    91.99    34.38    37.96    88.06    70.35        0    92.21    35.62     49.2    47.73    81.63 
3       42.87    18.26    50.46     85.5    85.29     30.8   102.39        0    78.57    106.8    24.01    54.34 
4       42.38    31.41    11.52    61.97   100.78    30.03    46.98    75.03        0       33    32.27    31.25 
5       76.66    65.42    68.97   100.98    52.75    70.73    65.95   117.54     48.7        0    93.94    60.04 
6        7.13     6.05    29.45    90.29    73.46    14.82    53.44     20.3    35.26    98.13        0    26.91 
7       34.09    28.76    13.63     78.4    75.74    23.74     55.3    44.74    20.94    65.06    17.18        0 
;

param d:       1    2    3    4    5 :=
1       0    0   12    0    0 
2      10   18    0   16   15 
3       9   11    0    0    0 
4       0    0    0    0    7 
5      16    0    0   11    0 
6       0   17    5    0    8 
7       0    0    0   14    0 
;
