set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    15.97    42.85    17.18    70.76    44.66    78.83    50.56    43.22    63.11    39.07    94.06 
o2      15.97        0    31.79    33.14     63.7    50.63    82.24    65.96    43.38    78.41    44.85   101.16 
o3      42.85    31.79        0    56.86    33.79    46.93    67.49    82.73    30.89    93.78    42.74    92.15 
o4      17.18    33.14    56.86        0    80.39    43.08    77.58    34.14    48.24    46.74    38.61    87.95 
o5      70.76     63.7    33.79    80.39        0    50.25    50.43    96.75    34.78   105.21    49.75    78.03 
1       44.66    50.63    46.93    43.08    50.25        0    34.72    47.62     17.4    55.11      5.8    50.53 
2       78.83    82.24    67.49    77.58    50.43    34.72        0    74.02    39.48    76.93    39.93    27.63 
3       50.56    65.96    82.73    34.14    96.75    47.62    74.02        0    62.02     12.6    47.06    72.93 
4       43.22    43.38    30.89    48.24    34.78     17.4    39.48    62.02        0    70.91    15.29    61.91 
5       63.11    78.41    93.78    46.74   105.21    55.11    76.93     12.6    70.91        0    55.64    71.16 
6       39.07    44.85    42.74    38.61    49.75      5.8    39.93    47.06    15.29    55.64        0    56.32 
7       94.06   101.16    92.15    87.95    78.03    50.53    27.63    72.93    61.91    71.16    56.32        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    16.79     34.3     22.7    70.73    45.13    96.91     63.3    63.04    70.71    52.91    90.91 
o2      16.91        0    37.48       38    92.44    50.48    91.82    95.15     58.8    66.42    39.81    88.06 
o3      36.57    42.25        0    75.12     40.2    67.73    87.48    94.06    30.23   104.45    59.06   110.98 
o4      25.62    27.51     53.4        0     77.1    60.92    63.98    43.83    59.56    37.46    49.66    92.35 
o5      98.22     64.2    49.43    69.45        0     64.6    71.07   127.24    27.86   149.62    40.28   111.65 
1       59.14    48.39    70.15    57.96    71.27        0    45.77    47.87    18.97    50.12     5.25    61.97 
2       67.58    90.66    73.74    75.76     75.3    34.68        0   106.14    53.09    68.56    35.11    37.14 
3       66.65    93.11    92.51    31.29    81.42    40.08    83.68        0    91.07    11.77    52.04    75.31 
4       50.45    45.71    26.59    41.21    34.19    15.11    32.04    79.08        0    95.49    14.12    51.89 
5       56.11   104.61    98.67    62.39    89.36    52.91    71.42    12.14    78.62        0    46.23    74.54 
6       54.05    49.16    45.79    51.75    74.14     4.79    38.48    40.21    20.24    69.13        0    63.53 
7       99.65    82.65   121.01    95.53   115.55     44.8    32.17    89.83    78.56    95.59    84.15        0 
;

param d:       1    2    3    4    5 :=
1       0    7   11    0    0 
2       0    0    0   14   18 
3       0   11    0    0    0 
4       0    6    0    0   11 
5      11    0    0    0    0 
6       0   16    0    0    0 
7       0    0    0   16    0 
;
