set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    48.06     7.17    38.88    28.38    28.71    53.44    21.48    12.81    70.15    58.17    34.81 
o2      48.06        0    41.31    71.23    35.89    65.64    81.64    36.44    37.36    52.48    53.36     55.9 
o3       7.17    41.31        0    43.64    22.44    34.04    57.86    19.41      9.5    67.62    57.06    32.44 
o4      38.88    71.23    43.64        0       66    10.68     14.7    35.21    38.93    61.67     44.7    73.23 
o5      28.38    35.89    22.44       66        0    56.47    80.05    36.64    28.34    78.53    71.93    20.09 
1       28.71    65.64    34.04    10.68    56.47        0    25.36    29.24    30.68    64.48    48.26    62.71 
2       53.44    81.64    57.86     14.7    80.05    25.36        0    47.08    52.33    62.19    45.21    87.91 
3       21.48    36.44    19.41    35.21    36.64    29.24    47.08        0     9.93    48.71    37.66    51.09 
4       12.81    37.36      9.5    38.93    28.34    30.68    52.33     9.93        0    58.24    47.59    41.35 
5       70.15    52.48    67.62    61.67    78.53    64.48    62.19    48.71    58.24        0    17.14    96.82 
6       58.17    53.36    57.06     44.7    71.93    48.26    45.21    37.66    47.59    17.14        0    88.38 
7       34.81     55.9    32.44    73.23    20.09    62.71    87.91    51.09    41.35    96.82    88.38        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    47.08     8.23    51.07    29.51    37.09    63.75    20.64    14.58    91.75    57.66    29.41 
o2      45.55        0    52.52    98.62    47.05    90.95    91.27    44.11    43.05    70.32    76.58    71.67 
o3       9.89    47.08        0    42.19    24.03    41.56    68.41    24.78     8.71    89.61    85.57    34.41 
o4      42.24    76.19    37.64        0    66.72    13.68    21.52     36.1    57.64    78.57    52.21    75.18 
o5      25.59    50.16    30.08     86.2        0    78.39    97.75    40.83    23.05      108   103.91    19.06 
1       39.58     58.6    37.41    10.01    59.31        0    34.12    29.95    40.28    65.32    64.64    67.21 
2       57.49       70    59.42    13.56     83.3    22.53        0    43.12    56.91    66.85    39.46    80.16 
3       21.88    39.28    25.86     36.1    45.47    26.96     49.9        0    12.27    64.29    39.89    41.12 
4       11.37    50.38      8.9    58.24    38.25    24.66    53.92     11.2        0    77.94    56.32     55.6 
5       80.77    73.93    78.34     87.2    81.58     60.5    73.48    49.38    73.16        0    18.59    92.86 
6       78.35    47.85     54.1     41.8    96.37    38.91    47.75    51.59    63.64    24.94        0    90.46 
7       49.44    63.72    44.29    94.87    16.09    55.06    88.53    71.13    39.78    83.05   119.39        0 
;

param d:       1    2    3    4    5 :=
1       0    0   17    0    0 
2       0    0    0    0    9 
3      13    5    0    0    0 
4       0    0    0   12    6 
5       0    0    0   19    0 
6       0    0    0    0   10 
7      18    0    0    0    0 
;
