set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    73.14    31.45    19.97    20.88    28.14    51.52    12.03    43.13    31.63    43.51    33.71 
o2      73.14        0    83.38    57.19    92.63    76.28    21.87    80.57   116.09   104.74    39.32    85.22 
o3      31.45    83.38        0    46.79    27.19    59.57    62.46    21.41    46.72    40.13    66.47    64.46 
o4      19.97    57.19    46.79        0    40.75    22.85       37    31.38    61.76    50.08    23.71    31.78 
o5      20.88    92.63    27.19    40.75        0    42.25    70.78    12.38    23.99    14.11    64.38    43.94 
1       28.14    76.28    59.57    22.85    42.25        0    58.09    39.03    55.84    45.12    37.74     9.16 
2       51.52    21.87    62.46       37    70.78    58.09        0     58.7    94.32    83.03    25.46    67.24 
3       12.03    80.57    21.41    31.38    12.38    39.03     58.7        0    36.37    26.05    54.35    43.23 
4       43.13   116.09    46.72    61.76    23.99    55.84    94.32    36.37        0    11.68    85.33    53.57 
5       31.63   104.74    40.13    50.08    14.11    45.12    83.03    26.05    11.68        0    73.66    43.87 
6       43.51    39.32    66.47    23.71    64.38    37.74    25.46    54.35    85.33    73.66        0    46.38 
7       33.71    85.22    64.46    31.78    43.94     9.16    67.24    43.23    53.57    43.87    46.38        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0   100.62    46.14     19.8    27.64    33.18    58.82    15.61    53.75    36.25    45.92    45.89 
o2      85.02        0   105.77    85.63    134.9    68.35     26.2    94.03   100.06    85.38    51.75    69.91 
o3      37.28    85.18        0    64.75    31.64    71.68    80.88    17.65    46.01    35.75    71.71    95.36 
o4      25.87    62.61    45.48        0     43.7    30.99    55.42    32.77    74.09    51.12     19.6    26.95 
o5      23.98   109.01    22.83    43.88        0    39.47    76.94    11.72    32.67    15.81    75.66    35.77 
1       31.84    98.67    62.49    32.93    45.98        0    68.96    45.26    46.47    57.22    30.38     8.11 
2       58.08     17.9    89.55    39.04    63.94    51.18        0    84.11   101.58    69.28    30.45    67.46 
3        14.4   108.94    25.57    40.71    16.55    53.43    65.21        0    33.93    25.37    65.88    50.61 
4       55.77   170.29    37.92    70.44    35.54    59.04   113.62    30.69        0    12.02    81.16    50.56 
5       29.47    92.47    40.91    63.77    14.51    47.15    93.73    34.86    11.24        0    98.56    65.28 
6       54.06    57.35    69.39    24.42     53.4    54.84    37.09    76.88   116.66    95.17        0    59.06 
7       35.98    73.31    91.49     45.5       37     9.29    64.16    47.11    78.93    46.68    63.18        0 
;

param d:       1    2    3    4    5 :=
1      18    0    0    0    0 
2       0    0    0   14    0 
3      15   13    0    0    0 
4       0    0    0    0    7 
5       0   10   11   14    8 
6       0    0    0    0   13 
7       0   11    0    0    0 
;
