set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0     13.5    26.26    60.33    67.22    25.16    63.04    66.86    65.32    41.23    31.36     66.6 
o2       13.5        0    27.64    73.01    78.49    15.42    75.61    79.33    65.75    50.28    35.72    78.68 
o3      26.26    27.64        0    59.94    59.73    42.89     61.8    84.19     39.2    28.94     9.57    85.23 
o4      60.33    73.01    59.94        0    17.22    85.24     3.07    50.81     73.9    33.71    52.45    55.08 
o5      67.22    78.49    59.73    17.22        0    92.31     15.2    68.03    63.96    30.81    50.78    72.28 
1       25.16    15.42    42.89    85.24    92.31        0    88.01    83.47    80.16    65.16    51.14    81.89 
2       63.04    75.61     61.8     3.07     15.2    88.01        0    53.04    74.18     34.9    54.05    57.42 
3       66.86    79.33    84.19    50.81    68.03    83.47    53.04        0    113.7    71.59    81.76     5.13 
4       65.32    65.75     39.2     73.9    63.96    80.16    74.18    113.7        0    42.61    35.17   115.97 
5       41.23    50.28    28.94    33.71    30.81    65.16     34.9    71.59    42.61        0       20    74.24 
6       31.36    35.72     9.57    52.45    50.78    51.14    54.05    81.76    35.17       20        0    83.36 
7        66.6    78.68    85.23    55.08    72.28    81.89    57.42     5.13   115.97    74.24    83.36        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    16.86    31.98    57.32    93.75    36.03    79.78    95.96    52.49     54.1    27.01    83.79 
o2      13.94        0    24.54    77.47   105.63    14.97     88.4    91.13    69.24     62.9    34.46    65.57 
o3      22.25     31.6        0    64.19    71.37    36.06    57.51   104.25    55.68    31.85     8.78   126.66 
o4      51.09   104.34    89.06        0    15.46     90.8     4.32    48.75    69.84    40.27    49.52    58.73 
o5      86.01    73.25    88.97    20.31        0    89.05    14.14    70.44    93.64    37.26    40.95    66.19 
1       25.34    18.83    46.37    98.06   107.45        0    96.72     75.3    70.39     65.9    72.62   121.86 
2       82.17    94.49    76.57     3.02    15.43    72.22        0    65.25    65.16    43.35    52.88    56.05 
3       69.88    88.41    81.62    49.73    77.09    116.9    66.74        0   165.13    94.81   117.33     4.16 
4       58.87    64.49    46.36    71.68    92.78    74.19    98.69   125.81        0    62.83    29.75   169.54 
5       44.86    73.36    25.41    46.13    38.17    55.15    50.54    95.65    36.78        0    28.09    65.08 
6       30.25    38.94    10.48    78.61    48.05    44.38    61.48    99.06    33.67    21.39        0   121.51 
7       85.28    80.02   124.65    47.58    59.37    87.25    82.65     5.54    95.55   105.58    111.4        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0   12 
2       9    0   12    6   18 
3       0    0    0    0    7 
4       0    0   18    0    0 
5       0    0    0    0   16 
6      16    0    0    0   19 
7       0   14    0    0    0 
;
