set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    39.54    76.44    32.32    31.19    59.82    67.14    74.08    62.04     27.5    32.08    53.19 
o2      39.54        0    36.99     7.25    53.79    76.25    32.41    37.24    54.89    25.18    53.09    31.78 
o3      76.44    36.99        0    44.14    87.92   101.45     22.3    15.98    68.32    56.74    84.13    48.66 
o4      32.32     7.25    44.14        0    48.46     71.4     37.7    43.35    53.52    20.04     47.1     33.9 
o5      31.19    53.79    87.92    48.46        0    90.16    86.03    90.96    91.85    54.72    62.83    47.31 
1       59.82    76.25   101.45     71.4    90.16        0    81.12    89.71    39.18    51.37    27.84    104.3 
2       67.14    32.41     22.3     37.7    86.03    81.12        0     8.66    46.28    42.41    67.12    57.31 
3       74.08    37.24    15.98    43.35    90.96    89.71     8.66        0    54.28    50.34    75.63    58.15 
4       62.04    54.89    68.32    53.52    91.85    39.18    46.28    54.28        0    37.83    39.92    86.62 
5        27.5    25.18    56.74    20.04    54.72    51.37    42.41    50.34    37.83        0    28.22    53.49 
6       32.08    53.09    84.13     47.1    62.83    27.84    67.12    75.63    39.92    28.22        0    78.25 
7       53.19    31.78    48.66     33.9    47.31    104.3    57.31    58.15    86.62    53.49    78.25        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    56.49     66.7    41.79    44.24     65.2    90.55    105.5    78.14    38.75    26.96    57.47 
o2      42.36        0    31.71     5.87    52.65   108.55    42.81    46.88    69.44    36.13    48.51    39.84 
o3      97.29    50.87        0    50.57   114.75    143.5    29.67    18.45    64.97    62.68   108.47    64.36 
o4      28.68     7.06    39.01        0    70.08    66.09     37.6    57.34    68.29    19.09    63.51    41.13 
o5      26.11    62.91       90    66.39        0   119.17    69.12   113.08    91.02    62.01    73.14    60.58 
1       53.46    72.79    98.37    94.93   117.09        0    69.91   102.09    38.93       56    26.57   139.85 
2       71.47    48.36    19.69    40.03   124.31   106.64        0    11.88    54.51     47.3   100.32    77.72 
3       88.34     33.8    15.71    41.31   122.72   117.79     12.7        0     67.9    42.66   100.25    50.34 
4       51.34    79.31    88.62    71.98   125.54    34.75    59.54    75.57        0    53.48    56.95    99.75 
5       30.07    35.89    79.06    16.23    71.33    64.49    62.66    47.26    44.78        0    38.65     61.3 
6        25.9    57.64    72.11    60.56    74.92    28.68    68.68    72.66    49.55    30.53        0    85.15 
7       53.62    42.67    60.15    40.96    49.32   102.27    62.34    83.04    72.79    75.52    83.36        0 
;

param d:       1    2    3    4    5 :=
1       0   18    0    0    0 
2       0    0    0    0   13 
3      13   17    9    0   11 
4       0    0    0    0   14 
5       0    0   13    0   16 
6       0    0    0    6    0 
7       0    0   10    0    0 
;
