set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    17.99    52.41    77.95    44.91    29.72    67.07    23.16    28.96    52.67     22.6     55.7 
o2      17.99        0     55.4    87.66    61.95    46.95     82.1    29.13    43.06     70.2    14.29    66.26 
o3      52.41     55.4        0   126.84    54.77    50.05   107.31    75.56    36.29    83.39    41.94   104.73 
o4      77.95    87.66   126.84        0    86.35    80.44     33.6    58.53    92.43    57.69    99.08    22.32 
o5      44.91    61.95    54.77    86.35        0    15.19    58.72    57.96     22.9    31.86    59.19    67.33 
1       29.72    46.95    50.05    80.44    15.19        0    57.46    43.99    13.81    33.63    45.36    59.58 
2       67.07     82.1   107.31     33.6    58.72    57.46        0    56.43    71.06    27.17    89.66    27.73 
3       23.16    29.13    75.56    58.53    57.96    43.99    56.43        0    48.88    52.06     41.2    37.34 
4       28.96    43.06    36.29    92.43     22.9    13.81    71.06    48.88        0     47.4    37.47    70.88 
5       52.67     70.2    83.39    57.69    31.86    33.63    27.17    52.06     47.4        0    73.86    42.63 
6        22.6    14.29    41.94    99.08    59.19    45.36    89.66     41.2    37.47    73.86        0    77.11 
7        55.7    66.26   104.73    22.32    67.33    59.58    27.73    37.34    70.88    42.63    77.11        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    25.26    43.64   114.54    59.09    34.54    85.35    34.73    23.78    69.77    26.33    74.78 
o2      17.08        0    72.72   114.19    54.82    46.57    86.03    31.23    42.14    60.71    15.61    60.96 
o3      56.11    52.19        0   170.29    46.02    60.53   127.12    112.8    33.59     79.5    43.91    118.5 
o4      89.76       93   142.05        0    126.9    73.78    43.12    68.12   137.61    73.48   119.13    30.74 
o5      49.58    70.84    79.75       82        0    19.37    66.69    84.18    34.08    44.27    55.96    88.89 
1       30.54    68.36    66.71   115.11    16.92        0    75.09    45.35    15.53    42.77    65.45    84.02 
2       90.67   107.12   114.51    29.53    72.15    85.62        0    53.45    73.96    34.39    88.95    29.66 
3       31.68    35.33   112.79    56.79    66.28    47.69    61.34        0    54.12    70.98    61.52    55.54 
4        33.5    58.53    34.87   133.27    33.26    17.07    91.34    55.93        0    57.02    35.59     72.5 
5       70.29    99.64   116.77    79.62    34.69    40.26    39.92    45.18    52.98        0   105.64    63.61 
6       26.65    12.98    43.23   142.35    72.33    66.75   123.93    61.55    42.13    89.06        0    90.72 
7       52.89    84.43   139.74    21.47    95.02    74.73    36.63     37.6     82.5    62.17    80.03        0 
;

param d:       1    2    3    4    5 :=
1       0    0    7    0    0 
2       0   15    0    0    0 
3       0   17    0    0    7 
4       0    0   15    0    0 
5      13    6    0   12    0 
6       0    0   16    0    0 
7       0    0    8    0    0 
;
