set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    81.55    46.17    65.52    73.98    27.53    25.07    64.42     47.9    32.67    25.87    58.33 
o2      81.55        0    65.43    23.87    76.94    56.46    82.42    87.53    51.02    78.71    72.82    40.72 
o3      46.17    65.43        0    63.88   101.01    46.45    27.44    98.85    65.96    19.12    61.66    68.75 
o4      65.52    23.87    63.88        0    54.13    38.26    72.98    63.72    27.58    71.82    51.71    16.86 
o5      73.98    76.94   101.01    54.13        0    55.41    95.05     18.9    35.49    99.01    48.14    38.42 
1       27.53    56.46    46.45    38.26    55.41        0    41.23     52.5    22.68    43.94    18.98    31.32 
2       25.07    82.42    27.44    72.98    95.05    41.23        0    87.89     63.9     9.04    48.54    71.35 
3       64.42    87.53    98.85    63.72     18.9     52.5    87.89        0    38.84    93.32    39.36    46.87 
4        47.9    51.02    65.96    27.58    35.49    22.68     63.9    38.84        0    66.24    27.03    12.59 
5       32.67    78.71    19.12    71.82    99.01    43.94     9.04    93.32    66.24        0    54.12     72.3 
6       25.87    72.82    61.66    51.71    48.14    18.98    48.54    39.36    27.03    54.12        0    39.39 
7       58.33    40.72    68.75    16.86    38.42    31.32    71.35    46.87    12.59     72.3    39.39        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    88.84    46.84    92.32    71.67    35.24    33.41     56.8    70.09    42.43    28.03    80.34 
o2      83.62        0    97.23    20.03    85.95    67.95    83.88    76.43    47.29    64.25   107.65    49.26 
o3      61.25    94.59        0    57.88   106.56    43.49    25.68   138.67    59.51    16.54    75.98    84.93 
o4      85.92    31.67    93.48        0       67    33.25    65.18    88.79    24.33   106.01    73.27    20.93 
o5      78.86    72.03      120     71.5        0    81.48   130.97    23.77    52.35   129.84    59.92     51.1 
1       22.53    72.71    54.13     45.6    58.06        0    56.72     64.6    29.39    44.54    25.04    31.47 
2       34.99   102.98    36.49    85.48   121.32    35.04        0     80.3    69.76    13.35    47.28    67.74 
3        77.9   110.18    79.14    78.82    18.43    71.11    76.96        0    56.58    129.4       42    62.66 
4       55.03    49.61    62.73    23.45    53.08    24.36    89.26     36.6        0    81.85    24.35    17.94 
5       47.36   111.81    23.39     87.9   100.28    44.58    13.21    89.89    65.97        0    70.69    90.38 
6       35.51    69.79    83.19    48.35    40.56    26.57    67.38    31.77    23.92    69.94        0    35.55 
7       56.93    46.51    90.55    20.46    54.73    28.84    76.69    41.87    15.77    71.61    49.58        0 
;

param d:       1    2    3    4    5 :=
1       0   16    0    0    0 
2       0    0    0   19    0 
3       0    0    0   12    0 
4       0    0   17    0    0 
5       5    0    0    0    0 
6       7    0    0    9   10 
7       0    0    0   17    0 
;
