set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    49.13    66.63    59.06    23.59    73.37    78.21     34.8    11.33    28.94    14.97    60.31 
o2      49.13        0    95.36     9.94    65.15    94.77    60.92    53.87    38.33    64.45    42.56    87.67 
o3      66.63    95.36        0   103.36    44.01    14.52    71.87    41.55    73.77    37.71    59.13     7.71 
o4      59.06     9.94   103.36        0    74.81   101.83    62.24    62.17     48.2    73.74    52.26    95.66 
o5      23.59    65.15    44.01    74.81        0    52.67    74.46    24.85    32.97     8.61     22.6    38.43 
1       73.37    94.77    14.52   101.83    52.67        0    62.17    42.99     78.8    45.02    63.38    15.12 
2       78.21    60.92    71.87    62.24    74.46    62.17        0    49.63    74.43    67.17    63.31    65.76 
3        34.8    53.87    41.55    62.17    24.85    42.99    49.63        0    37.19    17.79    21.66     33.9 
4       11.33    38.33    73.77     48.2    32.97     78.8    74.43    37.19        0    36.49    15.59    66.92 
5       28.94    64.45    37.71    73.74     8.61    45.02    67.17    17.79    36.49        0    23.16    31.42 
6       14.97    42.56    59.13    52.26     22.6    63.38    63.31    21.66    15.59    23.16        0    52.01 
7       60.31    87.67     7.71    95.66    38.43    15.12    65.76     33.9    66.92    31.42    52.01        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6        7 :=
o1          0    51.65    99.32    83.31    24.58    86.05   109.72    36.58    15.72    42.32    14.89    56.67 
o2       72.8        0       91     9.21    68.21     92.5    72.09    76.03    39.54    65.75    39.01    103.8 
o3      67.81    107.3        0    83.55    55.89    16.03   100.28    52.29   104.09    48.62     75.8     6.78 
o4      84.02     8.24    150.5        0    64.76    145.8    70.35    63.28    58.67    93.85    70.89    79.91 
o5      34.99    80.25    43.35    61.82        0    56.87    80.18    22.04    30.55     11.4    22.66    51.66 
1       61.91   134.11    16.38   107.25    44.64        0    76.94    63.47     67.2    49.27    83.36    20.47 
2      115.09     61.5    59.62    58.85    82.31    82.33        0     50.5    88.88    89.61    56.46    62.22 
3       30.96    68.26    50.45     69.1     31.7    34.62    56.78        0     39.5    26.14    23.91    40.16 
4       15.92    47.76    74.37     58.4    30.76   103.75    94.77    43.62        0    37.27    13.37    93.52 
5       33.45    67.73    53.34    78.26    12.69    65.78     59.2    16.47    32.12        0    21.78    43.93 
6          19    49.77    67.68    63.75    18.66    71.74    80.31    22.84    19.58    26.18        0    46.79 
7       50.34   128.09     7.28   116.81    48.18    16.19    96.48    30.16    98.39    36.79    72.08        0 
;

param d:       1    2    3    4    5 :=
1       0   16    0    0    0 
2      18    0    0    0    0 
3       0    0    0    0   11 
4       0    0    0   16    0 
5       9    0    0    0    0 
6       0   18    7   14    0 
7       0    0    6    0    0 
;
