set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    42.43    47.33    65.77     43.4    85.44    15.82    64.37    72.18    63.17    66.03    69.89    72.11     23.5 
o2      42.43        0    15.22    78.05     38.5     44.4    30.55    22.42    82.58    52.59    27.24    78.76    41.27    28.13 
o3      47.33    15.22        0    92.22    53.29    39.14    32.32    28.25    97.03    67.81    37.07    93.32    54.05    39.75 
o4      65.77    78.05    92.22        0    40.15   116.63    75.62     87.6     6.64    37.78    80.12     6.54    68.74    54.22 
o5       43.4     38.5    53.29    40.15        0    76.85     45.4    48.02    44.24    19.89    41.94    40.34    36.49    21.54 
o6      85.44     44.4    39.14   116.63    76.85        0    71.17    29.08    119.9    83.21    38.15   115.75    55.99    72.22 
1       15.82    30.55    32.32    75.62     45.4    71.17        0    52.96    81.65    64.93    56.78    78.78    66.62    23.97 
2       64.37    22.42    28.25     87.6    48.02    29.08    52.96        0    90.82    54.52    11.18    86.68    30.49     46.6 
3       72.18    82.58    97.03     6.64    44.24    119.9    81.65    90.82        0    38.92    82.79     4.22    70.13    59.74 
4       63.17    52.59    67.81    37.78    19.89    83.21    64.93    54.52    38.92        0     45.2    34.72    31.21     41.3 
5       66.03    27.24    37.07    80.12    41.94    38.15    56.78    11.18    82.79     45.2        0    78.58    19.33     45.5 
6       69.89    78.76    93.32     6.54    40.34   115.75    78.78    86.68     4.22    34.72    78.58        0    65.93    56.49 
7       72.11    41.27    54.05    68.74    36.49    55.99    66.62    30.49    70.13    31.21    19.33    65.93        0    48.98 
8        23.5    28.13    39.75    54.22    21.54    72.22    23.97     46.6    59.74     41.3     45.5    56.49    48.98        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    60.04    62.98    62.45    58.29    86.29     18.8    60.69    82.87    53.38     73.9    84.65    69.12    31.38 
o2      39.95        0    18.95   104.44    36.77     43.8    31.23    21.27    73.25    74.18    31.98    107.4    39.13    26.03 
o3      52.42    15.26        0   124.26    42.93    50.71    44.37     37.9    116.7    67.62    45.64   100.99    63.09    52.72 
o4      91.56    65.55    74.71        0    48.34   170.47    79.19   100.81     6.03    56.54    65.61     8.67    76.12    73.62 
o5       55.3    49.47     50.9    37.62        0    67.48    36.84     49.5    44.03    20.52    55.99    54.63    48.22    18.31 
o6     124.83    47.27    52.36    96.03    82.26        0    98.61    37.11   129.54   109.58    44.74   105.85    63.59    91.09 
1       15.18     26.9    39.17   111.14    65.18   104.63        0    55.88    83.85    97.39    66.47   103.69    68.48    34.53 
2       94.17    19.41    31.73    114.1    58.32    42.07    71.28        0   117.66    57.89    11.94   112.17    41.97    58.43 
3       67.72    79.19   108.55     8.84    38.01   120.19    81.76    89.29        0    56.85    88.49     5.23    73.15    63.07 
4       81.51    66.28    72.23    44.19    17.49    95.65     77.4    52.48    31.83        0    60.38    49.31    45.96    34.45 
5       61.93    34.61    34.24    70.13    37.49    45.37    45.46    15.19   106.85    36.83        0    83.32    21.27    51.52 
6       93.84   107.83    122.2     8.58    51.67   158.91    81.11    92.85     3.65    37.58    87.96        0     66.3    67.07 
7      100.92    47.14     73.2     72.5    46.63    69.68    81.32    40.38   100.77    42.79    15.63    57.72        0    40.45 
8       23.63    25.07    41.89     66.9    21.47    91.35    21.57    67.29    64.04    48.31    52.21    76.51    50.24        0 
;

param d:       1    2    3    4    5    6 :=
1      12   19    0    0    0    0 
2       7    0   19    0    0    7 
3       0    9   16    5    0   18 
4       0    0    0    9    0    0 
5      11    0   10    0    0    0 
6      11   19    0    0    0    0 
7       0    0   10    0    0    0 
8       0    9    0    0    9    0 
;
