set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    93.57    41.07    47.74    31.08    53.86    23.65    84.54    86.69    15.94     52.4     9.33    25.26    43.15 
o2      93.57        0    94.09    84.57    90.62    110.9   116.56    63.64     9.02    91.61    49.36   102.84    89.37    82.91 
o3      41.07    94.09        0    12.58     70.2    18.06     46.2    57.08    85.34    25.13    72.22    44.94     16.1    11.67 
o4      47.74    84.57    12.58        0    74.11    26.46    57.03    44.52    75.64    32.49     68.8    53.34    23.06     4.83 
o5      31.08    90.62     70.2    74.11        0    84.55    47.61   102.23    86.16    45.86     41.6    33.72    54.13    69.28 
o6      53.86    110.9    18.06    26.46    84.55        0    51.34     66.8   102.01    38.74    90.14    55.15    31.59     28.1 
1       23.65   116.56     46.2    57.03    47.61    51.34        0     99.5   109.34    27.76    75.92     15.4    35.23    53.47 
2       84.54    63.64    57.08    44.52   102.23     66.8     99.5        0    55.45    72.36    77.42    92.36    64.28    46.84 
3       86.69     9.02    85.34    75.64    86.16   102.01   109.34    55.45        0    83.81    45.88    96.01    81.14    74.08 
4       15.94    91.61    25.13    32.49    45.86    38.74    27.76    72.36    83.81        0    57.47    20.89     9.51    28.13 
5        52.4    49.36    72.22     68.8     41.6    90.14    75.92    77.42    45.88    57.47        0    60.72    60.16    64.79 
6        9.33   102.84    44.94    53.34    33.72    55.15     15.4    92.36    96.01    20.89    60.72        0    30.28    49.02 
7       25.26    89.37     16.1    23.06    54.13    31.59    35.23    64.28    81.14     9.51    60.16    30.28        0    18.84 
8       43.15    82.91    11.67     4.83    69.28     28.1    53.47    46.84    74.08    28.13    64.79    49.02    18.84        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0   102.81    53.53    40.66    43.28     62.4    23.51    98.72    69.42    23.13    75.17     8.21    34.83    43.81 
o2     119.67        0    77.99    114.5   110.92   106.19   109.87    73.94    13.08    77.82    60.86   111.17    109.7    78.43 
o3      58.36   140.18        0    15.85    58.56    16.66    47.81    68.72   107.23    26.42      102    39.86    18.68    10.18 
o4      47.95   106.17    18.78        0    89.16    30.49    46.84     40.2    77.72    37.12    82.62    58.18    26.71     6.08 
o5      41.84   123.67    92.37    75.88        0    86.69    66.68   114.21   100.59     57.5    38.94    28.15    64.12    70.71 
o6      68.06   158.81    24.48    31.87    71.03        0    41.27    97.37   135.52    44.59    112.9    68.16    27.48    35.07 
1       25.38    165.9    68.33    74.31    58.89    61.31        0    96.64    98.13    26.12    97.63    21.86     48.6    71.89 
2        82.9    87.47    75.15     47.2    84.44    98.59   137.82        0    62.76    95.13    71.16   128.52    89.85    60.51 
3      125.66    12.08    95.14    75.89   114.77    92.66   118.35    83.11        0   114.36    41.32      132   105.64    96.35 
4       18.45    94.19    23.88     48.4    39.79    38.07    33.68    73.57   103.44        0    75.15    16.99     12.3    37.39 
5       73.56    62.42    91.46    72.58    38.41   113.75    72.25    81.16    44.28    48.75        0    83.76    84.62    51.89 
6       12.54   151.04    39.77    60.84    31.07    72.19     20.6    92.04    108.6    30.24    51.69        0    41.17    56.05 
7       26.52    81.24    15.31    26.35     70.1    27.81    49.71    66.66    91.78    11.43    74.53    24.51        0     18.5 
8       54.57    84.29    10.14     4.68    72.13     38.2    69.03    65.06    90.23    24.22     55.2    67.71    26.44        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0   15    0 
2       0    0    0   12    0    0 
3       0   10    0    0   18    0 
4       0   14    0    0    0    0 
5       9    0    0    0    0    0 
6      13   14   11    0    0   16 
7       0    0    0    0    0    5 
8       0   18    0    0    0    0 
;
