set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    73.27   103.53    83.47    84.93    65.36    27.75    81.66    25.09    53.22    88.45    83.13     9.35    102.4 
o2      73.27        0    90.91    74.09    90.24   105.33    48.68    17.73    73.46    38.32    77.86    40.52    76.59    86.42 
o3     103.53    90.91        0    20.64    24.92    67.75   102.93    77.04    80.74    62.28    15.58    51.88   112.64      5.4 
o4      83.47    74.09    20.64        0    19.32    56.83    82.33    62.39    61.55    42.31     5.08    38.61    92.47    18.93 
o5      84.93    90.24    24.92    19.32        0    42.83     89.9    80.21    60.54    54.76    19.17    57.42    94.27    27.51 
o6      65.36   105.33    67.75    56.83    42.83        0    83.07   102.03    42.24    67.42    59.31    85.96    73.87    70.16 
1       27.75    48.68   102.93    82.33     89.9    83.07        0    60.56     41.3    42.44    87.37    69.24    28.56   100.42 
2       81.66    17.73    77.04    62.39    80.21   102.03    60.56        0    76.35    35.63    65.45    25.22    86.59     72.2 
3       25.09    73.46    80.74    61.55    60.54    42.24     41.3    76.35        0    41.89     66.3    70.28    34.38    80.26 
4       53.22    38.32    62.28    42.31    54.76    67.42    42.44    35.63    41.89        0    47.07    29.94    60.47    59.13 
5       88.45    77.86    15.58     5.08    19.17    59.31    87.37    65.45     66.3    47.07        0    41.05    97.47    13.99 
6       83.13    40.52    51.88    38.61    57.42    85.96    69.24    25.22    70.28    29.94    41.05        0    90.16    46.98 
7        9.35    76.59   112.64    92.47    94.27    73.87    28.56    86.59    34.38    60.47    97.47    90.16        0    111.4 
8       102.4    86.42      5.4    18.93    27.51    70.16   100.42     72.2    80.26    59.13    13.99    46.98    111.4        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    86.61   147.87    81.04   105.99    76.26    29.81    78.27    35.04    44.96    103.6   123.49     8.24   128.53 
o2      96.53        0    84.84    84.59   120.48    93.15    42.96    24.69    85.58    40.94    90.75    53.05    93.15    98.25 
o3     116.91    99.97        0    19.47    23.45    74.73    95.52   102.17    76.28    57.75    15.32    72.81   117.38     7.72 
o4     121.73    89.34    17.87        0    28.57    51.41    78.82    77.63    83.41    55.45     7.39    52.44   112.97    25.25 
o5     103.32    83.56    32.45    16.36        0    37.35    77.89    97.19    52.03    70.52    18.92    55.38    96.57    40.21 
o6      95.65   103.83    89.22    71.49    59.56        0    83.98   114.64    55.72    57.78    79.02   103.35    71.23     90.2 
1       39.01    48.96   136.93   122.89   104.05   110.14        0    71.89    51.31    35.51   115.37    77.14    28.69    99.86 
2       92.17       21    73.04    86.06   112.74   125.79     88.6        0   106.21    37.34    71.34    21.95    83.78   100.59 
3       37.45       95    85.59    63.65    49.12    61.57    47.64    67.32        0     45.3    92.68    70.41    40.42    93.82 
4       63.75    38.18     85.6    43.39    75.18    58.85     62.1     37.1     54.7        0    62.44    41.59    61.15    74.19 
5      109.67    68.88    14.07     6.19    27.14    80.42    88.93    80.81    62.83     43.3        0    51.97    79.95    15.59 
6      121.52    53.32    70.85     36.5    56.19    81.98    68.55    35.58   102.11    39.52    48.48        0    72.33    41.55 
7       10.32   112.93   128.23   136.89   110.62     84.7    33.77     84.2    42.77       65      110   121.95        0   111.88 
8       91.63   101.32     6.79    23.77    35.14    96.92    134.9    73.12   119.35    81.12    18.34    41.65   142.09        0 
;

param d:       1    2    3    4    5    6 :=
1      18    0    0    0    0   14 
2       7    0   19    0    0    0 
3       0    0    0    0    0   19 
4      13    0   14    0    0    0 
5       0    0    8    0    0    0 
6       0   12   18   18    6    0 
7       0   10    8   17   18    0 
8       0    0    0    0    0   18 
;
