set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    77.56    85.34    30.54    66.72    44.43    60.96    65.42    48.52    31.61    46.69    18.12    48.61    88.01 
o2      77.56        0    56.84   101.97    33.82    35.16    24.62    17.47    62.54    52.87    75.17    64.58    83.79    72.54 
o3      85.34    56.84        0    93.71    84.52    67.75    71.65    43.93    39.67    80.85    49.88    67.23    56.66    16.83 
o4      30.54   101.97    93.71        0    96.28    72.21    89.08    87.15    54.11    61.78    44.86    37.45    41.02    90.73 
o5      66.72    33.82    84.52    96.28        0    26.04    13.05    40.68    74.94    35.33     84.8    61.33    92.37    97.99 
o6      44.43    35.16    67.75    72.21    26.04        0    16.86    29.16     50.2    17.86    59.17    35.87    66.51    78.57 
1       60.96    24.62    71.65    89.08    13.05    16.86        0    28.02    62.76    31.63    73.23    52.57     81.1    84.95 
2       65.42    17.47    43.93    87.15    40.68    29.16    28.02        0     45.1    46.31    57.81    50.39    66.45    58.19 
3       48.52    62.54    39.67    54.11    74.94     50.2    62.76     45.1        0    55.22    13.17    31.29    21.81    39.57 
4       31.61    52.87    80.85    61.78    35.33    17.86    31.63    46.31    55.22        0    60.78    30.58    66.53    89.35 
5       46.69    75.17    49.88    44.86     84.8    59.17    73.23    57.81    13.17    60.78        0    32.32     8.68     45.9 
6       18.12    64.58    67.23    37.45    61.33    35.87    52.57    50.39    31.29    30.58    32.32        0    36.71    70.41 
7       48.61    83.79    56.66    41.02    92.37    66.51     81.1    66.45    21.81    66.53     8.68    36.71        0    50.63 
8       88.01    72.54    16.83    90.73    97.99    78.57    84.95    58.19    39.57    89.35     45.9    70.41    50.63        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0     74.4   116.46    41.27     65.9    51.33    59.93    89.93    50.19    43.69    60.09    16.17    58.95    87.96 
o2      112.6        0       61   135.52     36.8    30.02    32.44    15.76    61.08    67.58   103.83    54.76    87.84    100.7 
o3      85.37    49.66        0   106.73   101.88    64.25    73.88    51.72     34.4   106.88    46.14    91.04    67.13    19.07 
o4      26.23   108.56     81.1        0   101.19    96.85   115.64   121.89    48.34    81.89    61.08    43.99    46.01    129.1 
o5      59.99    47.36   112.11    88.41        0    23.03    15.09    42.15    73.46     52.2    82.18    57.76   110.26   118.78 
o6      38.06    34.49     98.1     82.9    32.27        0    21.79    33.85    74.24    22.58    53.04    49.34     67.2    78.01 
1       60.48    30.36    90.24    98.07    11.99    21.87        0    39.51    62.26    27.31     96.3    42.26    70.89    99.46 
2       54.24    21.26    46.63   112.93    55.26    25.47    36.04        0    58.24    59.36    47.49    52.57     88.7    75.79 
3       72.23    91.96    33.29    61.07    92.15    59.67    87.06    41.49        0    79.66     14.4    29.74    27.21    38.27 
4          46     72.4    79.85    89.56    41.54    15.21    31.51    67.88    64.05        0    84.43    45.82    58.22   108.31 
5        38.7   104.44    57.31    63.19    90.98    76.83   109.75    71.47    18.81    64.69        0    46.74     7.02    57.73 
6       22.69    53.68   100.53    47.29    60.34    31.32     59.8    44.57    40.76    29.48    36.21        0    51.08    59.05 
7        63.7   102.28    82.31    54.75    98.39    62.92    65.15    68.78    23.44    79.16     7.54    41.74        0    57.09 
8       94.13    65.58    14.28   133.51   128.52   104.68    84.95    77.33    40.34    75.91    67.69    82.15    65.78        0 
;

param d:       1    2    3    4    5    6 :=
1       0    7    0   14    0    9 
2       0   13    0    0    0    0 
3       0    0    0   13    0    0 
4      10    0   19    0    0   10 
5       0   10    0    0   10    0 
6       0    0    0    0    0   13 
7       0    0    0    0    0   11 
8       0    0    0   16   17    0 
;
