set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    38.78     32.1    29.17    72.85    41.07    72.79    95.75    54.19    57.23    48.41    42.96    28.63    67.61 
o2      38.78        0    22.44    17.13    58.03     12.1    35.15    62.45    30.41    71.86    44.38     55.5    66.16    52.64 
o3       32.1    22.44        0     30.6    43.21    33.33    46.03    64.55    51.92    49.48    23.44    33.23    53.21    37.69 
o4      29.17    17.13     30.6        0    72.02    12.68    51.25    79.52    25.77     75.9       54    59.51    57.79    66.48 
o5      72.85    58.03    43.21    72.02        0    70.04    53.19    46.71    87.46    49.36    25.66    43.57    84.95     5.56 
o6      41.07     12.1    33.33    12.68    70.04        0    40.56    70.37    18.63    82.04    56.07    65.54    69.63    64.67 
1       72.79    35.15    46.03    51.25    53.19    40.56        0    31.29    49.49    88.88     56.1    74.87    98.24    49.79 
2       95.75    62.45    64.55    79.52    46.71    70.37    31.29        0    80.77    93.95    63.15    83.92   117.27    46.62 
3       54.19    30.41    51.92    25.77    87.46    18.63    49.49    80.77        0   100.24    74.67    83.73    82.49    82.24 
4       57.23    71.86    49.48     75.9    49.36    82.04    88.88    93.95   100.24        0    32.85    16.51    50.88    47.77 
5       48.41    44.38    23.44       54    25.66    56.07     56.1    63.15    74.67    32.85        0    20.77    59.42    21.21 
6       42.96     55.5    33.23    59.51    43.57    65.54    74.87    83.92    83.73    16.51    20.77        0    43.75    40.31 
7       28.63    66.16    53.21    57.79    84.95    69.63    98.24   117.27    82.49    50.88    59.42    43.75        0    80.62 
8       67.61    52.64    37.69    66.48     5.56    64.67    49.79    46.62    82.24    47.77    21.21    40.31    80.62        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    34.65    38.05    41.83    64.28     52.3    91.11    82.34    78.55    78.21     43.7    43.94    31.81    70.76 
o2      31.06        0    26.35    24.11    51.07    12.04    29.62    69.54    26.68    68.71    36.21     69.6     53.6    53.96 
o3      27.55    30.82        0    29.32    50.32    38.63    39.67    78.88    44.54    64.22    22.89    41.12    76.64    47.07 
o4      37.63    18.06    32.52        0   105.38    16.68    76.06    88.79    34.05    82.11    78.66    87.82    60.59    71.62 
o5      77.78    86.92    55.31    86.48        0    86.02    76.18    52.05    98.39     70.1    24.82    48.27   118.12     8.24 
o6      39.16    17.16    47.39    16.75    58.25        0     44.4    89.74    17.14    95.75    76.77    82.25    90.31    94.47 
1      106.65    32.59    46.85    53.82    57.01    41.82        0    26.95    49.32    83.95     69.5   100.54    85.41    67.17 
2       79.94    79.86    58.19    80.75    64.11    80.82    38.14        0   109.98    88.04    75.23      106    171.8    59.69 
3       70.96    28.71    68.41    35.84   101.24    23.51     69.2   112.69        0    98.29   103.47    85.38    74.82   111.61 
4       72.93   107.78    62.18    99.73    50.52    83.78    74.12    93.47   115.34        0    27.08    16.66     68.1    47.32 
5       63.78    59.64    22.52    47.86    35.72    55.72    67.22    62.49    70.85    39.86        0    18.95    76.72    25.26 
6       43.69     78.4    38.78    71.45    54.14    54.22   102.05   103.47    74.08    20.89    22.25        0    64.36    55.34 
7       42.33    83.16    63.14    74.33    124.7    66.53    90.85   105.43    96.54    59.08    78.91    41.96        0    91.75 
8       54.62    50.58    37.64    66.16     7.75    65.85    70.37    53.35    79.77    45.37    29.65     35.8    89.45        0 
;

param d:       1    2    3    4    5    6 :=
1      14    0    7   10    0    0 
2       0    0    7    0    0    0 
3       5   11    0   13    0    0 
4       0    0    0    0    0   19 
5      14    0    0    0    0    0 
6       0    0    8    0    0    0 
7       0    0    0    0    0   10 
8       9   15    0    0    7    0 
;
