set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    53.88    32.25    97.07    35.93    71.67    41.02    50.83   107.42    18.68    31.88      7.6   100.91    91.01 
o2      53.88        0    54.37    43.19    57.64    23.19    36.18    38.65    54.03    58.67    27.15    46.28    48.52    60.44 
o3      32.25    54.37        0    93.03     4.23    62.03    62.19    28.17   106.07    16.46    47.52    30.92      102    66.63 
o4      97.07    43.19    93.03        0    95.44    32.05    72.31    69.13    14.55   100.48    68.68    89.47    16.92    63.86 
o5      35.93    57.64     4.23    95.44        0     64.1    66.41    28.97    108.7    19.14    51.69    34.98   104.88    66.05 
o6      71.67    23.19    62.03    32.05     64.1        0    59.36    37.09     46.2     71.4    49.51     64.3    44.79    41.25 
1       41.02    36.18    62.19    72.31    66.41    59.36        0    62.69    78.46    56.24    15.54    35.78     70.1    94.47 
2       50.83    38.65    28.17    69.13    28.97    37.09    62.69        0    83.12    42.06    47.42    45.56    80.73    40.38 
3      107.42    54.03   106.07    14.55    108.7     46.2    78.46    83.12        0   112.45    77.42    99.86     9.51    77.86 
4       18.68    58.67    16.46   100.48    19.14     71.4    56.24    42.06   112.45        0    43.78    20.79   107.18    81.92 
5       31.88    27.15    47.52    68.68    51.69    49.51    15.54    47.42    77.42    43.78        0    25.02    70.19    81.07 
6         7.6    46.28    30.92    89.47    34.98     64.3    35.78    45.56    99.86    20.79    25.02        0    93.42    85.29 
7      100.91    48.52      102    16.92   104.88    44.79     70.1    80.73     9.51   107.18    70.19    93.42        0    80.22 
8       91.01    60.44    66.63    63.86    66.05    41.25    94.47    40.38    77.86    81.92    81.07    85.29    80.22        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    69.02       47    80.72    44.74    95.83     52.4    64.08   157.23    23.94    27.92     7.79   144.75    91.19 
o2      64.71        0     72.8    36.68    68.25     23.8    42.79    43.77    60.81    62.98    24.66    44.09    47.73    62.74 
o3      29.88    59.83        0   119.79     3.93    60.85     62.7    28.12   112.12    15.49    56.85    37.49   103.12    78.12 
o4     116.84    64.18   121.82        0    82.95    29.47   101.92    59.94    20.93   119.51    69.55   102.01    18.14     76.4 
o5      48.99    59.22     4.21   109.26        0    55.59    55.06    36.36   121.75    21.99    60.79    45.94    98.11    98.33 
o6      93.14    29.45    60.79    28.43    79.92        0    66.36    43.35    46.33    89.67    67.15    69.24    48.82    38.69 
1        44.6    31.56    81.41    98.31    88.62    62.56        0     55.4    99.85     49.8       20    29.53    73.95   123.27 
2       42.73    55.05    40.43    101.6    26.97    49.83    60.78        0   122.94    55.45    57.47    53.11   101.37    55.69 
3      148.21    75.87   116.03     16.3   101.58    64.95    107.1    97.81        0   123.16    110.2    106.8     8.23    97.59 
4       17.54    67.33    18.96    125.7    18.51    70.96    69.33    57.32   149.87        0     41.6    28.53    93.75    99.98 
5       29.93       35    61.95    59.05    50.75    74.25    19.36    44.73    84.82    44.56        0    32.21    94.19    71.32 
6        6.75    68.24    40.25    89.75    33.91    75.12    50.87    43.77    81.67    26.82    20.97        0   135.32    72.61 
7      119.16    67.44   105.36    15.51    84.02    59.77    99.33   120.32     7.79   115.55    80.74    81.64        0    67.66 
8      131.44    83.61    95.45    66.51    77.85    49.86   135.18     46.7    63.44    76.81   111.36    70.04    87.21        0 
;

param d:       1    2    3    4    5    6 :=
1       0    5    0    0    0    0 
2       8    0    0    0    0    0 
3       0    0    0    7   16    0 
4       0    0    0    0    0    6 
5       0    6    0   13    0    6 
6       0    0   18    0   10    0 
7       0    0   19    0    5    0 
8       0    0   10    0    0    0 
;
