set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    29.31   107.85    20.63    54.91    14.62    75.59    45.49    70.91    48.27    96.31    62.84    26.81    48.67 
o2      29.31        0      102    17.87    68.89    43.93    73.89    17.39    49.16     53.3    90.89    48.22    30.29    62.91 
o3     107.85      102        0    91.41    70.29    113.5     33.1    94.33    67.07    61.52    11.54     55.8    81.21    72.84 
o4      20.63    17.87    91.41        0    51.15    33.47     60.8    28.68    50.34    37.01    79.94    42.73    12.99    45.11 
o5      54.91    68.89    70.29    51.15        0    52.85    39.47    74.68    75.33    21.38    60.29    57.57    38.69     6.29 
o6      14.62    43.93    113.5    33.47    52.85        0     80.5    59.94     83.5    52.11   102.09    73.48    35.52    47.09 
1       75.59    73.89     33.1     60.8    39.47     80.5        0    70.15    52.74    28.44    21.93    35.51    49.45    40.87 
2       45.49    17.39    94.33    28.68    74.68    59.94    70.15        0    34.28    55.74    83.91    38.57    37.32    69.33 
3       70.91    49.16    67.07    50.34    75.33     83.5    52.74    34.28        0    53.99    58.53     18.4    50.13    72.09 
4       48.27     53.3    61.52    37.01    21.38    52.11    28.44    55.74    53.99        0    50.22    36.43    24.17    18.41 
5       96.31    90.89    11.54    79.94    60.29   102.09    21.93    83.91    58.53    50.22        0    45.62    69.67    62.38 
6       62.84    48.22     55.8    42.73    57.57    73.48    35.51    38.57     18.4    36.43    45.62        0    38.13     54.8 
7       26.81    30.29    81.21    12.99    38.69    35.52    49.45    37.32    50.13    24.17    69.67    38.13        0    32.85 
8       48.67    62.91    72.84    45.11     6.29    47.09    40.87    69.33    72.09    18.41    62.38     54.8    32.85        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    36.08   137.44    21.34    61.84    12.01    94.22    60.43    64.15    60.46   122.88    83.99    28.89    51.01 
o2      30.16        0    89.91    25.41    78.71    52.91    81.46    22.27    68.62    58.66   100.65    54.93    25.86    67.48 
o3     145.94    125.1        0   113.13    97.53   120.58     34.7   107.89    76.66    60.03    11.65    53.48   105.59    81.65 
o4      26.51    20.62   118.71        0    44.47    35.96    70.03    23.45    73.07    51.43     82.9    61.63       14    67.34 
o5       46.2    90.33    74.46     61.3        0    51.08    34.85    89.83    73.68    28.65    84.27    78.77    32.92     8.43 
o6      21.56    38.17   111.34    38.16    64.27        0   115.85    73.17   109.21    53.23   127.06   106.84    35.95    58.01 
1       92.48     72.9    29.31    86.12    50.62   108.03        0    86.06    74.28    41.22     32.4    30.93       49    40.69 
2       39.96    20.76    95.05    34.64     95.9    57.42    69.96        0    31.21    60.51   114.91    52.96    33.35    78.69 
3       72.46    72.51    96.61    54.44    76.62   117.15    47.29     33.5        0    68.24     76.6    23.53    43.42    61.82 
4       55.79    62.39    84.02    37.49    27.81    44.11    28.02    70.51    43.42        0    52.58       39    24.58    15.74 
5      131.65   131.83    13.11    92.78    53.22   149.05    18.49   119.32    76.52    46.56        0    39.63    59.87     54.7 
6       92.45    52.74    51.07    41.43    74.57     93.8    32.88     40.8    23.66    37.45    41.45        0    42.12    74.61 
7       26.41    36.95   108.23    14.77    31.58    44.71    42.91    52.59    46.75    20.58    92.98    57.12        0    30.27 
8       45.05    68.67    75.61    63.92     9.38    61.69    36.58    85.15    58.05    25.18    55.99    76.13    45.63        0 
;

param d:       1    2    3    4    5    6 :=
1       5    0    0   17    7   13 
2       0    0    0    0   14    0 
3      13    5    0    6   10    0 
4       0   19   12    0    0    0 
5       0    0    0   14    0    0 
6      14    0    0   18   12    0 
7       0   18   12    0    9    6 
8       0   18    0    0    0    0 
;
