set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    62.37    89.21    65.52    52.88    45.56    32.68    58.69    73.72    73.78    97.41     40.2    78.86    76.86 
o2      62.37        0     34.5     3.63     84.1    74.05    55.08    89.79    54.96    89.31    79.93    62.75    99.84    99.66 
o3      89.21     34.5        0    31.06    92.62    83.93    70.09    96.98    44.76    88.31    61.52    73.94    99.69   100.54 
o4      65.52     3.63    31.06        0    85.46    75.47    56.87    91.03    53.95    89.68    78.41     64.2   100.37    100.3 
o5      52.88     84.1    92.62    85.46        0    10.16    30.31     6.24    53.65    24.56    64.97    21.43     26.4    24.15 
o6      45.56    74.05    83.93    75.47    10.16        0    20.22    16.22    47.39    28.45    62.42    11.31    33.56    31.84 
1       32.68    55.08    70.09    56.87    30.31    20.22        0    36.43    43.02     44.4    65.09      9.8    52.04     50.8 
2       58.69    89.79    96.98    91.03     6.24    16.22    36.43        0    56.57    22.18    65.43    27.34    21.61    19.06 
3       73.72    54.96    44.76    53.95    53.65    47.39    43.02    56.57        0     44.1    26.59       41    55.45    56.58 
4       73.78    89.31    88.31    89.68    24.56    28.45     44.4    22.18     44.1        0    45.64    34.83    11.39    12.58 
5       97.41    79.93    61.52    78.41    64.97    62.42    65.09    65.43    26.59    45.64        0    60.09    54.91    57.18 
6        40.2    62.75    73.94     64.2    21.43    11.31      9.8    27.34       41    34.83    60.09        0    42.24    41.01 
7       78.86    99.84    99.69   100.37     26.4    33.56    52.04    21.61    55.45    11.39    54.91    42.24        0     2.98 
8       76.86    99.66   100.54    100.3    24.15    31.84     50.8    19.06    56.58    12.58    57.18    41.01     2.98        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    80.53   104.22    58.58    54.34    61.32    38.67    49.31   107.89   102.81   108.87    56.34    98.22    73.75 
o2      86.96        0    39.47     3.19    77.83    96.51    65.74   131.37    60.34   118.74    65.32    68.62   136.66    94.87 
o3     126.53    36.33        0    35.06   118.28   117.96    58.21     95.6    39.76    99.69     62.7   104.66   134.36   111.24 
o4      92.57     4.91    25.17        0    92.09    61.45    60.68    76.25    47.58    95.73   108.79    68.51   142.03       88 
o5      69.01   116.56   103.47    76.18        0     8.17    42.82     9.29    57.12    27.89    52.82    18.25    38.16    22.23 
o6      66.03      109    94.04    67.46    10.71        0    26.97    18.51     55.2    40.67    89.13    16.36    43.77    46.79 
1       47.34    74.94    79.01    65.99    42.33    25.42        0    40.64    36.42    35.75    66.93     9.12     53.8    43.26 
2       56.18    91.19    88.45   120.22      7.6    16.05    29.82        0    48.86    24.37    57.88    25.98    21.78    23.72 
3       89.17    47.79    55.07    50.36    71.55    50.89       56    61.17        0    44.76     35.8    53.32    47.57    62.48 
4        72.3    92.65    87.57    89.74     33.8    38.01    39.03    28.11    57.99        0    49.36    37.95    16.72    15.61 
5      137.35   119.52    68.68    98.18    81.44    68.49    95.98    65.16    34.63    46.86        0     88.6    55.44    56.19 
6       46.68     78.5   105.96    78.82    19.33    13.48    12.09    32.06    51.78    30.55    66.03        0    39.85    47.96 
7       95.07    141.2    82.57   127.07     38.6    32.82    43.61    20.21    53.37    13.72    74.54    62.01        0      4.4 
8       102.2     88.2   136.41   127.58    27.61    27.83    65.66    20.76    62.95    15.85    80.71    61.03     3.82        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0   16   16    0 
2       0    0    6    0   17   16 
3       0    0    0   14    0    0 
4      10    0    0    0   14    5 
5       6   10    0    0   14    0 
6      15    0    7   17   12    0 
7       0    0    5    0   15    7 
8       0    0    0    0    0    7 
;
