set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    78.38    42.31    23.95    59.53    22.17    30.44    93.66    61.65    33.52    24.86    106.7    31.28   107.24 
o2      78.38        0     73.2    59.17    21.41    57.94    64.01    96.02    18.45    91.65    57.75    92.75    54.59    71.69 
o3      42.31     73.2        0    26.95    52.07    31.94    15.39    51.35    55.14    24.46    27.68    65.32    24.39    71.28 
o4      23.95    59.17    26.95        0    38.52        5    11.56    75.64    41.11    34.42     1.44    85.97     7.36    83.84 
o5      59.53    21.41    52.07    38.52        0    37.99    42.63     80.7     3.08    70.29    37.14    81.42     33.4    66.22 
o6      22.17    57.94    31.94        5    37.99        0    16.56    80.44    40.35    37.88     4.58    90.36    10.88    87.17 
1       30.44    64.01    15.39    11.56    42.63    16.56        0    64.88    45.56    27.67    12.31    76.51    10.27    77.38 
2       93.66    96.02    51.35    75.64     80.7    80.44    64.88        0    83.25    69.06    75.87    20.97    70.28    45.84 
3       61.65    18.45    55.14    41.11     3.08    40.35    45.56    83.25        0     73.2    39.71    83.45    36.21    67.37 
4       33.52    91.65    24.46    34.42    70.29    37.88    27.67    69.06     73.2        0    35.81    86.16    37.25    95.31 
5       24.86    57.75    27.68     1.44    37.14     4.58    12.31    75.87    39.71    35.81        0    85.88      6.7    83.26 
6       106.7    92.75    65.32    85.97    81.42    90.36    76.51    20.97    83.45    86.16    85.88        0    79.57    29.42 
7       31.28    54.59    24.39     7.36     33.4    10.88    10.27    70.28    36.21    37.25      6.7    79.57        0    76.57 
8      107.24    71.69    71.28    83.84    66.22    87.17    77.38    45.84    67.37    95.31    83.26    29.42    76.57        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    78.21    45.82     19.7    79.73       31    38.73    79.01    71.05    35.67    36.87    98.04    25.32   148.75 
o2      63.63        0    97.76    51.53    19.95    61.92    64.91   141.01    16.08    94.76    57.93   125.08    56.95    106.7 
o3      33.97    78.31        0    26.77    60.64    32.83    16.91    70.28    48.87    36.68    37.35    57.15    32.99    78.46 
o4      30.37    50.81    30.22        0    43.26     5.08    10.43    61.04    47.63    44.41     1.88   117.15      6.1   125.03 
o5      82.52    23.57    76.36    34.21        0    33.71    49.04   100.85        3    68.98    52.41    86.11    46.09    88.31 
o6      29.68    65.21       45     6.38     31.9        0    23.16   101.09    33.21    46.14     4.76    84.77     9.61   115.39 
1       32.97    74.89    22.51    17.22    40.32    17.31        0     81.9    36.75    32.55    18.25    84.79    14.91    99.12 
2      103.13    79.52    72.58   109.33    83.33     65.2    83.65        0    81.72    62.66    95.85    27.01    63.22    60.48 
3        72.2    20.41    59.66    57.29     4.04    50.29    45.19   123.81        0    94.57    53.63    96.59    43.33    56.38 
4       44.36    80.51    32.89    32.58    90.51    34.37    41.42   100.14   100.99        0    32.26    82.79    30.26    88.79 
5       37.28    79.83    38.44     1.68    50.43     3.71    14.13     65.9    53.52    30.81        0    99.69     6.18    90.16 
6      129.94   120.26    88.88   103.77    87.73    98.97    87.62    27.34    78.36    110.5    75.44        0   111.85    29.84 
7       29.77    60.44    28.64     7.14    28.97    15.44    13.42    64.72    44.05     34.2     9.47    93.91        0    62.85 
8       112.2    76.54    69.43    92.41    81.45   129.92   100.96    68.58    89.25   108.04    106.3    33.12    81.14        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0   19    0    0    0 
2       8    0    0    0    0    0 
3       0    0    9    0    0    0 
4      12    0    0    0    0    0 
5       0    0   18    0    0    0 
6       0   13    0    0    0    0 
7       0    0    0    8   13   10 
8       0    0    6    0   12    0 
;
