set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set K[5] := 1 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0     28.9    95.09    43.46    67.91    52.67    68.27    35.36     50.5    84.24    54.04    71.06    77.42    35.44 
o2       28.9        0    66.51    15.57    41.85    23.77    41.35    12.44    23.98    55.44    27.89    43.08    62.26    33.47 
o3      95.09    66.51        0    51.67    46.22     43.2    42.43     65.3    52.37    20.52    51.26    24.71     63.4    79.93 
o4      43.46    15.57    51.67        0    36.36    11.59    34.44    20.68     21.2       43    24.62    27.69    52.06    35.78 
o5      67.91    41.85    46.22    36.36        0    25.98        4    32.55    17.89    26.37    14.05    37.16    82.13    71.77 
o6      52.67    23.77     43.2    11.59    25.98        0    23.55    22.74    14.71       32    16.84    21.61    57.72    47.23 
1       68.27    41.35    42.43    34.44        4    23.55        0    32.99    17.79    22.85    14.28     33.3    78.78    70.13 
2       35.36    12.44     65.3    20.68    32.55    22.74    32.99        0    15.35    50.94    18.72    44.29    71.98    45.91 
3        50.5    23.98    52.37     21.2    17.89    14.71    17.79    15.35        0    36.26     3.93    34.61    71.89       55 
4       84.24    55.44    20.52       43    26.37       32    22.85    50.94    36.26        0    34.14    24.32    72.05    76.78 
5       54.04    27.89    51.26    24.62    14.05    16.84    14.28    18.72     3.93    34.14        0    35.16     74.5    58.85 
6       71.06    43.08    24.71    27.69    37.16    21.61     33.3    44.29    34.61    24.32    35.16        0    48.16    55.71 
7       77.42    62.26     63.4    52.06    82.13    57.72    78.78    71.98    71.89    72.05     74.5    48.16        0    43.62 
8       35.44    33.47    79.93    35.78    71.77    47.23    70.13    45.91       55    76.78    58.85    55.71    43.62        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    29.53    94.74     42.4    82.46    58.83    90.62    32.39    51.76   121.64    68.49    94.71   109.44    39.23 
o2      36.86        0    65.44    12.85    40.41    29.11    36.83    18.56    35.14    56.26    33.33    42.91    79.26    38.28 
o3     111.87    68.21        0    41.61    69.09    64.04    43.81    76.54    62.84    18.17    47.51    34.31    76.58    88.56 
o4      63.96    17.28    52.47        0    45.37    13.41    44.14    16.91     21.4    51.84    30.42    24.62    74.46    29.09 
o5      77.34    54.61    40.22    50.76        0     23.7     5.38    41.67    24.88    32.38    11.48    54.93    95.04    65.09 
o6      72.88    20.47    39.32    13.25    34.08        0    31.11    18.48    20.72    27.83    17.73    29.97    65.69    59.56 
1       63.75    34.07    40.94    32.06     5.27    24.75        0    36.12    17.83    34.11    13.68    35.06    90.01    84.51 
2       36.42    11.72    60.37    17.59    27.08    30.25    33.03        0    16.97    71.79    24.75     64.8   106.74    64.75 
3       45.93    24.91    75.35    26.96    16.65    17.55    18.43    16.13        0    53.29     3.19    47.99    66.55    81.55 
4          95    62.02    20.04    35.33    37.79    45.19    21.74    59.34     36.7        0    35.41    21.79    90.21   106.36 
5          66     28.2    76.88     34.5     11.5    14.46    17.53    28.01     4.42    50.37        0    46.51    65.22    55.89 
6       85.87    49.73    22.49    39.92    48.63    21.37    37.15    57.99    46.52    31.42    48.49        0    56.42    52.63 
7      102.46    87.52    90.55    50.17   109.95     53.1    67.32     74.7   103.57    93.31   106.75    60.17        0    39.24 
8       39.36    45.16    80.09    34.74    88.63    38.24    89.03    37.95    62.08    83.86     66.8    69.22    65.38        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    0    0   15 
2       0    0    0    0    8    0 
3       0   11   18   11    0   18 
4      17    5    0    8    0    0 
5       0    0    0    0    0    9 
6       0    0   10    9   14    0 
7      14    0    0    0    0    0 
8       0    0    0    0   14    0 
;
