set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    81.87    65.91   105.93    26.02    96.99    39.45    86.57    93.88    16.97    58.41    53.56    91.21    91.44 
o2      81.87        0    28.16    31.32    65.87    49.24    61.67     47.2    12.17    87.85    55.63    29.54    11.83    20.34 
o3      65.91    28.16        0     40.9    44.12     35.5     36.3    27.87    36.28     67.2    27.49    28.98    39.94     26.9 
o4     105.93    31.32     40.9        0    85.02    33.16    76.48    38.52    22.72    108.1    62.94    58.35    32.85    14.51 
o5      26.02    65.87    44.12    85.02        0    72.02    13.48    61.37       77    23.08    32.41    42.68    76.81    70.91 
o6      96.99    49.24     35.5    33.16    72.02        0    60.03    10.86    48.22    93.95    41.81    63.78    57.34    30.91 
1       39.45    61.67     36.3    76.48    13.48    60.03        0    49.22    71.71    33.92    19.19    43.86    73.25    63.01 
2       86.57     47.2    27.87    38.52    61.37    10.86    49.22        0    48.91    83.15    30.97    56.83    56.89    32.02 
3       93.88    12.17    36.28    22.72       77    48.22    71.71    48.91        0    99.33    63.34     41.7     10.2    17.33 
4       16.97    87.85     67.2    108.1    23.08    93.95    33.92    83.15    99.33        0    52.74    62.06    98.31    93.95 
5       58.41    55.63    27.49    62.94    32.41    41.81    19.19    30.97    63.34    52.74        0    47.61    67.42    51.04 
6       53.56    29.54    28.98    58.35    42.68    63.78    43.86    56.83     41.7    62.06    47.61        0    37.77    44.51 
7       91.21    11.83    39.94    32.85    76.81    57.34    73.25    56.89     10.2    98.31    67.42    37.77        0    26.57 
8       91.44    20.34     26.9    14.51    70.91    30.91    63.01    32.02    17.33    93.95    51.04    44.51    26.57        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    86.71    77.71   121.47    37.76    96.69    44.04   124.88   127.25    14.38    51.85    46.62    77.85   121.53 
o2     108.15        0     33.5     45.2    85.38    55.98    60.35    52.57    16.82    105.8    82.97    24.52    11.11    19.51 
o3       93.2    23.22        0    52.51    54.48    28.45    46.69    29.26    50.36    67.72    40.21    25.04    51.34    37.91 
o4     139.31    25.09    58.17        0    68.84    47.45   101.27    36.81    33.96   145.43    89.27    76.92    33.02    15.82 
o5      23.67    59.63    54.11    72.89        0     79.4    14.73    59.93   114.98    23.06    46.48    57.39    68.45    62.36 
o6     130.38    64.91    50.11    37.08       66        0    50.52     9.14    54.51   137.96    39.06    70.53    59.21    36.08 
1       41.57    53.09    31.01    75.19    11.71    48.72        0    62.76    96.57    31.32    16.09       39    97.73    66.29 
2      115.56    40.09    26.76    35.76    59.14    12.04     40.9        0    51.23   115.03    33.95    60.88    76.26    47.72 
3        77.5    11.73       31    30.07    95.67    54.39    75.97    39.96        0   130.44     68.8    61.75     9.04    20.18 
4        20.9   111.47    90.27   161.51    29.22   132.04    36.34    76.34   104.35        0    58.57     85.7   118.31    96.61 
5        73.5    68.16    26.03    62.55    35.55    62.01    25.87    33.49    54.53    77.85        0    57.04     96.1    58.94 
6       47.68    32.03    34.52    62.73    57.92       59    57.21    76.54     46.7    73.77    53.44        0    35.66    64.36 
7       103.7    12.41    55.95    45.74       96    55.39    62.11    84.88    14.79   118.57     64.5    53.83        0    24.72 
8      116.08    25.01    23.23    12.17     76.6    25.35    58.51     37.7    17.98   140.33    52.65    36.96    24.39        0 
;

param d:       1    2    3    4    5    6 :=
1      10    0    0    0    0    0 
2       0    0    0    0    6    0 
3       0    0    0   16    0    0 
4       0    0    0    0   14    8 
5       0    0    0   19    0    0 
6       0    5   19    6    0    0 
7       7    0    0   10    0    0 
8       0    0    0    0    8    0 
;
