set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0     86.4    35.88    60.75    69.07    56.82    39.57    13.27   107.32    78.75    49.77    31.05    53.82    62.84 
o2       86.4        0    79.44    73.35    21.64    36.48    74.46    75.27    58.32     9.52     54.6    62.45    87.11    23.74 
o3      35.88    79.44        0    26.21    58.07    43.09     6.14    39.79    80.12    70.09    26.42    51.08    18.49    60.22 
o4      60.75    73.35    26.21        0    52.33    39.52    21.31    61.51    57.24    63.97    22.56    67.76    17.37    60.78 
o5      69.07    21.64    58.07    52.33        0    14.99    52.94    59.53    51.61    12.14    32.97    50.49    65.53       15 
o6      56.82    36.48    43.09    39.52    14.99        0    37.99    48.94    54.62    27.05    18.45    43.84    51.26     21.4 
1       39.57    74.46     6.14    21.31    52.94    37.99        0    41.68    74.05    65.03    20.67    51.04    17.82    56.13 
2       13.27    75.27    39.79    61.51    59.53    48.94    41.68        0   102.05    68.21     46.1     17.8    58.28    51.53 
3      107.32    58.32    80.12    57.24    51.61    54.62    74.05   102.05        0    54.06    57.69    98.45    74.42    66.57 
4       78.75     9.52    70.09    63.97    12.14    27.05    65.03    68.21    54.06        0    45.09    56.81    77.59    17.63 
5       49.77     54.6    26.42    22.56    32.97    18.45    20.67     46.1    57.69    45.09        0    47.99    32.82    38.89 
6       31.05    62.45    51.08    67.76    50.49    43.84    51.04     17.8    98.45    56.81    47.99        0    68.78    39.23 
7       53.82    87.11    18.49    17.37    65.53    51.26    17.82    58.28    74.42    77.59    32.82    68.78        0    71.31 
8       62.84    23.74    60.22    60.78       15     21.4    56.13    51.53    66.57    17.63    38.89    39.23    71.31        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0   125.73    48.33     69.1    65.05     79.1    57.85    17.78   158.84   104.71    68.46    39.45     78.2    76.06 
o2      75.44        0    91.61    59.48    25.49    31.35    73.46   103.72    77.08    11.94    81.89    77.59   120.63    23.06 
o3      35.95    92.45        0    37.34    61.27     37.2     5.79    36.04    89.13    97.75    38.61    59.62     18.2    58.18 
o4      67.31   110.01    26.86        0    71.09    58.62    30.98    71.05    66.84     77.7     24.2   100.04       16    68.45 
o5      78.41    23.03    48.39    61.35        0    22.32    71.01    60.97    58.74    12.35    47.97     74.3    63.02    21.81 
o6      69.39    48.54    57.86    36.34    17.42        0    55.11    68.16    68.38    28.58    16.45    40.16     41.8       18 
1       52.56   100.13     6.51    24.71    79.31    40.33        0    42.26    73.88    72.11    19.49    67.06    18.76    51.43 
2       15.97   103.92    47.26    79.35    79.38     48.3    50.95        0   127.95    62.55    58.13    24.53    71.92    50.84 
3      138.24     47.7    98.81    65.05    59.28     64.6    88.89   101.86        0    45.25    55.48    93.65   105.54    91.13 
4       77.14    10.93    92.06    66.52    15.68    32.27    62.48    77.65     70.7        0     44.7       48    73.54    22.41 
5       68.91    71.58    36.61    25.22    39.91    21.26     27.7    66.16    73.96    62.21        0    54.69    31.73    41.64 
6       37.91    73.84    65.22    62.16    66.91    65.75    54.15    19.34   105.31       49    48.51        0    88.09    57.42 
7       55.18   128.97    23.56    20.29    67.28    46.23     24.9    78.12    97.19    107.7    40.08    76.64        0    58.01 
8       86.43     34.3    57.12    83.79    13.39    23.52    52.59    54.12    89.57    18.06    51.05    39.74    95.52        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    6    0    0    0 
2       0   10    0    0   19   13 
3      11    0    0    0   12    0 
4       7    0    0    0    0    0 
5       0    0   16    0   16    0 
6       0    0    0    7    0    0 
7       0    0    0   16    5   12 
8       6    0    0    0    0   10 
;
