set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    69.78    45.07    80.28    58.78    36.01    31.62     10.2     71.1    58.32     4.23    66.33    74.76    45.56 
o2      69.78        0    90.38    72.59    80.27    37.46    94.22    65.88    15.69    34.87    65.75     3.57    19.75    30.32 
o3      45.07    90.38        0     57.4    26.07    54.16    68.42    54.99    98.65    94.44    44.86    87.84    84.86    78.58 
o4      80.28    72.59     57.4        0    31.59    56.85   111.53    85.97    87.25    96.96     77.1    72.26    55.98    82.13 
o5      58.78    80.27    26.07    31.59        0    50.17    87.65    66.95    91.85    93.93    56.75    78.55    69.69    77.65 
o6      36.01    37.46    54.16    56.85    50.17        0    65.57    36.07    44.49    43.78    31.78     34.5    38.88    27.55 
1       31.62    94.22    68.42   111.53    87.65    65.57        0     29.6    91.21    72.35    35.35    90.65   102.99     65.3 
2        10.2    65.88    54.99    85.97    66.95    36.07     29.6        0    65.15    50.16    10.39    62.34    73.47    39.02 
3        71.1    15.69    98.65    87.25    91.85    44.49    91.21    65.15        0     23.1    67.47    15.08     35.4    26.21 
4       58.32    34.87    94.44    96.96    93.93    43.78    72.35    50.16     23.1        0    55.53     32.3    53.27    16.32 
5        4.23    65.75    44.86     77.1    56.75    31.78    35.35    10.39    67.47    55.53        0    62.33    70.54     42.2 
6       66.33     3.57    87.84    72.26    78.55     34.5    90.65    62.34    15.08     32.3    62.33        0    21.32    26.87 
7       74.76    19.75    84.86    55.98    69.69    38.88   102.99    73.47     35.4    53.27    70.54    21.32        0    44.78 
8       45.56    30.32    78.58    82.13    77.65    27.55     65.3    39.02    26.21    16.32     42.2    26.87    44.78        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    75.65     63.9    69.87    63.16    34.02    39.62    13.38    65.17    72.36     5.46    61.95    85.92    54.42 
o2     101.64        0    98.75   103.67   100.07     54.9   107.97    55.01     16.2    36.33    81.58     4.84    28.36    31.17 
o3      51.28    89.42        0    75.98    30.71     63.1    67.03    56.72   100.28   134.32    65.35    77.11    81.06   104.52 
o4     115.25    61.91    53.76        0    45.29    77.58   146.41    91.75     99.6   108.72    68.89    90.98    46.78   118.93 
o5      71.62    92.95    23.13    45.38        0    47.12    79.36    65.27   107.81   129.13    62.87   100.28    65.23    64.23 
o6         36    48.18    74.68    57.42    58.48        0    82.77    44.22    41.14    57.89    39.48    39.14    41.91    25.35 
1       31.81   139.96    54.78   133.29    98.49    82.31        0    34.54   104.19    72.64    41.95   123.51   148.92    68.76 
2       12.77    94.87    59.59   125.97    54.91    36.98    24.09        0    87.91    52.03    15.27    53.15    60.89    37.11 
3       61.12    15.46   109.48    72.13    99.89     61.7    96.16    56.09        0     31.4     86.5    16.04    43.22    26.33 
4       72.62    36.59     81.9     98.1   119.94     42.4    81.24    44.79    33.99        0    51.51     27.1     61.3     17.1 
5        5.54    72.99    45.89    98.36     58.9    30.94    46.88    13.37    63.81    50.14        0    53.12    71.27    49.41 
6       76.19     3.76    88.01    61.59    106.1    39.37    91.11    90.94    14.16    43.38    84.74        0    17.87    28.12 
7       95.59    17.76   103.44     67.1    90.27    40.27   118.15    84.82    37.61    75.12     87.2    22.59        0    52.74 
8       43.15    41.37    74.22    94.41     85.1    28.11    88.98    32.74    32.13    19.42     57.8    30.99    43.75        0 
;

param d:       1    2    3    4    5    6 :=
1       0   18   12   10   10   12 
2       8    0    0   19   16   14 
3       0    0    0    6    0    0 
4       0    0   14    0    0    0 
5       0   17    0    0    0    0 
6       0    0    0    0   19    0 
7       0    0    0    0   13    0 
8      11   18    0    0    0   10 
;
