set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 2 3 ;
set K[6] := 1 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    64.21   102.59    24.39    56.81    51.59    54.91    33.62    73.26     61.4    30.54    74.38    74.17    74.53 
o2      64.21        0    38.71    65.74    21.19    16.65      9.5    31.65    32.23    57.27    42.49    18.37    47.38    30.12 
o3     102.59    38.71        0    100.9    50.13    54.15    47.73    70.36    44.78    87.02    77.83    31.47    60.51     41.4 
o4      24.39    65.74    100.9        0    50.98    58.41    56.43    42.47    63.23    80.95    23.33    69.91    58.93    65.45 
o5      56.81    21.19    50.13    50.98        0    28.27    16.65    31.86    18.31     70.5    28.46    18.93    28.72     18.5 
o6      51.59    16.65    54.15    58.41    28.27        0    12.24    17.98    44.52    42.74    36.88    34.02    56.99    43.28 
1       54.91      9.5    47.73    56.43    16.65    12.24        0    23.09    32.28    54.98    33.29    22.89    45.16    31.07 
2       33.62    31.65    70.36    42.47    31.86    17.98    23.09        0    50.16    44.03    24.24    45.28    58.11    50.13 
3       73.26    32.23    44.78    63.23    18.31    44.52    32.28    50.16        0    87.25    43.22     17.2    16.92     3.42 
4        61.4    57.27    87.02    80.95     70.5    42.74    54.98    44.03    87.25        0    67.73    75.62    99.06    85.96 
5       30.54    42.49    77.83    23.33    28.46    36.88    33.29    24.24    43.22    67.73        0    47.25    43.84    44.83 
6       74.38    18.37    31.47    69.91    18.93    34.02    22.89    45.28     17.2    75.62    47.25        0    34.06    14.14 
7       74.17    47.38    60.51    58.93    28.72    56.99    45.16    58.11    16.92    99.06    43.84    34.06        0    20.21 
8       74.53    30.12     41.4    65.45     18.5    43.28    31.07    50.13     3.42    85.96    44.83    14.14    20.21        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    58.72    140.1    29.72    58.26    57.17    54.36     40.3    62.29     56.9    42.02     67.3    60.76    63.15 
o2      51.49        0    41.42    88.08    28.91    16.92     9.04    33.48    32.63    59.29    45.07    15.41    50.52    31.91 
o3      95.92    49.54        0   139.91     50.8    79.23    63.85    86.41     45.8   113.41    67.16    41.89    67.77    45.77 
o4      31.58    91.94   107.22        0    58.34    79.14    74.92    35.14    89.43     89.6    20.26    59.91    75.39    70.15 
o5      53.89    22.51    64.18    71.32        0    39.43    14.85    46.76    21.45   102.32    23.31    21.28    35.59    25.66 
o6      73.78    17.68    58.87    76.59    26.21        0    14.48    23.88    54.23    53.94    48.96    41.87    47.21    39.53 
1       51.85    12.13    69.73    53.92    20.31    12.76        0    28.01    41.53    58.44    48.64    33.57    65.92    29.76 
2          28    37.25    70.56    43.07    37.01    16.32    21.41        0    45.36    45.62    19.69    57.44    56.98    53.74 
3       63.92       48    58.51    64.23    22.93     65.7    36.81     65.8        0    96.77    57.31    16.18    16.94     2.91 
4       87.76       66   124.81   118.94    62.15    50.25    55.21    61.92     87.3        0    71.81    81.63   102.18    68.81 
5       35.14    54.21    113.8    29.06    30.39    32.57     36.3    32.77    59.48    64.03        0    59.47    41.67    67.06 
6       93.43    17.01    37.58    62.29    22.47    44.54    24.17    67.02     18.8    66.27    45.78        0    45.76    12.31 
7       89.67    56.57     65.3    67.95    42.98     71.3    54.19    51.32    16.28    89.93    48.92    31.78        0    17.68 
8       96.49     33.5    39.22    82.08     16.4    57.23    34.98    65.11     4.33   127.05    38.83    21.09    26.52        0 
;

param d:       1    2    3    4    5    6 :=
1       0    7   11   14    0    9 
2       0    0   17    0    0    0 
3       0   12    0    0    0    0 
4      13   13    0    0    7    0 
5      15    0    0    8    8    0 
6       8    0    0    0    0    0 
7       0    0    0   14    0    0 
8       8   16    0    0   13   12 
;
