set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 2 3 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0       68    50.99    17.72    64.35    33.69    58.91    30.44    41.65    28.01    26.08    47.36    17.67    58.78 
o2         68        0    72.47    55.66    36.96    72.25    39.59    74.28    43.43    53.78    55.36    70.14    71.26    75.56 
o3      50.99    72.47        0    60.33    42.47    18.68    89.54    80.59    29.71    70.03    28.73    94.03    68.32   105.06 
o4      17.72    55.66    60.33        0    61.39     45.9    41.28    23.18    41.75    10.81     31.8    33.72    15.83    44.87 
o5      64.35    36.96    42.47    61.39        0    50.45    68.82    84.46    23.26    66.01    40.49    89.05    76.02    97.77 
o6      33.69    72.25    18.68     45.9    50.45        0    80.68       64    29.98    56.39     18.2    79.28    51.34    90.59 
1       58.91    39.59    89.54    41.28    68.82    80.68        0    47.89    61.59    32.27    62.86    35.42    51.74    37.65 
2       30.44    74.28    80.59    23.18    84.46       64    47.89        0    64.81    20.54     53.2    20.36    12.86    30.91 
3       41.65    43.43    29.71    41.75    23.26    29.98    61.59    64.81        0    48.75    17.26     73.1    54.93    83.14 
4       28.01    53.78    70.03    10.81    66.01    56.39    32.27    20.54    48.75        0     41.3    24.48    19.84    35.12 
5       26.08    55.36    28.73     31.8    40.49     18.2    62.86     53.2    17.26     41.3        0    65.41    41.72    76.37 
6       47.36    70.14    94.03    33.72    89.05    79.28    35.42    20.36     73.1    24.48    65.41        0     31.5    11.42 
7       17.67    71.26    68.32    15.83    76.02    51.34    51.74    12.86    54.93    19.84    41.72     31.5        0    42.69 
8       58.78    75.56   105.06    44.87    97.77    90.59    37.65    30.91    83.14    35.12    76.37    11.42    42.69        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0   101.68    48.37     23.6    67.51    27.64     74.3    36.49     54.7    36.98     32.6    59.26    19.59    70.24 
o2      62.43        0    76.33    72.46    35.36    98.84    41.85     86.2    42.03    68.04     70.9    66.29   100.42   112.71 
o3      43.43    84.46        0    61.43    62.71    24.21   115.99    94.94    37.43    94.64    36.72   111.99    66.74   106.86 
o4      16.89    66.23    74.14        0    49.88    40.55    40.37    28.14    58.62    15.94    42.14    33.06    19.71    54.43 
o5      70.15    30.86    46.11    50.07        0    46.71   101.78   112.58    30.62    71.78    48.99   115.88    61.47   102.58 
o6      40.23    62.01    27.26    62.21    57.15        0    67.99    80.98    36.25    55.49    25.83    73.79     60.4    89.35 
1       83.72    45.06    97.05    44.31    58.47   119.97        0    60.37    90.56    38.85    87.16    42.28    60.76    53.04 
2       25.14    82.44    106.2    29.43    90.65    94.65    51.06        0    72.98    27.03    77.42     30.3    15.27    33.55 
3       61.47    36.27    25.53    53.82    31.48    43.74    71.49    86.56        0    69.49    19.56   101.53    60.41    74.24 
4       38.59    63.83    87.97     12.5    70.12    51.57    28.53    30.13    53.64        0    36.65    29.23    20.06    51.98 
5       34.28    58.51    41.94    46.26    39.21    17.79    93.24    48.46    18.73    38.45        0    90.23    49.22    80.64 
6       49.54    67.43    89.08    40.58     78.7    81.82    38.15    22.45   108.25     21.9    88.29        0     43.2    14.45 
7       16.65    93.23    95.09       16     63.5    70.03     61.6    17.27    72.74    17.75    52.41    40.07        0    58.88 
8       47.61    80.25   111.65     61.4     92.1   123.79    34.67    24.96   106.72    43.67    82.41    14.45    57.99        0 
;

param d:       1    2    3    4    5    6 :=
1       9   16    6    0    5    0 
2       0    0   10    0    0    0 
3      18   10    5    6    0    0 
4      15    0    0    0    0    0 
5       0    0    0    0   13    0 
6       0    5   18    0    7   16 
7      12    0    0    0    0    0 
8       0    0    0    0    0   19 
;
