set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set K[5] := 1 2 3 ;
set K[6] := 1 2 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    28.35    91.18     69.3     59.1    55.53    79.21    50.21    60.75    43.14    36.17    32.57     83.1     63.3 
o2      28.35        0    69.52     41.6    48.58    33.24    67.49    46.17    55.23    43.71    13.46    53.08    55.08    59.56 
o3      91.18    69.52        0    62.81    41.51    81.44    34.29    54.79    50.28    63.07    75.63    95.23     61.6    53.91 
o4       69.3     41.6    62.81        0    68.72     24.2    80.52    74.04    79.16    76.02    34.33    93.79    14.17    84.32 
o5       59.1    48.58    41.51    68.72        0     75.7    20.16    13.37    11.11    22.06    60.43    54.87    75.81    16.19 
o6      55.53    33.24    81.44     24.2     75.7        0    91.63    76.87    84.51    75.98     20.4    85.12    36.95    89.35 
1       79.21    67.49    34.29    80.52    20.16    91.63        0    30.78    21.68    39.67    78.43    71.93    84.71    23.08 
2       50.21    46.17    54.79    74.04    13.37    76.87    30.78        0    10.54     8.99    59.23    41.78    82.97    13.72 
3       60.75    55.23    50.28    79.16    11.11    84.51    21.68    10.54        0    18.64     67.9     50.3    86.72     5.18 
4       43.14    43.71    63.07    76.02    22.06    75.98    39.67     8.99    18.64        0    57.14    32.85    86.08    20.31 
5       36.17    13.46    75.63    34.33    60.43     20.4    78.43    59.23     67.9    57.14        0    64.76    48.47    72.41 
6       32.57    53.08    95.23    93.79    54.87    85.12    71.93    41.78     50.3    32.85    64.76        0   106.34    50.12 
7        83.1    55.08     61.6    14.17    75.81    36.95    84.71    82.97    86.72    86.08    48.47   106.34        0    91.89 
8        63.3    59.56    53.91    84.32    16.19    89.35    23.08    13.72     5.18    20.31    72.41    50.12    91.89        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    37.52    98.95    91.61     79.2    60.74    79.13    40.73    84.11    36.98    46.17    40.86    86.12    79.38 
o2      33.76        0    78.51    35.95    68.01    33.98    78.47    37.23     51.8    49.84    17.96    72.65    54.33    68.33 
o3     109.71    63.92        0    52.33    41.91    84.62    33.07    74.42     55.2    84.65    95.37   103.78     74.6    63.88 
o4      93.25    53.59    71.15        0    60.74    21.88   118.19    84.45    81.05       90    41.36   102.05    16.87    78.82 
o5      77.79    45.91    36.25    78.77        0   104.26    28.55    19.04     10.3    32.83    77.69    68.41     86.8    13.18 
o6      59.28    32.55    99.53    28.38    71.74        0    84.93    96.93   109.15   107.03    25.49    73.38    42.88    108.2 
1       81.81    77.79    34.43   103.36    28.86    91.74        0    25.56     30.1     34.1    74.59    82.53   122.58     23.8 
2       65.63    62.13    60.92   101.12    18.08    92.43    43.99        0    12.55     7.32    77.33    62.55    85.76    12.45 
3       81.99    69.08     75.2    99.46    13.79    95.08     25.5        9        0     24.1    94.01    52.96   129.77     4.31 
4       42.63    65.05     60.6    66.11    21.99     78.2    45.17     8.25     20.2        0    84.38    39.89   122.18    26.43 
5       35.58    17.71   110.78    43.51    71.24    17.59   115.02    77.07    95.61    77.36        0    52.18     57.9     85.1 
6       26.72     78.2   125.46   128.23    69.17   117.77     73.1    45.37    72.79    36.61    79.67        0   118.62    42.61 
7       88.27    65.42    62.75    14.38   111.26    46.79    88.83   103.61   108.95   121.54    56.68   139.79        0    88.04 
8        93.9    81.91    53.91    85.73    23.22   113.27    19.58    19.33     4.66    18.89    65.39    68.59   108.82        0 
;

param d:       1    2    3    4    5    6 :=
1       0    0    0    9    0    0 
2       0   15    0    0    0    0 
3      16    0    0    0    0   12 
4       0    0    0    0    0   16 
5      10   18    0   15    0    0 
6       0    8    0    0    0   10 
7       0    0    0    0   11    0 
8       0    9   18    0    0   13 
;
