set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 5 6 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set K[5] := 1 ;
set K[6] := 1 2 3 ;
set o := o1 o2 o3 o4 o5 o6 ;

param Q := 150;

param dist:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    31.64    35.48    78.28       53    23.85    67.83    71.78    60.86    58.47    40.41    88.06    34.42    25.32 
o2      31.64        0    14.08    46.77    50.92    38.58    45.96    57.54    54.74    38.55     9.89     57.4     45.9     20.1 
o3      35.48    14.08        0    46.34    64.82    49.11    34.02    71.11    68.81    51.56    11.64    53.83    57.69    13.17 
o4      78.28    46.77    46.34        0     80.4    82.17    41.12    69.77    78.74    51.87    38.02    14.67    86.54     59.5 
o5         53    50.92    64.82     80.4        0    31.25    95.86    26.51     9.32     30.4    58.38    94.74    23.43    65.46 
o6      23.85    38.58    49.11    82.17    31.25        0    83.12    54.21    40.08    46.59    48.41    94.53    10.58    43.87 
1       67.83    45.96    34.02    41.12    95.86    83.12        0    96.04    98.16    75.65    37.51    38.11    91.46     42.6 
2       71.78    57.54    71.11    69.77    26.51    54.21    96.04        0    17.96     20.4    61.33    84.38    48.72    76.39 
3       60.86    54.74    68.81    78.74     9.32    40.08    98.16    17.96        0    27.04    61.11    93.33    32.71       71 
4       58.47    38.55    51.56    51.87     30.4    46.59    75.65     20.4    27.04        0    41.27    66.51    45.13    58.23 
5       40.41     9.89    11.64    38.02    58.38    48.41    37.51    61.33    61.11    41.27        0    47.85    55.43    23.24 
6       88.06     57.4    53.83    14.67    94.74    94.53    38.11    84.38    93.33    66.51    47.85        0    99.66    66.75 
7       34.42     45.9    57.69    86.54    23.43    10.58    91.46    48.72    32.71    45.13    55.43    99.66        0    53.69 
8       25.32     20.1    13.17     59.5    65.46    43.87     42.6    76.39       71    58.23    23.24    66.75    53.69        0 
;

param trav_time:       o1       o2       o3       o4       o5       o6        1        2        3        4        5        6        7        8 :=
o1          0    32.83    51.88    72.77    67.76    20.91    81.66    101.9    89.94    78.83    55.39   101.36    36.38    30.78 
o2      45.16        0    13.54    44.59    42.38    50.99    37.85    74.48    56.96    37.34    14.08    54.23    43.14    25.67 
o3      50.32    19.35        0    51.35    54.86    46.97    38.78    70.28    78.65    55.06    16.65    75.69    76.61    11.14 
o4     112.09     53.1    50.94        0     85.3   101.74    58.99     66.2    75.84    65.07    41.17    13.35    88.92    80.77 
o5      77.17    52.91    84.17    97.62        0    38.38    92.67     30.2     9.56    36.45     54.2   127.69    21.57    75.57 
o6      26.21    50.65    69.21   111.87    29.34        0   105.31     81.2    59.73    68.16    48.37    137.5    14.87    61.17 
1       85.97     56.3    27.99    48.76   133.87    92.83        0   121.65   145.67    92.31     37.2    43.86    74.45    43.11 
2       68.89    53.93    87.14    92.12    26.53    62.96    76.84        0    15.51    18.91    76.35   106.47    57.37    98.28 
3        54.5    46.54    70.33    70.82     8.25    37.51   116.06    25.74        0    34.61    50.69    95.19    45.95    59.78 
4       56.78    56.53    66.27    47.49    38.59    49.96    88.51    29.18    30.08        0    41.11    93.55       47    53.85 
5       46.25     8.24    10.91    45.95    51.23    52.29    51.51    88.02    80.61    35.82        0    41.51    46.56    21.28 
6       92.22    65.12     56.9    16.87    84.17   123.98    31.64    119.6    88.66    82.13    52.96        0    86.75    67.75 
7       41.38       63    58.94    90.82    26.44    15.03    91.49    49.51     48.4    42.73    53.42    94.05        0    44.69 
8       24.03    18.04    11.13    75.77    93.46    48.91    54.98    101.8    75.32    49.27    30.69    82.99     80.3        0 
;

param d:       1    2    3    4    5    6 :=
1       0   14    0    0    0    0 
2       7    0   16    0   19    0 
3       0    0    0    0    0   10 
4      15    0    0   18    0    6 
5       0    0    0   18    0    0 
6       0    0   16    7   14    0 
7       0    0    0    0    0    7 
8       9    0    0    0    0    0 
;
